"source","column_name","n_rows","n_nonmissing","n_missing","missing_rate_pct","n_unique_nonmissing","example_values"
"sdrf","Source Name",84,84,0,0,42,"CON1 | CON2 | CON3 | CON4 | CON5 | CON6 | INJL1 | INJL2 | INJL3 | INJL4 | INJL5 | INJL6 | ..."
"sdrf","Comment[ENA_SAMPLE]",84,84,0,0,42,"ERS2393421 | ERS2393422 | ERS2393423 | ERS2393424 | ERS2393425 | ERS2393426 | ERS2393427 | ERS2393428 | ERS2393429 | ERS2393430 | ERS2393431 | ERS2393432 | ..."
"sdrf","Comment[BioSD_SAMPLE]",84,84,0,0,42,"SAMEA1100143 | SAMEA1100144 | SAMEA1100145 | SAMEA1100146 | SAMEA1100147 | SAMEA1100148 | SAMEA1100149 | SAMEA1100150 | SAMEA1100151 | SAMEA1100152 | SAMEA1100153 | SAMEA1100154 | ..."
"sdrf","Characteristics[organism]",84,84,0,0,1,"Sus scrofa"
"sdrf","Characteristics[breed]",84,84,0,0,1,"Yucatan"
"sdrf","Characteristics[age]",84,84,0,0,27,"15.3 | 15.5 | 15.6 | 15.9 | 16 | 16.1 | 16.2 | 16.3 | 16.4 | 16.8 | 16.9 | 17.1 | ..."
"sdrf","Unit[time unit]",84,84,0,0,1,"month"
"sdrf","Characteristics[sex]",84,84,0,0,2,"female | male"
"sdrf","Characteristics[genotype]",84,84,0,0,1,"wild type genotype"
"sdrf","Characteristics[injury]",84,72,12,14.29,1,"anterior cruciate ligament transection surgery"
"sdrf","Characteristics[treatment]",84,48,36,42.86,2,"ligament reconstruction surgery | ligament repair surgery (BEAR)"
"sdrf","Characteristics[organism part]",84,84,0,0,1,"synovial membrane"
"sdrf","Characteristics[sampling site]",84,84,0,0,1,"perimeniscal medial femorotibial joint"
"sdrf","Material Type",84,84,0,0,1,"organism part"
"sdrf","Protocol REF",84,84,0,0,1,"P-MTAB-73625"
"sdrf","Protocol REF",84,84,0,0,1,"P-MTAB-73625"
"sdrf","Protocol REF",84,84,0,0,1,"P-MTAB-73625"
"sdrf","Protocol REF",84,84,0,0,1,"P-MTAB-73625"
"sdrf","Extract Name",84,84,0,0,42,"CON1 | CON2 | CON3 | CON4 | CON5 | CON6 | INJL1 | INJL2 | INJL3 | INJL4 | INJL5 | INJL6 | ..."
"sdrf","Comment[LIBRARY_LAYOUT]",84,84,0,0,1,"PAIRED"
"sdrf","Comment[LIBRARY_SELECTION]",84,84,0,0,1,"PolyA"
"sdrf","Comment[LIBRARY_SOURCE]",84,84,0,0,1,"TRANSCRIPTOMIC"
"sdrf","Comment[LIBRARY_STRATEGY]",84,84,0,0,1,"RNA-Seq"
"sdrf","Comment[NOMINAL_LENGTH]",84,84,0,0,1,"50"
"sdrf","Comment[NOMINAL_SDEV]",84,84,0,0,1,"1"
"sdrf","Protocol REF",84,84,0,0,1,"P-MTAB-73625"
"sdrf","Performer",84,84,0,0,1,"Biopolymers Facility, Harvard Medical School, Boston MA"
"sdrf","Assay Name",84,84,0,0,42,"CON1 | CON2 | CON3 | CON4 | CON5 | CON6 | INJL1 | INJL2 | INJL3 | INJL4 | INJL5 | INJL6 | ..."
"sdrf","Technology Type",84,84,0,0,1,"sequencing assay"
