"gene_id","logFC","logCPM","F","PValue","FDR","gene_name","contrast","target_group","reference_group","significant_FDR05","strict_sig","direction"
"ENSSSCG00000028996",-2.24309236281906,6.25682812709774,77.6110901663857,4.65305884542435e-07,1.85886696866467e-05,"ALDH1A1","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",TRUE,TRUE,"Down_in_ACLT_untreated_t7"
"ENSSSCG00000005267",-0.0552474584546195,9.85779898444991,0.0817568975915962,0.779150477914861,0.839679620819431,"ANXA1","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t7"
"ENSSSCG00000005269",0.493242809239656,0.904750904166581,2.22879990760375,0.157906472534573,0.245519207295672,"TRPM6","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t7"
"ENSSSCG00000031382",-0.22271502288734,2.9544884973094,2.03728532742603,0.175581607810032,0.267416247827582,"C9orf40","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t7"
"ENSSSCG00000005271",-0.212862855414293,3.66697091520074,1.57048064103383,0.23082487295935,0.331082375978074,"CARNMT1","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t7"
"ENSSSCG00000005272",-0.674902573543298,2.25744308437568,9.36295754203861,0.00855103381062794,0.0245475724539466,"NMRK1","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",TRUE,FALSE,"Down_in_ACLT_untreated_t7"
"ENSSSCG00000005273",-0.198486899055063,6.17817077479323,2.15053263075216,0.164792742829022,0.254088951217146,"OSTF1","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t7"
"ENSSSCG00000023520",2.20697236575663,4.89908145993223,33.4347640198594,4.89924798227131e-05,0.000487288585126957,"PCSK5","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",TRUE,TRUE,"Up_in_ACLT_untreated_t7"
"ENSSSCG00000057774",0.135356174036322,5.95237143889831,0.960477526652511,0.343829092894989,0.452850494220818,"ENSSSCG00000057774","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t7"
"ENSSSCG00000037277",0.156612700936708,3.33902102199894,1.04993773843213,0.323038904313837,0.431678971467359,"RFK","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t7"
