"row_index","pig_gene_id","signature_direction","raw_direction_value","detected_in_full_logcpm","detected_in_count_matrix"
3,"ENSSSCG00000002388","down","Down_in_ACLR",TRUE,TRUE
5,"ENSSSCG00000004454","down","Down_in_ACLR",TRUE,TRUE
7,"ENSSSCG00000011579","down","Down_in_ACLR",TRUE,TRUE
6,"ENSSSCG00000015332","down","Down_in_ACLR",TRUE,TRUE
8,"ENSSSCG00000029275","down","Down_in_ACLR",TRUE,TRUE
4,"ENSSSCG00000029944","down","Down_in_ACLR",TRUE,TRUE
1,"ENSSSCG00000032556","down","Down_in_ACLR",TRUE,TRUE
10,"ENSSSCG00000033787","down","Down_in_ACLR",TRUE,TRUE
9,"ENSSSCG00000036145","down","Down_in_ACLR",TRUE,TRUE
2,"ENSSSCG00000040779","down","Down_in_ACLR",TRUE,TRUE
32,"ENSSSCG00000000002","up","Up_in_ACLR",TRUE,TRUE
55,"ENSSSCG00000000217","up","Up_in_ACLR",TRUE,TRUE
27,"ENSSSCG00000000265","up","Up_in_ACLR",TRUE,TRUE
30,"ENSSSCG00000000739","up","Up_in_ACLR",TRUE,TRUE
40,"ENSSSCG00000001510","up","Up_in_ACLR",TRUE,TRUE
28,"ENSSSCG00000002383","up","Up_in_ACLR",TRUE,TRUE
22,"ENSSSCG00000002669","up","Up_in_ACLR",TRUE,TRUE
33,"ENSSSCG00000003239","up","Up_in_ACLR",TRUE,TRUE
46,"ENSSSCG00000003756","up","Up_in_ACLR",TRUE,TRUE
39,"ENSSSCG00000003931","up","Up_in_ACLR",TRUE,TRUE
72,"ENSSSCG00000004466","up","Up_in_ACLR",TRUE,TRUE
42,"ENSSSCG00000005055","up","Up_in_ACLR",TRUE,TRUE
34,"ENSSSCG00000005096","up","Up_in_ACLR",TRUE,TRUE
18,"ENSSSCG00000005134","up","Up_in_ACLR",TRUE,TRUE
44,"ENSSSCG00000006496","up","Up_in_ACLR",TRUE,TRUE
66,"ENSSSCG00000007334","up","Up_in_ACLR",TRUE,TRUE
58,"ENSSSCG00000008601","up","Up_in_ACLR",TRUE,TRUE
70,"ENSSSCG00000009002","up","Up_in_ACLR",TRUE,TRUE
20,"ENSSSCG00000009378","up","Up_in_ACLR",TRUE,TRUE
16,"ENSSSCG00000010214","up","Up_in_ACLR",TRUE,TRUE
25,"ENSSSCG00000010540","up","Up_in_ACLR",TRUE,TRUE
35,"ENSSSCG00000010703","up","Up_in_ACLR",TRUE,TRUE
67,"ENSSSCG00000010761","up","Up_in_ACLR",TRUE,TRUE
69,"ENSSSCG00000011226","up","Up_in_ACLR",TRUE,TRUE
11,"ENSSSCG00000011959","up","Up_in_ACLR",TRUE,TRUE
19,"ENSSSCG00000012056","up","Up_in_ACLR",TRUE,TRUE
48,"ENSSSCG00000012365","up","Up_in_ACLR",TRUE,TRUE
47,"ENSSSCG00000013260","up","Up_in_ACLR",TRUE,TRUE
37,"ENSSSCG00000013735","up","Up_in_ACLR",TRUE,TRUE
73,"ENSSSCG00000014136","up","Up_in_ACLR",TRUE,TRUE
38,"ENSSSCG00000014326","up","Up_in_ACLR",TRUE,TRUE
50,"ENSSSCG00000014927","up","Up_in_ACLR",TRUE,TRUE
41,"ENSSSCG00000015022","up","Up_in_ACLR",TRUE,TRUE
49,"ENSSSCG00000015604","up","Up_in_ACLR",TRUE,TRUE
75,"ENSSSCG00000016617","up","Up_in_ACLR",TRUE,TRUE
64,"ENSSSCG00000017082","up","Up_in_ACLR",TRUE,TRUE
65,"ENSSSCG00000017178","up","Up_in_ACLR",TRUE,TRUE
36,"ENSSSCG00000017306","up","Up_in_ACLR",TRUE,TRUE
31,"ENSSSCG00000017355","up","Up_in_ACLR",TRUE,TRUE
52,"ENSSSCG00000017991","up","Up_in_ACLR",TRUE,TRUE
74,"ENSSSCG00000020864","up","Up_in_ACLR",TRUE,TRUE
24,"ENSSSCG00000022126","up","Up_in_ACLR",TRUE,TRUE
51,"ENSSSCG00000023920","up","Up_in_ACLR",TRUE,TRUE
21,"ENSSSCG00000024872","up","Up_in_ACLR",TRUE,TRUE
59,"ENSSSCG00000025698","up","Up_in_ACLR",TRUE,TRUE
60,"ENSSSCG00000025822","up","Up_in_ACLR",TRUE,TRUE
26,"ENSSSCG00000026130","up","Up_in_ACLR",TRUE,TRUE
54,"ENSSSCG00000026748","up","Up_in_ACLR",TRUE,TRUE
13,"ENSSSCG00000027426","up","Up_in_ACLR",TRUE,TRUE
62,"ENSSSCG00000027855","up","Up_in_ACLR",TRUE,TRUE
15,"ENSSSCG00000029326","up","Up_in_ACLR",TRUE,TRUE
14,"ENSSSCG00000030469","up","Up_in_ACLR",TRUE,TRUE
12,"ENSSSCG00000030484","up","Up_in_ACLR",TRUE,TRUE
56,"ENSSSCG00000031970","up","Up_in_ACLR",TRUE,TRUE
43,"ENSSSCG00000032269","up","Up_in_ACLR",TRUE,TRUE
61,"ENSSSCG00000032613","up","Up_in_ACLR",TRUE,TRUE
45,"ENSSSCG00000033608","up","Up_in_ACLR",TRUE,TRUE
57,"ENSSSCG00000035537","up","Up_in_ACLR",TRUE,TRUE
23,"ENSSSCG00000035746","up","Up_in_ACLR",TRUE,TRUE
29,"ENSSSCG00000035878","up","Up_in_ACLR",TRUE,TRUE
68,"ENSSSCG00000035952","up","Up_in_ACLR",TRUE,TRUE
17,"ENSSSCG00000040183","up","Up_in_ACLR",TRUE,TRUE
63,"ENSSSCG00000056309","up","Up_in_ACLR",TRUE,TRUE
71,"ENSSSCG00000059646","up","Up_in_ACLR",TRUE,TRUE
53,"ENSSSCG00000061433","up","Up_in_ACLR",TRUE,TRUE
