"sample_id","group","time_point","sample_number","directional_singscore","up_singscore","down_raw_singscore","down_reoriented_singscore"
"CON1","Control","t0",1,-0.00764453910914875,0.229443372978763,0.237087912087912,-0.237087912087912
"CON2","Control","t0",2,0.0526938460429003,0.243263480490086,0.190569634447185,-0.190569634447185
"CON3","Control","t0",3,0.0711256828593237,0.242153379652327,0.171027696793003,-0.171027696793003
"CON4","Control","t0",4,0.0177539084283486,0.243673397102939,0.225919488674591,-0.225919488674591
"CON5","Control","t0",5,0.0427276804684721,0.266662419199129,0.223934738730657,-0.223934738730657
"CON6","Control","t0",6,0.0609063082341793,0.238947909490066,0.178041601255887,-0.178041601255887
"INJS1","ACLT_1W","t7",1,0.138206753453865,0.306918908645612,0.168712155191747,-0.168712155191747
"INJS2","ACLT_1W","t7",2,0.114855517135112,0.302291040795126,0.187435523660013,-0.187435523660013
"INJS3","ACLT_1W","t7",3,0.0876974208985465,0.307903745186503,0.220206324287957,-0.220206324287957
"INJS4","ACLT_1W","t7",4,0.113023065725857,0.3084816887355,0.195458623009643,-0.195458623009643
"INJS5","ACLT_1W","t7",5,0.16152406943012,0.305210994749698,0.143686925319578,-0.143686925319578
"INJS6","ACLT_1W","t7",6,0.10274272188084,0.296222201584809,0.19347947970397,-0.19347947970397
"INJL1","ACLT_4W","t28",1,0.130921783764721,0.267614427855324,0.136692644090603,-0.136692644090603
"INJL2","ACLT_4W","t28",2,0.102156855808976,0.285191168435125,0.183034312626149,-0.183034312626149
"INJL3","ACLT_4W","t28",3,0.211321139254286,0.278768997518471,0.0674478582641848,-0.0674478582641848
"INJL4","ACLT_4W","t28",4,0.209302387427056,0.284128581641005,0.0748261942139493,-0.0748261942139493
"INJL5","ACLT_4W","t28",5,0.096210239880247,0.28049202951918,0.184281789638932,-0.184281789638932
"INJL6","ACLT_4W","t28",6,0.0839863869242612,0.281973603789029,0.197987216864768,-0.197987216864768
