"metric","value"
"run_status","SUCCESS"
"method_version","2026-05-10_FULL_LOGCPM_v2_robust_signature_column_detection_no_filtered_rank_background"
"rankGenes_input","full genome-wide TMM-normalized logCPM matrix regenerated from raw count matrix"
"filterByExpr_applied_before_rankGenes","FALSE"
"signature_detected_total","75"
"signature_detected_up","65"
"signature_detected_down","10"
"samples","18"
"groups","Control 6; ACLT_1W 6; ACLT_4W 6"
"directional_zscore_vs_singscore_spearman_rho","0.653250773993808"
"up_zscore_vs_singscore_spearman_rho","0.898864809081527"
"down_reoriented_zscore_vs_singscore_spearman_rho","0.73374613003096"
"directional_singscore_ACLT_1W_vs_Control_p","0.00507486809794025"
"directional_singscore_ACLT_4W_vs_Control_p","0.00507486809794025"
"main_signature_logCPM_audit_status","parsed"
"main_signature_logCPM_genes_parsed","0"
