"pig_gene_id","n_rows","directions","detected_in_full_logcpm"
"ENSSSCG00000000002",1,"up",TRUE
"ENSSSCG00000000217",1,"up",TRUE
"ENSSSCG00000000265",1,"up",TRUE
"ENSSSCG00000000739",1,"up",TRUE
"ENSSSCG00000001510",1,"up",TRUE
"ENSSSCG00000002383",1,"up",TRUE
"ENSSSCG00000002388",1,"down",TRUE
"ENSSSCG00000002669",1,"up",TRUE
"ENSSSCG00000003239",1,"up",TRUE
"ENSSSCG00000003756",1,"up",TRUE
"ENSSSCG00000003931",1,"up",TRUE
"ENSSSCG00000004454",1,"down",TRUE
"ENSSSCG00000004466",1,"up",TRUE
"ENSSSCG00000005055",1,"up",TRUE
"ENSSSCG00000005096",1,"up",TRUE
"ENSSSCG00000005134",1,"up",TRUE
"ENSSSCG00000006496",1,"up",TRUE
"ENSSSCG00000007334",1,"up",TRUE
"ENSSSCG00000008601",1,"up",TRUE
"ENSSSCG00000009002",1,"up",TRUE
"ENSSSCG00000009378",1,"up",TRUE
"ENSSSCG00000010214",1,"up",TRUE
"ENSSSCG00000010540",1,"up",TRUE
"ENSSSCG00000010703",1,"up",TRUE
"ENSSSCG00000010761",1,"up",TRUE
"ENSSSCG00000011226",1,"up",TRUE
"ENSSSCG00000011579",1,"down",TRUE
"ENSSSCG00000011959",1,"up",TRUE
"ENSSSCG00000012056",1,"up",TRUE
"ENSSSCG00000012365",1,"up",TRUE
"ENSSSCG00000013260",1,"up",TRUE
"ENSSSCG00000013735",1,"up",TRUE
"ENSSSCG00000014136",1,"up",TRUE
"ENSSSCG00000014326",1,"up",TRUE
"ENSSSCG00000014927",1,"up",TRUE
"ENSSSCG00000015022",1,"up",TRUE
"ENSSSCG00000015332",1,"down",TRUE
"ENSSSCG00000015604",1,"up",TRUE
"ENSSSCG00000016617",1,"up",TRUE
"ENSSSCG00000017082",1,"up",TRUE
"ENSSSCG00000017178",1,"up",TRUE
"ENSSSCG00000017306",1,"up",TRUE
"ENSSSCG00000017355",1,"up",TRUE
"ENSSSCG00000017991",1,"up",TRUE
"ENSSSCG00000020864",1,"up",TRUE
"ENSSSCG00000022126",1,"up",TRUE
"ENSSSCG00000023920",1,"up",TRUE
"ENSSSCG00000024872",1,"up",TRUE
"ENSSSCG00000025698",1,"up",TRUE
"ENSSSCG00000025822",1,"up",TRUE
"ENSSSCG00000026130",1,"up",TRUE
"ENSSSCG00000026748",1,"up",TRUE
"ENSSSCG00000027426",1,"up",TRUE
"ENSSSCG00000027855",1,"up",TRUE
"ENSSSCG00000029275",1,"down",TRUE
"ENSSSCG00000029326",1,"up",TRUE
"ENSSSCG00000029944",1,"down",TRUE
"ENSSSCG00000030469",1,"up",TRUE
"ENSSSCG00000030484",1,"up",TRUE
"ENSSSCG00000031970",1,"up",TRUE
"ENSSSCG00000032269",1,"up",TRUE
"ENSSSCG00000032556",1,"down",TRUE
"ENSSSCG00000032613",1,"up",TRUE
"ENSSSCG00000033608",1,"up",TRUE
"ENSSSCG00000033787",1,"down",TRUE
"ENSSSCG00000035537",1,"up",TRUE
"ENSSSCG00000035746",1,"up",TRUE
"ENSSSCG00000035878",1,"up",TRUE
"ENSSSCG00000035952",1,"up",TRUE
"ENSSSCG00000036145",1,"down",TRUE
"ENSSSCG00000040183",1,"up",TRUE
"ENSSSCG00000040779",1,"down",TRUE
"ENSSSCG00000056309",1,"up",TRUE
"ENSSSCG00000059646",1,"up",TRUE
"ENSSSCG00000061433",1,"up",TRUE
