"contrast","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_size","leadingEdge_genes"
"ACLT_untreated_t28_vs_Control","HALLMARK_ADIPOGENESIS",1.70129076199196e-19,2.83548460331994e-18,1.14219120216838,-0.617686408060598,-2.4915283018688,175,82,"TST;SLC25A10;CD302;LIPE;TALDO1;ECH1;CYP4B1;CIDEA;RETSAT;MTARC2;BCKDHA;CD151;CAT;ACO2;LEP;GPX3;PPARG;LPL;FAH;SNCG;LTC4S;ADIG;APOE;PFKL;FABP4;CRAT;DHRS7B;ADIPOR2;IDH3G;ITIH5;TKT;ACADS;SLC1A5;EPHX2;MIGA2;NKIRAS1;DGAT1;COX8A;ACADL;ADIPOQ;SLC25A1;ABCB8;ALDOA;PEX14;ETFB;AGPAT3;MGLL;ELMOD3;HADH;ACAA2;ACLY;STOM;GBE1;STAT5A;ELOVL6;ESRRA;POR;PTGER3;SORBS1;NDUFB7;CYC1;ECHS1;DECR1;CCNG2;CDKN2C;SDHB;ITGA7;RMDN3;OMD;COL15A1;SLC5A6;SPARCL1;DHRS7;GHITM;UQCR10;APLP2;NABP1;RNF11;SAMM50;UQCR11;SOD1;DHCR7"
"ACLT_untreated_t28_vs_Control","HALLMARK_ALLOGRAFT_REJECTION",0.566265060240964,0.693774131274131,0.0949751525905595,0.223084090569533,0.952328732725549,143,20,"ETS1;ST8SIA4;PRKCB;MMP9;IL27RA;HIF1A;RARS1;EIF3J;EIF4G3;IL7;DYRK3;GLMN;DEGS1;UBE2N;EIF3A;NPM1;IL6;BRCA1;IL4R;AARS1"
"ACLT_untreated_t28_vs_Control","HALLMARK_ANDROGEN_RESPONSE",0.00661711279188214,0.0165427819797054,0.407017918923954,0.378153800830587,1.48096539008583,82,25,"SEC24D;CENPN;B4GALT1;HMGCR;LMAN1;UBE2J1;ITGAV;ACTN1;PGM3;SGK1;INPP4B;PLPP1;SLC38A2;GSR;STK39;ABHD2;ELK4;ANKH;HMGCS1;PMEPA1;XRCC6;VAPA;RAB4A;MAK;GNAI3"
"ACLT_untreated_t28_vs_Control","HALLMARK_ANGIOGENESIS",0.143192488262911,0.25853889943074,0.179782316298324,0.390365648582446,1.27310657086404,31,8,"SPP1;POSTN;ITGAV;COL5A2;KCNJ8;COL3A1;PTK2;APP"
"ACLT_untreated_t28_vs_Control","HALLMARK_APICAL_JUNCTION",0.535398230088496,0.686407987292943,0.0605092988656667,-0.244915146615105,-0.971256254552824,148,24,"AKT2;CD209;TSPAN4;ADAMTS5;CRAT;PKD1;GAMT;ADAM15;RRAS;JUP;NEGR1;CADM3;TUBG1;AMIGO1;BAIAP2;LAMC2;HADH;CD34;MVD;TMEM8B;ACTN2;IRS1;RAC2;ACTB"
"ACLT_untreated_t28_vs_Control","HALLMARK_APICAL_SURFACE",0.145077720207254,0.25853889943074,0.151148761385484,-0.431160045633955,-1.28196438994507,29,9,"RTN4RL1;SLC2A4;HSPB1;ADIPOR2;SLC34A3;SULF2;CROCC;FLOT2;TMEM8B"
"ACLT_untreated_t28_vs_Control","HALLMARK_APOPTOSIS",0.619326500732064,0.703780114468255,0.053347785067549,-0.237421206024777,-0.935895314637164,136,19,"RETSAT;GPX3;TSPO;CDKN1B;GSN;HSPB1;TXNIP;CD14;FDXR;ERBB2;BTG2;DCN;MGMT;JUN;SMAD7;PLPPR4;RHOT2;ERBB3;FEZ1"
"ACLT_untreated_t28_vs_Control","HALLMARK_BILE_ACID_METABOLISM",1.46693540060391e-05,9.16834625377442e-05,0.593325476396405,-0.53634525185196,-1.91611421741477,74,38,"LIPE;ALDH1A1;RETSAT;ABCD2;CAT;ABCA6;RXRG;GSTK1;TFCP2L1;PEX16;FDXR;EPHX2;CYP8B1;HACL1;DHCR24;PEX11A;CH25H;PAOX;MLYCD;NR3C2;PEX11G;SLC29A1;NEDD4;ABCA3;RXRA;CYP27A1;RBP1;ABCD1;HSD17B4;LONP2;ACSL1;PEX6;ISOC1;SOD1;APOA1;ABCA1;PXMP2;NUDT12"
"ACLT_untreated_t28_vs_Control","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.000102243233187232,0.000393243204566278,0.538434096309916,-0.544902339885402,-1.911581768394,66,20,"FASN;ALDOC;ECH1;PPARG;LPL;MAL2;CBS;PMVK;ACSS2;CPEB2;SCD;PCYT2;LSS;SEMA3B;PNRC1;ATF5;ANTXR2;MVD;FDFT1;SREBF2"
"ACLT_untreated_t28_vs_Control","HALLMARK_COAGULATION",0.842185128983308,0.91257436724816,0.0409055783172035,-0.220790195393362,-0.827117826477408,96,33,"CFD;GSN;ANG;CAPN5;CRIP2;S100A1;F3;TFPI2;SIRT2;USP11;C2;CSRP1;C9;ACOX2;CTSO;RAPGEF3;C1QA;ITGB3;GNB2;PLEK;APOA1;PEF1;MMP11;CTSB;MST1;ISCU;P2RY1;MMP8;ITIH1;SERPING1;F2RL2;PROS1;DCT"
