"contrast","gene_id","gene_symbol","gene_symbol_original","identifier_source","logFC","PValue_original","PValue","FDR","rank_stat"
"ACLT_untreated_t7_vs_Control","ENSSSCG00000015581","CENPF","CENPF","pig_gene_symbol_from_DE_table",4.12963382732117,4.78562702290447e-12,4.78562702290447e-12,2.39606580237661e-08,11.3200611519839
"ACLT_untreated_t7_vs_Control","ENSSSCG00000008747","NCAPG","NCAPG","pig_gene_symbol_from_DE_table",3.49256843243188,4.87227313086142e-12,4.87227313086142e-12,2.39606580237661e-08,11.3122683739259
"ACLT_untreated_t7_vs_Control","ENSSSCG00000016658","ANLN","ANLN","pig_gene_symbol_from_DE_table",3.0090472719203,5.05037406529181e-12,5.05037406529181e-12,2.39606580237661e-08,11.2966764538663
"ACLT_untreated_t7_vs_Control","ENSSSCG00000007235","TPX2","TPX2","pig_gene_symbol_from_DE_table",3.37674422001818,6.95254478450811e-12,6.95254478450811e-12,2.4738892479476e-08,11.1578562049662
"ACLT_untreated_t7_vs_Control","ENSSSCG00000012377","KIF4A","KIF4A","pig_gene_symbol_from_DE_table",3.83540346177354,9.47870096803948e-12,9.47870096803948e-12,2.69820701756212e-08,11.0232511775426
"ACLT_untreated_t7_vs_Control","ENSSSCG00000004969","KIF23","KIF23","pig_gene_symbol_from_DE_table",3.36746207746062,2.1803797857076e-11,2.1803797857076e-11,4.94507884187322e-08,10.6614678529681
"ACLT_untreated_t7_vs_Control","ENSSSCG00000017473","TOP2A","TOP2A","pig_gene_symbol_from_DE_table",3.51732535077105,2.63126020440609e-11,2.63126020440609e-11,4.94507884187322e-08,10.5798362025604
"ACLT_untreated_t7_vs_Control","ENSSSCG00000028840","EZH2","EZH2","pig_gene_symbol_from_DE_table",1.94347211680274,3.16455389331441e-11,3.16455389331441e-11,4.94507884187322e-08,10.4996875037595
"ACLT_untreated_t7_vs_Control","ENSSSCG00000011309","KIF15","KIF15","pig_gene_symbol_from_DE_table",3.58480150897261,3.3259017449118e-11,3.3259017449118e-11,4.94507884187322e-08,10.4780905850242
"ACLT_untreated_t7_vs_Control","ENSSSCG00000010471","KIF11","KIF11","pig_gene_symbol_from_DE_table",3.13259882564916,3.4743756354059e-11,3.4743756354059e-11,4.94507884187322e-08,10.4591232291921
"ACLT_untreated_t7_vs_Control","ENSSSCG00000003628","CLSPN","CLSPN","pig_gene_symbol_from_DE_table",2.31374119099748,9.05702943791163e-11,9.05702943791163e-11,9.91605384536894e-08,10.0430142206748
"ACLT_untreated_t7_vs_Control","ENSSSCG00000007423","UBE2C","UBE2C","pig_gene_symbol_from_DE_table",3.43541276724119,1.05615655657209e-10,1.05615655657209e-10,1.07373401926361e-07,9.97627170053721
"ACLT_untreated_t7_vs_Control","ENSSSCG00000032909","CDCA8","CDCA8","pig_gene_symbol_from_DE_table",3.13501563809292,1.18859782182628e-10,1.18859782182628e-10,1.12782085320356e-07,9.92496506994664
"ACLT_untreated_t7_vs_Control","ENSSSCG00000014256","FBN2","FBN2","pig_gene_symbol_from_DE_table",3.99124039992681,1.42165799240042e-10,1.42165799240042e-10,1.21681225350676e-07,9.84720486906193
"ACLT_untreated_t7_vs_Control","ENSSSCG00000029509","KIF22","KIF22","pig_gene_symbol_from_DE_table",2.53353462927299,1.69659462758906e-10,1.69659462758906e-10,1.21681225350676e-07,9.77042191256253
"ACLT_untreated_t7_vs_Control","ENSSSCG00000014326","KIF20A","KIF20A","pig_gene_symbol_from_DE_table",3.8700991239235,1.71356637131425e-10,1.71356637131425e-10,1.21681225350676e-07,9.76609906944404
"ACLT_untreated_t7_vs_Control","ENSSSCG00000004588","CCNB2","CCNB2","pig_gene_symbol_from_DE_table",3.37455357611423,1.82837096342066e-10,1.82837096342066e-10,1.21681225350676e-07,9.73793568441088
"ACLT_untreated_t7_vs_Control","ENSSSCG00000007366","MYBL2","MYBL2","pig_gene_symbol_from_DE_table",2.70902954924483,1.84661908103342e-10,1.84661908103342e-10,1.21681225350676e-07,9.73362268120651
"ACLT_untreated_t7_vs_Control","ENSSSCG00000003697","NDC80","NDC80","pig_gene_symbol_from_DE_table",3.53449384861052,1.854188862901e-10,1.854188862901e-10,1.21681225350676e-07,9.73184603182134
"ACLT_untreated_t7_vs_Control","ENSSSCG00000003931","KIF2C","KIF2C","pig_gene_symbol_from_DE_table",3.31221763120426,1.88083113729704e-10,1.88083113729704e-10,1.21681225350676e-07,9.72565019404669
"ACLT_untreated_t7_vs_Control","ENSSSCG00000025344","PHC2","PHC2","pig_gene_symbol_from_DE_table",1.85292609725425,2.10559696915562e-10,2.10559696915562e-10,1.25322573506889e-07,9.67662475319909
"ACLT_untreated_t7_vs_Control","ENSSSCG00000029326","CCNB1","CCNB1","pig_gene_symbol_from_DE_table",3.80515840193898,2.19686834106411e-10,2.19686834106411e-10,1.25322573506889e-07,9.65819596968973
"ACLT_untreated_t7_vs_Control","ENSSSCG00000000171","CKAP4","CKAP4","pig_gene_symbol_from_DE_table",1.63107736691701,2.3273343154273e-10,2.3273343154273e-10,1.25322573506889e-07,9.63314122697686
"ACLT_untreated_t7_vs_Control","ENSSSCG00000009839","CIT","CIT","pig_gene_symbol_from_DE_table",3.25687051172662,2.3793013673488e-10,2.3793013673488e-10,1.25322573506889e-07,9.62355054582009
"ACLT_untreated_t7_vs_Control","ENSSSCG00000030469","BUB1","BUB1","pig_gene_symbol_from_DE_table",3.87971042998679,2.9000541228609e-10,2.9000541228609e-10,1.41340669234028e-07,9.53759389691467
"ACLT_untreated_t7_vs_Control","ENSSSCG00000005056","DLGAP5","DLGAP5","pig_gene_symbol_from_DE_table",4.03372373556685,3.08686224694244e-10,3.08686224694244e-10,1.41340669234028e-07,9.51048275073417
