"category","role","required","expected_paths","exact_basenames","found","source_chosen","source_mode","destination","copied","source_size_bytes","dest_size_bytes","source_md5","dest_md5","warning_message","error_message"
"scripts","Step01 project structure",TRUE,"E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/09_scripts/A step01_initialize_project_structure.R","A step01_initialize_project_structure.R | step01_initialize_project_structure.R | A step01_initialize_project_structure(3).R",TRUE,"E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/09_scripts/A step01_initialize_project_structure.R","expected_path","E:/R/ACLsenescence2/rebuild_submission/submission/mouse/scripts/A step01_initialize_project_structure.R",TRUE,2659,2659,"389b3fa03d76b956e5d69769590daed1","389b3fa03d76b956e5d69769590daed1",NA,NA
"scripts","Step02 GEO supplementary download",TRUE,"E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/09_scripts/B step02_download_GSE271903.R","B step02_download_GSE271903.R | step02_download_GSE271903.R | B step02_download_GSE271903(3).R",TRUE,"E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/09_scripts/B step02_download_GSE271903.R","expected_path","E:/R/ACLsenescence2/rebuild_submission/submission/mouse/scripts/B step02_download_GSE271903.R",TRUE,2789,2789,"7febf2a5ccef13918cd215f6cdbd8d0a","7febf2a5ccef13918cd215f6cdbd8d0a",NA,NA
"scripts","Step03 expression and metadata loading",TRUE,"E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/09_scripts/C step03_load_expression.R","C step03_load_expression.R | step03_load_expression.R | C step03_load_expression(3).R",TRUE,"E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/09_scripts/C step03_load_expression.R","expected_path","E:/R/ACLsenescence2/rebuild_submission/submission/mouse/scripts/C step03_load_expression.R",TRUE,3493,3493,"95169879be22c2541932c10e36d447d9","95169879be22c2541932c10e36d447d9",NA,NA
"scripts","Step04 paired sample construction",TRUE,"E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/09_scripts/D step04_construct_paired_samples_fixed_v3.R","D step04_construct_paired_samples_fixed_v3.R | step04_construct_paired_samples.R | D step04_construct_paired_samples_fixed_v3(3).R",TRUE,"E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/09_scripts/D step04_construct_paired_samples_fixed_v3.R","expected_path","E:/R/ACLsenescence2/rebuild_submission/submission/mouse/scripts/D step04_construct_paired_samples_fixed_v3.R",TRUE,12113,12113,"1c489998c1bee16559c9985e46a47f9c","1c489998c1bee16559c9985e46a47f9c",NA,NA
"scripts","Step05 paired limma-voom DE and volcano",TRUE,"E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/09_scripts/E step05_mouse_DE_limma_voom+volcano.R","E step05_mouse_DE_limma_voom+volcano.R | step05_mouse_DE_volcano.R | E step05_mouse_DE_limma_voom+volcano(3).R",TRUE,"E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/09_scripts/E step05_mouse_DE_limma_voom+volcano.R","expected_path","E:/R/ACLsenescence2/rebuild_submission/submission/mouse/scripts/E step05_mouse_DE_limma_voom+volcano.R",TRUE,19927,19927,"cac3f9eb51a8714408d6ea9773677b40","cac3f9eb51a8714408d6ea9773677b40",NA,NA
"scripts","Step06 PCA from Step05 voom logCPM",TRUE,"E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/09_scripts/F step06_mouse_Figure1BC_PCA_from_step05_voom.R","F step06_mouse_Figure1BC_PCA_from_step05_voom.R | step06_mouse_Figure1BC_PCA.R | F step06_mouse_Figure1BC_PCA_from_step05_voom(3).R",TRUE,"E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/09_scripts/F step06_mouse_Figure1BC_PCA_from_step05_voom.R","expected_path","E:/R/ACLsenescence2/rebuild_submission/submission/mouse/scripts/F step06_mouse_Figure1BC_PCA_from_step05_voom.R",TRUE,10195,10195,"c3c449d51e3130c0daf0dff973f3d66f","c3c449d51e3130c0daf0dff973f3d66f",NA,NA
"scripts","Step06B sample-level MDS supplemental QC",TRUE,"E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/09_scripts/F2 step06B_mouse_MDS_from_step05_voom_logCPM_to_S1.R","F2 step06B_mouse_MDS_from_step05_voom_logCPM_to_S1.R | step06_mouse_MDS_from_step05_voom_logCPM.R",TRUE,"E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/09_scripts/F2 step06B_mouse_MDS_from_step05_voom_logCPM_to_S1.R","expected_path","E:/R/ACLsenescence2/rebuild_submission/submission/mouse/scripts/F2 step06B_mouse_MDS_from_step05_voom_logCPM_to_S1.R",TRUE,18285,18285,"2de8280fd385a1c9c87a72271c9afe2d","2de8280fd385a1c9c87a72271c9afe2d",NA,NA
"scripts","Step07 strict DEG and persistent structure",TRUE,"E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/09_scripts/G step07_strict_DEG_upset_persistent_from_step05_DE.R","G step07_strict_DEG_upset_persistent_from_step05_DE.R | step07_strict_DEG_upset_persistent.R | G step07_strict_DEG_upset_persistent_from_step05_DE(3).R",TRUE,"E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/09_scripts/G step07_strict_DEG_upset_persistent_from_step05_DE.R","expected_path","E:/R/ACLsenescence2/rebuild_submission/submission/mouse/scripts/G step07_strict_DEG_upset_persistent_from_step05_DE.R",TRUE,13137,13137,"30e23c04d64efcee7a5bbe125a3da638","30e23c04d64efcee7a5bbe125a3da638",NA,NA
"scripts","Step08 Figure2B logFC scatter",TRUE,"E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/09_scripts/H step08_logFC_scatter_draw_v2.R","H step08_logFC_scatter_draw_v2.R | step08_logFC_scatter.R | H step08_logFC_scatter_draw_v2(3).R",TRUE,"E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/09_scripts/H step08_logFC_scatter_draw_v2.R","expected_path","E:/R/ACLsenescence2/rebuild_submission/submission/mouse/scripts/H step08_logFC_scatter_draw_v2.R",TRUE,8674,8674,"e2530e892cb677eefa4fdb06ff32be97","e2530e892cb677eefa4fdb06ff32be97",NA,NA
"scripts","Step09 Figure2C persistent heatmap",TRUE,"E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/09_scripts/I step09_persistent_heatmap_from_step05_voom.R","I step09_persistent_heatmap_from_step05_voom.R | step09_persistent_heatmap.R | I step09_persistent_heatmap_from_step05_voom(3).R",TRUE,"E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/09_scripts/I step09_persistent_heatmap_from_step05_voom.R","expected_path","E:/R/ACLsenescence2/rebuild_submission/submission/mouse/scripts/I step09_persistent_heatmap_from_step05_voom.R",TRUE,11663,11663,"7e49f23fd5e232be5dbee4f87fb05fa7","7e49f23fd5e232be5dbee4f87fb05fa7",NA,NA
