"original_expr_colname","cleaned_expr_colname"
"gene_id","UNMATCHED_GENEID"
"gene_symbol","UNMATCHED_GENESYMBOL"
"read_count_M133","UNMATCHED_READCOUNTM133"
"read_count_M134","UNMATCHED_READCOUNTM134"
"read_count_M138","UNMATCHED_READCOUNTM138"
"read_count_M139","UNMATCHED_READCOUNTM139"
"read_count_M144","UNMATCHED_READCOUNTM144"
"read_count_M145","UNMATCHED_READCOUNTM145"
"read_count_M149","UNMATCHED_READCOUNTM149"
"read_count_M155","UNMATCHED_READCOUNTM155"
"read_count_M164","UNMATCHED_READCOUNTM164"
"read_count_M165","UNMATCHED_READCOUNTM165"
"read_count_M170","UNMATCHED_READCOUNTM170"
"read_count_M171","UNMATCHED_READCOUNTM171"
"read_count_M175","UNMATCHED_READCOUNTM175"
