"sample_id","timepoint.x","MDS1","MDS2","original_sample_id","timepoint.y","treatment_raw","treatment","sex","mouse_id","timepoint"
"M130L","1W",1.96398100767053,-0.474122430662815,"M130L","1W","Contra","Contra","M","M130","1W"
"M130R","1W",-0.746701209934402,-1.05842191041819,"M130R","1W","ACLR","ACLR","M","M130","1W"
"M135L","1W",2.02485194651304,-0.64616137568196,"M135L","1W","Contra","Contra","M","M135","1W"
"M135R","1W",-1.37795962110418,-0.380214543549383,"M135R","1W","ACLR","ACLR","M","M135","1W"
"M142L","1W",0.0340666325095236,1.05669918557343,"M142L","1W","Contra","Contra","F","M142","1W"
"M142R","1W",-1.56607800000738,0.486067359378838,"M142R","1W","ACLR","ACLR","F","M142","1W"
"M143L","1W",0.955393548257325,0.889470151780982,"M143L","1W","Contra","Contra","F","M143","1W"
"M143R","1W",-1.67329375248688,0.362690322729193,"M143R","1W","ACLR","ACLR","F","M143","1W"
"M147L","1W",1.91955252607932,-0.896281502212055,"M147L","1W","Contra","Contra","M","M147","1W"
"M147R","1W",-0.868734721466326,-0.529113332613591,"M147R","1W","ACLR","ACLR","M","M147","1W"
"M153L","1W",0.815480894536595,-0.247984968316971,"M153L","1W","Contra","Contra","M","M153","1W"
"M153R","1W",-0.979221488126253,-0.605703748094518,"M153R","1W","ACLR","ACLR","M","M153","1W"
"M158L","1W",1.47919524952239,1.02513516565891,"M158L","1W","Contra","Contra","F","M158","1W"
"M158R","1W",-2.10761952644463,0.199506384083445,"M158R","1W","ACLR","ACLR","F","M158","1W"
"M160L","1W",1.38703641660787,1.06202853455034,"M160L","1W","Contra","Contra","F","M160","1W"
"M160R","1W",-1.53814354829623,0.321903215601506,"M160R","1W","ACLR","ACLR","F","M160","1W"
"M163L","1W",1.53124915618467,-0.543237621907271,"M163L","1W","Contra","Contra","M","M163","1W"
"M163R","1W",-0.822254972150944,-0.905339237263573,"M163R","1W","ACLR","ACLR","M","M163","1W"
"M167L","1W",1.87235582791119,-0.618425611790948,"M167L","1W","Contra","Contra","M","M167","1W"
"M167R","1W",-1.78183066421033,-0.311009595539708,"M167R","1W","ACLR","ACLR","M","M167","1W"
"M174L","1W",0.999755163677434,0.794631235869669,"M174L","1W","Contra","Contra","F","M174","1W"
"M174R","1W",-1.53735963156973,0.116806142592845,"M174R","1W","ACLR","ACLR","F","M174","1W"
"M178L","1W",1.74933825154456,0.528835061505253,"M178L","1W","Contra","Contra","F","M178","1W"
"M178R","1W",-1.73305948521717,0.372243118726588,"M178R","1W","ACLR","ACLR","F","M178","1W"
