"sample_id","timepoint.x","MDS1","MDS2","original_sample_id","timepoint.y","treatment_raw","treatment","sex","mouse_id","timepoint"
"M130L","1W",1.96398100767053,-0.474122430662815,"M130L","1W","Contra","Contra","M","M130","1W"
"M130R","1W",-0.746701209934402,-1.05842191041819,"M130R","1W","ACLR","ACLR","M","M130","1W"
"M135L","1W",2.02485194651304,-0.64616137568196,"M135L","1W","Contra","Contra","M","M135","1W"
"M135R","1W",-1.37795962110418,-0.380214543549383,"M135R","1W","ACLR","ACLR","M","M135","1W"
"M142L","1W",0.0340666325095236,1.05669918557343,"M142L","1W","Contra","Contra","F","M142","1W"
"M142R","1W",-1.56607800000738,0.486067359378838,"M142R","1W","ACLR","ACLR","F","M142","1W"
"M143L","1W",0.955393548257325,0.889470151780982,"M143L","1W","Contra","Contra","F","M143","1W"
"M143R","1W",-1.67329375248688,0.362690322729193,"M143R","1W","ACLR","ACLR","F","M143","1W"
"M147L","1W",1.91955252607932,-0.896281502212055,"M147L","1W","Contra","Contra","M","M147","1W"
"M147R","1W",-0.868734721466326,-0.529113332613591,"M147R","1W","ACLR","ACLR","M","M147","1W"
"M153L","1W",0.815480894536595,-0.247984968316971,"M153L","1W","Contra","Contra","M","M153","1W"
"M153R","1W",-0.979221488126253,-0.605703748094518,"M153R","1W","ACLR","ACLR","M","M153","1W"
"M158L","1W",1.47919524952239,1.02513516565891,"M158L","1W","Contra","Contra","F","M158","1W"
"M158R","1W",-2.10761952644463,0.199506384083445,"M158R","1W","ACLR","ACLR","F","M158","1W"
"M160L","1W",1.38703641660787,1.06202853455034,"M160L","1W","Contra","Contra","F","M160","1W"
"M160R","1W",-1.53814354829623,0.321903215601506,"M160R","1W","ACLR","ACLR","F","M160","1W"
"M163L","1W",1.53124915618467,-0.543237621907271,"M163L","1W","Contra","Contra","M","M163","1W"
"M163R","1W",-0.822254972150944,-0.905339237263573,"M163R","1W","ACLR","ACLR","M","M163","1W"
"M167L","1W",1.87235582791119,-0.618425611790948,"M167L","1W","Contra","Contra","M","M167","1W"
"M167R","1W",-1.78183066421033,-0.311009595539708,"M167R","1W","ACLR","ACLR","M","M167","1W"
"M174L","1W",0.999755163677434,0.794631235869669,"M174L","1W","Contra","Contra","F","M174","1W"
"M174R","1W",-1.53735963156973,0.116806142592845,"M174R","1W","ACLR","ACLR","F","M174","1W"
"M178L","1W",1.74933825154456,0.528835061505253,"M178L","1W","Contra","Contra","F","M178","1W"
"M178R","1W",-1.73305948521717,0.372243118726588,"M178R","1W","ACLR","ACLR","F","M178","1W"
"M131L","4W",0.874339380644611,-0.336640040233511,"M131L","4W","Contra","Contra","M","M131","4W"
"M131R","4W",-0.99258696639613,-0.969052785787517,"M131R","4W","ACLR","ACLR","M","M131","4W"
"M137L","4W",0.874777077321571,-0.603507370462393,"M137L","4W","Contra","Contra","M","M137","4W"
"M137R","4W",-1.93545776774799,-0.771312407797266,"M137R","4W","ACLR","ACLR","M","M137","4W"
"M140L","4W",1.20336040979013,0.27281481434509,"M140L","4W","Contra","Contra","F","M140","4W"
"M140R","4W",-1.31753473840405,0.374613994485804,"M140R","4W","ACLR","ACLR","F","M140","4W"
"M146L","4W",0.503562017596638,0.748478852285335,"M146L","4W","Contra","Contra","F","M146","4W"
"M146R","4W",-1.31959022280187,0.565005032097805,"M146R","4W","ACLR","ACLR","F","M146","4W"
"M150L","4W",1.60486794891547,-0.750006388991421,"M150L","4W","Contra","Contra","M","M150","4W"
"M150R","4W",-1.01562567503148,-0.707110411837252,"M150R","4W","ACLR","ACLR","M","M150","4W"
"M154L","4W",1.5248621001305,-0.964508142073552,"M154L","4W","Contra","Contra","M","M154","4W"
"M154R","4W",1.25343065986527,0.335351975635769,"M154R","4W","ACLR","ACLR","M","M154","4W"
"M157L","4W",0.360744559802629,1.15546910479938,"M157L","4W","Contra","Contra","F","M157","4W"
"M157R","4W",-0.73664721203898,0.671879535341494,"M157R","4W","ACLR","ACLR","F","M157","4W"
"M161L","4W",0.184568535527424,0.819480241009898,"M161L","4W","Contra","Contra","F","M161","4W"
"M161R","4W",-1.37417157214942,0.191338058239261,"M161R","4W","ACLR","ACLR","F","M161","4W"
"M166L","4W",1.25410020389193,-0.57190007281669,"M166L","4W","Contra","Contra","M","M166","4W"
"M166R","4W",-1.4412653051687,-0.455060365347585,"M166R","4W","ACLR","ACLR","M","M166","4W"
"M169L","4W",1.671540651767,-0.359816087233347,"M169L","4W","Contra","Contra","M","M169","4W"
"M169R","4W",-1.08586653142847,-0.855569745206212,"M169R","4W","ACLR","ACLR","M","M169","4W"
"M173L","4W",0.890350790325659,0.586643768094492,"M173L","4W","Contra","Contra","F","M173","4W"
"M173R","4W",-0.933577702206507,0.311524234441422,"M173R","4W","ACLR","ACLR","F","M173","4W"
"M176L","4W",0.540897937077889,0.798495978368642,"M176L","4W","Contra","Contra","F","M176","4W"
"M176R","4W",-0.58907857928314,0.513388228642346,"M176R","4W","ACLR","ACLR","F","M176","4W"
