"sample_id","original_sample_id","timepoint","treatment_raw","treatment","sex","mouse_id"
"M131L","M131L","4W","Contra","Contra","M","M131"
"M131R","M131R","4W","ACLR","ACLR","M","M131"
"M137L","M137L","4W","Contra","Contra","M","M137"
"M137R","M137R","4W","ACLR","ACLR","M","M137"
"M140L","M140L","4W","Contra","Contra","F","M140"
"M140R","M140R","4W","ACLR","ACLR","F","M140"
"M146L","M146L","4W","Contra","Contra","F","M146"
"M146R","M146R","4W","ACLR","ACLR","F","M146"
"M150L","M150L","4W","Contra","Contra","M","M150"
"M150R","M150R","4W","ACLR","ACLR","M","M150"
"M154L","M154L","4W","Contra","Contra","M","M154"
"M154R","M154R","4W","ACLR","ACLR","M","M154"
"M157L","M157L","4W","Contra","Contra","F","M157"
"M157R","M157R","4W","ACLR","ACLR","F","M157"
"M161L","M161L","4W","Contra","Contra","F","M161"
"M161R","M161R","4W","ACLR","ACLR","F","M161"
"M166L","M166L","4W","Contra","Contra","M","M166"
"M166R","M166R","4W","ACLR","ACLR","M","M166"
"M169L","M169L","4W","Contra","Contra","M","M169"
"M169R","M169R","4W","ACLR","ACLR","M","M169"
"M173L","M173L","4W","Contra","Contra","F","M173"
"M173R","M173R","4W","ACLR","ACLR","F","M173"
"M176L","M176L","4W","Contra","Contra","F","M176"
"M176R","M176R","4W","ACLR","ACLR","F","M176"
