"...1","...2","Genotype","Mouse ID","Sex","D.O.B","Age At Rupture","Group","Sac Date","Sample","...11"
2019-12-08,"RNA Seq (1W ACLR)","WT (C57Bl/6)","M130","M",2019-09-17,11.7,"Rupture (1W)",2019-12-15,"L+R","M130"
2019-12-08,"RNA Seq (4W ACLR)","WT (C57Bl/6)","M131","M",2019-09-17,11.7,"Rupture (4W)",NA,NA,NA
2019-12-08,"RNA Seq (1W Sham)","WT (C57Bl/6)","M133","M",2019-09-17,11.7,"Sham (1W)",2019-12-15,"One Tube","M133"
2019-12-08,"RNA Seq (4W Sham)","WT (C57Bl/6)","M134","M",2019-09-17,11.7,"Sham (4W)",NA,NA,NA
2019-12-08,"RNA Seq (1W ACLR)","WT (C57Bl/6)","M135","M",2019-09-17,11.7,"Rupture (1W)",2019-12-15,"L+R","M135"
2019-12-08,"RNA Seq (1W Sham)","WT (C57Bl/6)","M136","M",2019-09-17,11.7,"Sham (1W)",2019-12-15,"One Tube","M136"
2019-12-08,"RNA Seq (4W ACLR)","WT (C57Bl/6)","M137","M",2019-09-17,11.7,"Rupture(4W)",NA,NA,NA
2019-12-08,"RNA Seq (4W Sham)","WT (C57Bl/6)","M138","M",2019-09-17,11.7,"Sham (4W)",NA,NA,NA
2019-12-08,"RNA Seq (4W Sham)","WT (C57Bl/6)","M139","F",2019-09-17,11.7,"Sham (4W)",NA,NA,NA
2019-12-08,"RNA Seq (4W ACLR)","WT (C57Bl/6)","M140","F",2019-09-17,11.7,"Rupture (4W)",NA,NA,NA
2019-12-08,"RNA Seq (1W Sham)","WT (C57Bl/6)","M141","F",2019-09-17,11.7,"Sham (1W)",2019-12-15,"One Tube","M141"
2019-12-08,"RNA Seq (1W ACLR)","WT (C57Bl/6)","M142","F",2019-09-17,11.7,"Rupture (1W)",2019-12-15,"L+R","M142"
2019-12-08,"RNA Seq (1W ACLR)","WT (C57Bl/6)","M143","F",2019-09-17,11.7,"Rupture (1W)",2019-12-15,"L+R","M143"
2019-12-08,"RNA Seq (1W Sham)","WT (C57Bl/6)","M144","F",2019-09-17,11.7,"Sham (1W)",2019-12-15,"One Tube","M144"
