"gene_id","logFC","AveExpr","t","P.Value","FDR","B","ENTREZID","SYMBOL","strict_DEG","direction","label_final","label_score"
"G10090_19936",6.20943492302011,4.92404731059851,23.2427700110723,1.35314725580675e-18,1.93648903778503e-14,31.817196574372,"68588","Cthrc1",TRUE,"Up","Cthrc1",85.1498876918142
"G10090_15091",2.8952764557886,7.35857569233666,19.0082495248361,1.68273628054654e-16,6.68580131494874e-13,27.640996268985,"13717","Eln",TRUE,"Up","Eln",35.2495465218082
"G10090_32870",3.30399895444573,4.91982606663829,18.9273626127446,1.86175537066014e-16,6.68580131494874e-13,27.6541932868724,"56264","Cpxm1",TRUE,"Up","Cpxm1",40.2256802178217
"G10090_8611",3.26316270551553,5.05909295589976,18.9243823434188,1.86871673955663e-16,6.68580131494874e-13,27.655340532795,"17150","Mfap2",TRUE,"Up","Mfap2",39.7285051540853
"G10090_30168",-1.47137659307184,4.50216285267233,-18.2784912146917,4.24791469487783e-16,1.21583814396793e-12,26.8934098478578,"67442","Retsat",TRUE,"Down","Retsat",17.5316349041044
"G10090_1992",3.52476056909089,5.77208302446899,18.0275730969206,5.88399061636753e-16,1.39210990429535e-12,26.5254804971995,"72709","C1qtnf6",TRUE,"Up","C1qtnf6",41.7907120593066
"G10090_10033",4.91060711004527,4.99132026218556,17.9160592396714,6.80928609465965e-16,1.39210990429535e-12,26.3006198929156,"17294","Mest",TRUE,"Up","Mest",58.2217610954538
"G10090_14414",4.00501706585527,4.53817892331532,17.6425566797709,9.77504073598816e-16,1.74863259965908e-12,25.9903394674618,"19242","Ptn",TRUE,"Up","Ptn",47.0881928729296
"G10090_15210",3.38533651941381,7.79650164623861,16.3846892427722,5.49603669861529e-15,8.7393090215426e-12,24.2318239758018,"17387","Mmp14",TRUE,"Up","Mmp14",37.4368214368368
"G10090_4403",2.41675327977846,4.89158815479666,16.1677805341473,7.48564761532142e-15,8.84067537544994e-12,24.0429394816802,"102657","Cd276",TRUE,"Up","Cd276",26.713617556734
"G10090_18972",4.65606070034755,-2.86213996203688,16.1422763954892,7.76433816442054e-15,8.84067537544994e-12,21.5775236946547,"22262","Uox",TRUE,"Up","Uox",51.465834725763
"G10090_30523",2.0640353345234,5.64054363056869,16.1401755150167,7.78776905630321e-15,8.84067537544994e-12,24.003311664406,"14086","Fscn1",TRUE,"Up","Fscn1",22.8148446146303
"G10090_16680",2.74383629655089,4.3052509095643,16.1187630087543,8.03080007552576e-15,8.84067537544994e-12,23.9689672521387,"12394","Runx1",TRUE,"Up","Runx1",30.3290344437084
