"","M131L","M131R","M137L","M137R","M140L","M140R","M146L","M146R","M150L","M150R","M154L","M154R","M157L","M157R","M161L","M161R","M166L","M166R","M169L","M169R","M173L","M173R","M176L","M176R"
"G10090_32561",8.03599727200907,8.19704300190463,7.92126133018745,8.2297948588522,8.18601846216999,7.99401061119129,7.97317634960737,8.09646346925903,8.01196740445671,8.03708995073804,8.04140069970109,8.00510159805257,8.25531667849952,8.22520880640141,8.11714032389663,8.08224326639161,8.09936934423002,7.96180544940902,8.98836193403865,8.07171705922357,8.38863531376058,8.14483847066938,8.07400336334956,8.39343046343449
"G10090_15366",5.28769652651902,5.226601508759,5.55220226908852,5.25159922917055,5.3951504232587,5.02184433689172,4.21452153110825,4.55244433073443,5.46998278582444,4.96783848475663,5.78159857560616,5.73295679396749,4.59618205718108,4.80080427949879,4.70412556175552,4.85469937940793,5.21009488084952,4.95443632973161,5.25739682119841,5.10808105295039,5.54684160450057,5.33128945241364,5.07593191615966,5.33364821015796
"G10090_11692",1.37703910098758,4.15544670681788,2.79246755589937,3.8311136676781,2.10635830796623,2.55140947333082,2.27780489368689,2.51040255991751,1.20463821930344,3.12088070865557,4.13259446136931,2.00433826614436,1.41442850833224,2.06652616610788,1.90946360070166,3.15377409394981,1.30377980934992,2.9140458561164,1.79465107824346,4.43067067859803,3.51704192295742,2.78931681631836,1.93340951949258,2.56973024252772
"G10090_14637",0.658810069402958,2.85549949601901,0.474935194944073,3.22270028041482,-0.0131085433890863,2.82945399454474,0.871169669518768,3.15512720784171,-0.685772442481719,2.98493447857994,-0.516279156803153,0.496302489831395,1.18142461129356,2.86992418800262,1.46507619965839,3.00348780805442,0.507494900202141,2.40230803594063,0.410513534954168,2.91299860834222,0.699689897391168,2.90091634848366,1.85671750772088,2.72233694250462
"G10090_15380",4.35446868941225,3.73964096630905,3.90072732227392,3.60318955310899,3.96060476509064,3.55660529888399,4.55932358922076,3.65353612024031,4.12729613077028,3.65701419980725,3.92398722742029,3.84440720727783,5.21737631934604,4.10634750694155,4.35833119512164,3.4465264214269,3.96009718044932,3.83905292477982,4.44026087834822,3.73963624797532,4.31191447811678,3.61679834135499,4.19225603412689,3.62582896165128
"G10090_30608",-5.88034874170507,-0.415487033205181,-1.03095573478588,-0.559154269348916,-1.59807104411024,-1.26891774587254,-1.47365882747867,-0.924419591375788,-1.1927324312016,-0.685603753847294,-0.185073248327779,-1.12988267361627,-0.657639170491377,-1.3322903513962,-0.526099949954603,-0.194289314027776,-2.05885192235167,-0.641260978996765,-0.922910198771024,-1.19191640186747,-1.03149334418103,-1.88418576672681,-1.22052549121158,-1.48542013246343
"G10090_11099",0.386437798989828,-0.147553827958548,0.700227506786316,0.312838118275012,0.32792837444598,0.874918026701116,1.08215732758297,1.01563786816793,0.667864512132981,1.36943760971067,0.201949874781468,0.368923183355168,1.57160692188613,1.09273123645527,0.716260887614441,1.00624367334493,0.898919842259035,1.44459975765707,0.499322801912024,0.579459223084572,0.255387803607129,0.734724065917682,1.21243391606452,0.705263429145681
"G10090_10411",2.80264584197661,2.8916440597541,2.57785350788964,3.67437497048608,2.39590516826199,4.14648329001927,2.99362065298131,3.5212208915813,1.83546446062905,3.05376433053422,0.71934909168999,2.4706766821559,2.95641624175011,3.43834295553541,2.93971528547355,3.58936951558647,1.64158779578942,3.77929514861831,1.51004920850508,3.22389820221923,1.61927121493587,3.40473522227223,2.462047806136,2.75588950221565
"G10090_2123",3.32177508212539,2.95564505968295,3.21088444877879,2.74909888864137,2.64985646933334,2.10331543086289,2.27050226809174,2.24550541006652,3.62273513664332,2.84213387818091,3.28106859189907,2.36336365801327,1.12663213845319,2.18428517434471,2.55513989800557,2.75089780134284,3.60484301451529,2.68338661724419,3.49122533421343,3.16684846120027,1.67337862027532,2.05888716518835,1.6354642060969,2.49484364947531
"G10090_8180",3.43026403995446,4.50215904796846,3.80698750710514,5.2756447031372,3.66245650611298,4.86235840292187,3.56723360316823,4.96616283752459,2.70399829818669,4.51515865151761,3.85370507942871,3.5825695622268,4.10199014379916,4.44712502889497,3.95397597859872,5.22607725158864,3.40812650533898,5.08768630482038,3.1577474645742,5.13559752721583,4.29475635665642,5.22384077976483,4.05000345116914,4.23061644072868
