"original_expr_colname","cleaned_expr_colname"
"gene_id","UNMATCHED_GENEID"
"gene_symbol","UNMATCHED_GENESYMBOL"
"read_count_M130L","M130L"
"read_count_M130R","M130R"
"read_count_M131L","M131L"
"read_count_M131R","M131R"
"read_count_M133","UNMATCHED_READCOUNTM133"
"read_count_M134","UNMATCHED_READCOUNTM134"
"read_count_M135L","M135L"
"read_count_M135R","M135R"
"read_count_M137L","M137L"
"read_count_M137R","M137R"
"read_count_M138","UNMATCHED_READCOUNTM138"
"read_count_M139","UNMATCHED_READCOUNTM139"
"read_count_M140L","M140L"
"read_count_M140R","M140R"
"read_count_M142L","M142L"
"read_count_M142R","M142R"
"read_count_M143L","M143L"
"read_count_M143R","M143R"
"read_count_M144","UNMATCHED_READCOUNTM144"
"read_count_M145","UNMATCHED_READCOUNTM145"
"read_count_M146L","M146L"
"read_count_M146R","M146R"
"read_count_M147L","M147L"
"read_count_M147R","M147R"
"read_count_M149","UNMATCHED_READCOUNTM149"
"read_count_M150L","M150L"
"read_count_M150R","M150R"
"read_count_M153L","M153L"
"read_count_M153R","M153R"
"read_count_M154L","M154L"
"read_count_M154R","M154R"
"read_count_M155","UNMATCHED_READCOUNTM155"
"read_count_M157L","M157L"
"read_count_M157R","M157R"
"read_count_M158L","M158L"
"read_count_M158R","M158R"
"read_count_M160L","M160L"
"read_count_M160R","M160R"
"read_count_M161L","M161L"
"read_count_M161R","M161R"
"read_count_M163L","M163L"
"read_count_M163R","M163R"
"read_count_M164","UNMATCHED_READCOUNTM164"
"read_count_M165","UNMATCHED_READCOUNTM165"
"read_count_M166L","M166L"
"read_count_M166R","M166R"
"read_count_M167L","M167L"
"read_count_M167R","M167R"
"read_count_M169L","M169L"
"read_count_M169R","M169R"
"read_count_M170","UNMATCHED_READCOUNTM170"
"read_count_M171","UNMATCHED_READCOUNTM171"
"read_count_M173L","M173L"
"read_count_M173R","M173R"
"read_count_M174L","M174L"
"read_count_M174R","M174R"
"read_count_M175","UNMATCHED_READCOUNTM175"
"read_count_M176L","M176L"
"read_count_M176R","M176R"
"read_count_M178L","M178L"
"read_count_M178R","M178R"
