"panel","timepoint","gene_id","ENTREZID","SYMBOL","label_final","logFC","AveExpr","t","P.Value","FDR","B","strict_DEG","direction","label_score","neg_log10_FDR","DEG_class"
"Figure1D","1W","G10090_19936","68588","Cthrc1","Cthrc1",6.20943492302011,4.92404731059851,23.2427700110723,1.35314725580675e-18,1.93648903778503e-14,31.817196574372,TRUE,"Up",85.1498876918142,13.7129849571561,"Up strict"
"Figure1D","1W","G10090_15091","13717","Eln","Eln",2.8952764557886,7.35857569233666,19.0082495248361,1.68273628054654e-16,6.68580131494874e-13,27.640996268985,TRUE,"Up",35.2495465218082,12.1748465336818,"Up strict"
"Figure1D","1W","G10090_32870","56264","Cpxm1","Cpxm1",3.30399895444573,4.91982606663829,18.9273626127446,1.86175537066014e-16,6.68580131494874e-13,27.6541932868724,TRUE,"Up",40.2256802178217,12.1748465336818,"Up strict"
"Figure1D","1W","G10090_8611","17150","Mfap2","Mfap2",3.26316270551553,5.05909295589976,18.9243823434188,1.86871673955663e-16,6.68580131494874e-13,27.655340532795,TRUE,"Up",39.7285051540853,12.1748465336818,"Up strict"
"Figure1D","1W","G10090_30168","67442","Retsat","Retsat",-1.47137659307184,4.50216285267233,-18.2784912146917,4.24791469487783e-16,1.21583814396793e-12,26.8934098478578,TRUE,"Down",17.5316349041044,11.9151242358036,"Down strict"
"Figure1D","1W","G10090_1992","72709","C1qtnf6","C1qtnf6",3.52476056909089,5.77208302446899,18.0275730969206,5.88399061636753e-16,1.39210990429535e-12,26.5254804971995,TRUE,"Up",41.7907120593066,11.8563264766904,"Up strict"
"Figure1D","1W","G10090_10033","17294","Mest","Mest",4.91060711004527,4.99132026218556,17.9160592396714,6.80928609465965e-16,1.39210990429535e-12,26.3006198929156,TRUE,"Up",58.2217610954538,11.8563264766904,"Up strict"
"Figure1D","1W","G10090_14414","19242","Ptn","Ptn",4.00501706585527,4.53817892331532,17.6425566797709,9.77504073598816e-16,1.74863259965908e-12,25.9903394674618,TRUE,"Up",47.0881928729296,11.7573014293446,"Up strict"
"Figure1D","1W","G10090_15210","17387","Mmp14","Mmp14",3.38533651941381,7.79650164623861,16.3846892427722,5.49603669861529e-15,8.7393090215426e-12,24.2318239758018,TRUE,"Up",37.4368214368368,11.0585229037494,"Up strict"
"Figure1D","1W","G10090_4403","102657","Cd276","Cd276",2.41675327977846,4.89158815479666,16.1677805341473,7.48564761532142e-15,8.84067537544994e-12,24.0429394816802,TRUE,"Up",26.713617556734,11.0535145561829,"Up strict"
"Figure1D","1W","G10090_18972","22262","Uox","Uox",4.65606070034755,-2.86213996203688,16.1422763954892,7.76433816442054e-15,8.84067537544994e-12,21.5775236946547,TRUE,"Up",51.465834725763,11.0535145561829,"Up strict"
"Figure1D","1W","G10090_30523","14086","Fscn1","Fscn1",2.0640353345234,5.64054363056869,16.1401755150167,7.78776905630321e-15,8.84067537544994e-12,24.003311664406,TRUE,"Up",22.8148446146303,11.0535145561829,"Up strict"
"Figure1D","1W","G10090_16680","12394","Runx1","Runx1",2.74383629655089,4.3052509095643,16.1187630087543,8.03080007552576e-15,8.84067537544994e-12,23.9689672521387,TRUE,"Up",30.3290344437084,11.0535145561829,"Up strict"
"Figure1D","1W","G10090_5191","12577","Cdkn1c","Cdkn1c",1.57721089929991,5.68431960389179,15.8542610402219,1.17716429683647e-14,1.19984285717762e-11,23.5898122795824,TRUE,"Up",17.2245240728413,10.9208756295603,"Up strict"
"Figure1D","1W","G10090_19641","66102","Cxcl16","Cxcl16",2.31220542342747,3.82926844238765,15.7360038981342,1.39904038731591e-14,1.19984285717762e-11,23.4183081821086,TRUE,"Up",25.2513078592463,10.9208756295603,"Up strict"
"Figure1D","1W","G10090_16969","19038","Ppic","Ppic",2.05185717948293,6.49087728365783,15.7193469274906,1.43360842176814e-14,1.19984285717762e-11,23.3973739500103,TRUE,"Up",22.4080770667535,10.9208756295603,"Up strict"
"Figure1D","1W","G10090_31148","13051","Cx3cr1","Cx3cr1",3.26830734837177,3.53716824585061,15.6987751575245,1.4775252413972e-14,1.19984285717762e-11,23.3258734940776,TRUE,"Up",35.6927780707462,10.9208756295603,"Up strict"
"Figure1D","1W","G10090_14602","20677","Sox4","Sox4",1.8868333920114,4.21478587110748,15.6843583992688,1.50913083845973e-14,1.19984285717762e-11,23.3462735392231,TRUE,"Up",20.605872807858,10.9208756295603,"Up strict"
"Figure1D","1W","G10090_23688","12338","Capn6","Capn6",3.28832832416653,4.26886331911866,15.6261015923513,1.64415070631397e-14,1.23839161884523e-11,23.2538417009067,TRUE,"Up",35.8662639606868,10.9071419958582,"Up strict"
"Figure1D","1W","G10090_7826","209027","Pycr1","Pycr1",1.8912266081495,4.34892228366657,15.3893438772607,2.33540356143523e-14,1.67109801838498e-11,22.9102800254023,TRUE,"Up",20.3817455168962,10.7769980757827,"Up strict"
"Figure1D","1W","G10090_33670","70350","Basp1","Basp1",2.04902105117968,3.48126479971878,15.2513728981732,2.87123628618631e-14,1.84671573488984e-11,22.7049909950646,TRUE,"Up",21.9933722533141,10.7335999504016,"Up strict"
"Figure1D","1W","G10090_19925","320452","P4ha3","P4ha3",4.65502764391651,2.97925780463451,15.2429917790737,2.90763203420884e-14,1.84671573488984e-11,22.4936197225077,TRUE,"Up",49.9652044878605,10.7335999504016,"Up strict"
"Figure1D","1W","G10090_400","109225","Ms4a7","Ms4a7",3.51035448462123,3.32123387196524,15.2293362291696,2.96795904566183e-14,1.84671573488984e-11,22.6189669867855,TRUE,"Up",37.6787407220226,10.7335999504016,"Up strict"
"Figure1D","1W","G10090_999","60525","Acss2","Acss2",-1.49301778546565,4.68238204996192,-15.1381575176094,3.40544239960317e-14,1.98493650176459e-11,22.5086247979246,TRUE,"Down",15.9786546435644,10.7022533817847,"Down strict"
"Figure1D","1W","G10090_9495","268396","Sh3pxd2b","Sh3pxd2b",2.58101336570204,5.7432895796606,15.1068694858097,3.57052513489905e-14,1.98493650176459e-11,22.490877020935,TRUE,"Up",27.6226590215161,10.7022533817847,"Up strict"
"Figure1D","1W","G10090_5834","12552","Cdh11","Cdh11",3.47491272644206,4.93922469740457,15.077848458877,3.73105671456688e-14,1.98493650176459e-11,22.4488690087504,TRUE,"Up",37.1893964779711,10.7022533817847,"Up strict"
"Figure1D","1W","G10090_23994","69574","Cmbl","Cmbl",-1.94358652496554,5.15630731264059,-15.0754064135309,3.74490151265767e-14,1.98493650176459e-11,22.4172913830075,TRUE,"Down",20.8007554596036,10.7022533817847,"Down strict"
"Figure1D","1W","G10090_33626","78038","Mccc2","Mccc2",-1.40562331087062,4.92951848305952,-15.0457850688763,3.91713415378929e-14,2.00207524553138e-11,22.3650140736003,TRUE,"Down",15.0380885473672,10.6985196041269,"Down strict"
"Figure1D","1W","G10090_17957","66848","Fuca2","Fuca2",0.941018552579929,4.69070669354873,14.9668373801276,4.41740323006855e-14,2.17991233191417e-11,22.2551091739082,FALSE,"Not_strict",10.0327266739041,10.6615609717768,"Not strict"
"Figure1D","1W","G10090_11470","81799","C1qtnf3","C1qtnf3",5.7382437077514,5.57730178442691,14.9016616136978,4.88008352025981e-14,2.32796250861461e-11,22.1378598787452,TRUE,"Up",61.0148831667733,10.6330240181944,"Up strict"
"Figure1D","1W","G10090_22128","20377","Sfrp1","Sfrp1",2.53600744338347,5.15704750195662,14.7828727692675,5.85686735125715e-14,2.70379447302713e-11,21.9953927935748,TRUE,"Up",26.8005934196768,10.5680263240553,"Up strict"
"Figure1D","1W","G10090_3674","21897","Tlr1","Tlr1",2.93300654141713,1.77263850512727,14.7614521899899,6.05352391385878e-14,2.70724939785103e-11,21.721791051629,TRUE,"Up",30.99446372268,10.5674717342105,"Up strict"
"Figure1D","1W","G10090_1799","14026","Evl","Evl",1.62059359712714,4.01394232313468,14.658197307489,7.10199603176838e-14,3.07989894577689e-11,21.8030695052127,TRUE,"Up",17.0348104977785,10.5114635328539,"Up strict"
"Figure1D","1W","G10090_28430","70021","Nt5dc2","Nt5dc2",3.96484156995703,3.68471228895432,14.6289619500147,7.43178527356333e-14,3.12812585441073e-11,21.7346384376249,TRUE,"Up",41.6495338139222,10.5047157822181,"Up strict"
"Figure1D","1W","G10090_10108","15107","Hadh","Hadh",-1.37994671509738,6.66170469230755,-14.5461956393948,8.4541752402764e-14,3.45679148181702e-11,21.6317963791827,TRUE,"Down",14.4360735765118,10.4613268168786,"Down strict"
"Figure1D","1W","G10090_12799","78339","Ttyh3","Ttyh3",1.97459134247291,5.53575536307346,14.4500801603888,9.82644634394092e-14,3.9062853785594e-11,21.4722266943338,TRUE,"Up",20.552012759129,10.4082360319631,"Up strict"
"Figure1D","1W","G10090_31609","213436","Rtl3","Rtl3",2.02717530001467,3.29986711087908,14.4093085579146,1.04763782583837e-13,4.05209322312782e-11,21.424436295931,TRUE,"Up",21.0670555728779,10.392320571746,"Up strict"
"Figure1D","1W","G10090_23208","21857","Timp1","Timp1",3.58142773232339,4.88564902331731,14.3365402346355,1.17492289770867e-13,4.42482147081811e-11,21.3120459116472,TRUE,"Up",37.0824760942231,10.3541042471814,"Up strict"
"Figure1D","1W","G10090_30550","93747","Echs1","Echs1",-1.3438153699902,6.01977948129981,-14.2367199504507,1.37608684305856e-13,5.04953302846436e-11,21.1244887284078,TRUE,"Down",13.8369292752277,10.29674878278,"Down strict"
"Figure1D","1W","G10090_922","19125","Prodh","Prodh",-1.77369343078908,2.82953993048509,-14.2126592601738,1.42970571250262e-13,5.11512961290624e-11,21.1172580359298,TRUE,"Down",18.2533333679219,10.2911433571704,"Down strict"
"Figure1D","1W","G10090_8657","74511","Lrrc17","Lrrc17",2.9326948610503,4.43671109034741,14.1952619468649,1.46981880472641e-13,5.13038461327797e-11,21.0875655972097,TRUE,"Up",30.1769904376818,10.2898500755972,"Up strict"
"Figure1D","1W","G10090_3741","26561","Mmp23","Mmp23",2.48020096614291,4.15254559844538,14.1600083946462,1.55471439465641e-13,5.18684455624478e-11,21.0303102773596,TRUE,"Up",25.509106938676,10.2850967671166,"Up strict"
"Figure1D","1W","G10090_8783","72599","Pdia5","Pdia5",2.0827375191169,3.57631573886858,14.1584904914028,1.55848169882276e-13,5.18684455624478e-11,21.0319654774868,TRUE,"Up",21.4211569246217,10.2850967671166,"Up strict"
"Figure1D","1W","G10090_18820","383435","Ms4a14","Ms4a14",2.97741809545019,1.79144729001061,14.1146299615827,1.67152014881741e-13,5.38690409158797e-11,20.7674412937209,TRUE,"Up",30.5740963526266,10.2686607565619,"Up strict"
"Figure1D","1W","G10090_6445","80891","Fcrl2","Fcrl2",2.17331538523794,4.69717865606877,14.1063196376813,1.69387662722003e-13,5.38690409158797e-11,20.9298354263189,TRUE,"Up",22.3170384080249,10.2686607565619,"Up strict"
"Figure1D","1W","G10090_8619","19141","Lgmn","Lgmn",1.59961225281325,7.00471163773449,14.0804043906985,1.76560189671141e-13,5.42689302692082e-11,20.9077568829666,TRUE,"Up",16.420737583534,10.265448739002,"Up strict"
"Figure1D","1W","G10090_2861","72244","1600014C10Rik","1600014C10Rik",-0.988729144472263,5.26763388182197,-14.0745299130125,1.78229314698678e-13,5.42689302692082e-11,20.837587139297,FALSE,"Not_strict",10.1497483493374,10.265448739002,"Not strict"
"Figure1D","1W","G10090_19126","22403","Ccn5","Ccn5",2.84831106531839,4.97876522443958,14.0213252063933,1.94110842488418e-13,5.78733388927448e-11,20.8039960551019,TRUE,"Up",29.1596456591299,10.2375214611156,"Up strict"
"Figure1D","1W","G10090_12417","13008","Csrp2","Csrp2",2.59510810008103,4.0667277078911,13.9067767462318,2.33472764647425e-13,6.81883415279447e-11,20.6279347864653,TRUE,"Up",26.3826211953951,10.1662898723068,"Up strict"
"Figure1D","1W","G10090_17143","53418","B4galt2","B4galt2",1.65684361727996,3.98891400186782,13.8777607370065,2.44697581104451e-13,7.0037341663716e-11,20.5678812000987,TRUE,"Up",16.8247007489331,10.1546703463506,"Up strict"
