"panel","timepoint","gene_id","ENTREZID","SYMBOL","label_final","logFC","AveExpr","t","P.Value","FDR","B","strict_DEG","direction","label_score","neg_log10_FDR","DEG_class","label_rule"
"Figure1E","4W","G10090_14199","329278","Tnn","Tnn",5.94221885098829,2.45068032753353,5.30982019964409,1.61707217102436e-05,0.000108827400252373,3.02064235928078,TRUE,"Up",23.550568655181,3.96326174544449,"Up strict","top_6_per_direction_by_SYMBOL_priority_and_score"
"Figure1E","4W","G10090_9256","244281","Myo16","Myo16",4.61279307459338,-0.948654758892019,7.02700937184855,2.15046092884791e-07,8.69660979022224e-06,5.93593089714654,TRUE,"Up",23.3437313464083,5.06065001592685,"Up strict","top_6_per_direction_by_SYMBOL_priority_and_score"
"Figure1E","4W","G10090_16466","93735","Wnt16","Wnt16",3.9999084394722,-0.200876449572102,7.58374579934311,5.68952822559623e-08,4.44823186753004e-06,7.20120299303999,TRUE,"Up",21.4067603168146,5.35181258289986,"Up strict","top_6_per_direction_by_SYMBOL_priority_and_score"
"Figure1E","4W","G10090_23208","21857","Timp1","Timp1",3.5595849639152,5.01257095808847,8.44641937163943,7.85118173143272e-09,2.13848304914485e-06,10.3640354491653,TRUE,"Up",20.1824700981077,5.66989418786311,"Up strict","top_6_per_direction_by_SYMBOL_priority_and_score"
"Figure1E","4W","G10090_1144","20750","Spp1","Spp1",4.31109567345059,5.70320652905932,5.96454424939184,3.01252336712499e-06,3.64558618121398e-05,4.62858217342275,TRUE,"Up",19.1336454917131,4.43823263063855,"Up strict","top_6_per_direction_by_SYMBOL_priority_and_score"
"Figure1E","4W","G10090_25486","13874","Ereg","Ereg",3.298048994098,-1.07487734105866,8.24570020469978,1.23379943326502e-08,2.27247783624488e-06,7.94348717165843,TRUE,"Up",18.6125406321032,5.6435003438127,"Up strict","top_6_per_direction_by_SYMBOL_priority_and_score"
"Figure1E","4W","G10090_33420","15007","H2-Q10","H2-Q10",-2.83518734552066,3.2365453627674,-6.63284226721227,5.64207805203568e-07,1.42455007747695e-05,6.24954729317209,TRUE,"Down",13.7402315986444,4.84632227932051,"Down strict","top_6_per_direction_by_SYMBOL_priority_and_score"
"Figure1E","4W","G10090_29625","110835","Chrna5","Chrna5",-2.55495444428735,-1.33958185420565,-6.14604431430954,1.9027416374516e-06,2.76746584911562e-05,4.25880621802817,TRUE,"Down",11.645272160106,4.55791772966592,"Down strict","top_6_per_direction_by_SYMBOL_priority_and_score"
"Figure1E","4W","G10090_29872","232493","Gys2","Gys2",-2.1113383786246,0.609457025362571,-6.9804780421123,2.40746821240046e-07,9.2400308119906e-06,6.73592495835647,TRUE,"Down",10.6291669200883,5.03432658057046,"Down strict","top_6_per_direction_by_SYMBOL_priority_and_score"
"Figure1E","4W","G10090_33778","12683","Cidea","Cidea",-2.46851660767886,0.826461422253316,-5.71162465908793,5.74336364807603e-06,5.41917613135104e-05,3.95949133930705,TRUE,"Down",10.5308565812006,4.26606673353628,"Down strict","top_6_per_direction_by_SYMBOL_priority_and_score"
"Figure1E","4W","G10090_8472","57264","Retn","Retn",-1.97622793111884,6.26404286149721,-6.71758746043975,4.57825053780716e-07,1.26042759037014e-05,6.41674496206702,TRUE,"Down",9.68249337170896,4.89948209882209,"Down strict","top_6_per_direction_by_SYMBOL_priority_and_score"
"Figure1E","4W","G10090_31172","626578","Gbp10","Gbp10",-1.86952893999501,0.208923611452711,-7.15587460073288,1.57527378507236e-07,7.54234766123611e-06,6.97662594987044,TRUE,"Down",9.57664975504495,5.12249345285369,"Down strict","top_6_per_direction_by_SYMBOL_priority_and_score"
