"st_gene_id","ENTREZID","SYMBOL"
"G10090_21641","100009600","Zglp1"
"G10090_28425","100009614","Krtap12-22"
"G10090_11526","100017","Ldlrap1"
"G10090_10930","100019","Mdn1"
"G10090_29729","100033459","Ifi208"
"G10090_22451","100034251","Wfdc17"
"G10090_17047","100034361","Mfap1b"
"G10090_5591","100034363","Tmsb15b2"
"G10090_17587","100034684","Cstdc5"
"G10090_2736","100034729","Gm15114"
"G10090_17763","100036521","Umad1"
"G10090_23267","100037258","Dnajc3"
"G10090_7825","100037278","Niban3"
"G10090_6104","100037282","Rsph3b"
"G10090_15776","100037283","Rnaset2a"
"G10090_14069","100038347","Fam174b"
"G10090_8734","100038417","Spink13"
"G10090_9135","100038489","Apela"
"G10090_8254","100038513","Gm14149"
"G10090_6886","100038514","Gm11837"
"G10090_6673","100038538","Ramacl"
"G10090_10660","100038570","Prcd"
"G10090_23094","100038657","Myocos"
"G10090_1892","100038725","Cep85l"
"G10090_1848","100038847","Gm10406"
"G10090_7331","100038859","Or10h1b"
"G10090_20707","100038860","Or10h1"
"G10090_30945","100038862","Btnl1"
"G10090_29284","100038882","Isg15"
"G10090_20286","100038909","Pira12"
"G10090_26507","100038947","Sirpb1c"
"G10090_15050","100038948","Mup9"
"G10090_10709","100038993",""
"G10090_21337","100039008","Mup10"
"G10090_1369","100039019","Mup-ps12"
"G10090_19213","100039028","Mup11"
"G10090_23587","100039029","LOC100039029"
"G10090_21076","100039032","Gm20794"
"G10090_33463","100039042","Eif1ad3"
"G10090_25668","100039045","Speer4a2"
"G10090_29076","100039052","Eif1ad4"
"G10090_30709","100039053",""
"G10090_21012","100039054","Mup12"
"G10090_11518","100039060","Gm2026"
"G10090_32686","100039086","Gm15032"
"G10090_17964","100039089","Mup13"
"G10090_8834","100039116","Mup14"
"G10090_31314","100039123","Gm14295"
"G10090_16175","100039139","Ccdc152"
"G10090_29691","100039150","Mup15"
"G10090_26900","100039175",""
"G10090_10052","100039177","Mup16"
"G10090_18332","100039182","Gm16505"
"G10090_14319","100039192",""
"G10090_16922","100039206","Mup17"
"G10090_24459","100039210","Gm2102"
"G10090_2106","100039227",""
"G10090_30023","100039246",""
"G10090_24011","100039257",""
"G10090_5789","100039284","Gm2137"
"G10090_9533","100039293",""
"G10090_1012","100039441","Gm2237"
"G10090_26883","100039446","Gm2240"
"G10090_7522","100039452","Gm2244"
"G10090_6106","100039484",""
"G10090_33374","100039503",""
"G10090_20596","100039596","Tcf24"
"G10090_26833","100039672","Msmp"
"G10090_28924","100039674","Gm10634"
"G10090_19405","100039707","Mthfsl"
"G10090_19232","100039781","Hrct1"
"G10090_32110","100039789","Ccl19-ps5"
"G10090_33127","100039794","Gm2427"
"G10090_459","100039795","Ildr2"
"G10090_29261","100039796","Tgtp2"
"G10090_20818","100039801","Cldn24"
"G10090_23817","100039815","Gm2436"
"G10090_5321","100039830","Gm2446"
"G10090_28741","100039848",""
"G10090_1331","100039863","Ccl27al"
"G10090_7747","100039890","Gm15093"
"G10090_26845","100039899","Tex13d"
"G10090_4941","100039913","Rhox2b"
"G10090_14810","100039939",""
"G10090_11738","100039946","Siglecl1"
"G10090_30813","100039953","Gfy"
"G10090_7635","100039964","Gm15411"
"G10090_2664","100039968","Tmem35b"
"G10090_18378","100039973",""
"G10090_11360","100040016","Rhox2e"
"G10090_25439","100040035","Ccl19-ps4"
"G10090_16463","100040048","Ccl27b"
"G10090_2905","100040052","Gm2573"
"G10090_32839","100040201","Krtap6-3"
"G10090_29030","100040208","Gm2663"
"G10090_16128","100040213","Gm2666"
"G10090_30120","100040214","Krtap6-7"
"G10090_28523","100040248","Krtap4-25"
"G10090_6706","100040268","Or13c7c"
"G10090_29743","100040276","Krtap4-22"
"G10090_22358","100040299","Krtap10-20"
"G10090_12513","100040462","Mndal"
"G10090_31018","100040500","Gm2808"
"G10090_32525","100040509","Gm20845"
"G10090_9066","100040531","Dynlt1f"
"G10090_21496","100040545","Gm2832"
"G10090_29764","100040563","Dynlt1c"
"G10090_11566","100040585","Spin2-ps7"
"G10090_32542","100040591","Kcnj13"
"G10090_19141","100040599","Potefam3a"
"G10090_28188","100040608","Fancf"
"G10090_18767","100040657","Gm2888"
"G10090_31415","100040671","Gm2897"
"G10090_33109","100040697","Gm10340"
"G10090_28954","100040712","Gm20850"
"G10090_32313","100040732","Btbd35f14"
