"panel","timepoint","sample_id","mouse_id","sex","treatment","PC1","PC2"
"Figure1B","1W","M130L","M130","Male","Contra",-76.0613245161998,-1.30179647994215
"Figure1B","1W","M130R","M130","Male","ACLR",8.23322451155064,-48.2150174120939
"Figure1B","1W","M135L","M135","Male","Contra",-87.5284646156531,-10.0745296328341
"Figure1B","1W","M135R","M135","Male","ACLR",75.6669737160908,8.24230736674141
"Figure1B","1W","M142L","M142","Female","Contra",5.8168018298974,42.5992578302707
"Figure1B","1W","M142R","M142","Female","ACLR",84.1231454464723,13.8541949669317
"Figure1B","1W","M143L","M143","Female","Contra",-28.3505777522421,38.6974004754564
"Figure1B","1W","M143R","M143","Female","ACLR",71.8350992497475,-1.94450730359307
"Figure1B","1W","M147L","M147","Male","Contra",-89.1553660816149,-38.6790599258498
"Figure1B","1W","M147R","M147","Male","ACLR",23.2139393088477,-16.262556461959
"Figure1B","1W","M153L","M153","Male","Contra",-22.2641277356339,18.0101775495554
"Figure1B","1W","M153R","M153","Male","ACLR",37.5306873105235,-8.31133052298078
"Figure1B","1W","M158L","M158","Female","Contra",-72.4498065986675,17.2636788016097
"Figure1B","1W","M158R","M158","Female","ACLR",67.1837296393087,-28.0816338650473
"Figure1B","1W","M160L","M160","Female","Contra",-52.271729263266,39.2527820426434
"Figure1B","1W","M160R","M160","Female","ACLR",52.3763719677003,-13.6127249560827
"Figure1B","1W","M163L","M163","Male","Contra",-69.5456660343245,-15.5455357525973
"Figure1B","1W","M163R","M163","Male","ACLR",14.6429290255096,-39.7810135184467
"Figure1B","1W","M167L","M167","Male","Contra",-80.2013644044585,-15.2482133188182
"Figure1B","1W","M167R","M167","Male","ACLR",106.335494912594,19.8372259231725
"Figure1B","1W","M174L","M174","Female","Contra",-28.1765760141517,37.8598854500305
"Figure1B","1W","M174R","M174","Female","ACLR",53.3397646243971,-17.2514006253489
"Figure1B","1W","M178L","M178","Female","Contra",-78.6990612384943,7.73482918598228
"Figure1B","1W","M178R","M178","Female","ACLR",84.4059027120672,10.9575801831996
