"panel","timepoint","sample_id","mouse_id","sex","treatment","PC1","PC2"
"Figure1C","4W","M131L","M131","Male","Contra",-26.8028055776187,-10.9526172512143
"Figure1C","4W","M131R","M131","Male","ACLR",35.7341804617719,28.3311349743814
"Figure1C","4W","M137L","M137","Male","Contra",-41.3435350575211,25.1661837492208
"Figure1C","4W","M137R","M137","Male","ACLR",91.1260618734642,26.7049781981843
"Figure1C","4W","M140L","M140","Female","Contra",-66.5984850972373,31.1848059249686
"Figure1C","4W","M140R","M140","Female","ACLR",61.2989184649933,9.95966989727693
"Figure1C","4W","M146L","M146","Female","Contra",0.121034419226778,-34.8103730386486
"Figure1C","4W","M146R","M146","Female","ACLR",70.7771116024843,-13.2496682738132
"Figure1C","4W","M150L","M150","Male","Contra",-74.9734669029473,10.5518587010514
"Figure1C","4W","M150R","M150","Male","ACLR",45.7497039486366,2.20894944904042
"Figure1C","4W","M154L","M154","Male","Contra",-76.0024738649412,44.710124818696
"Figure1C","4W","M154R","M154","Male","ACLR",-58.5869732776282,14.573473713954
"Figure1C","4W","M157L","M157","Female","Contra",8.40826807665267,-66.9267887698632
"Figure1C","4W","M157R","M157","Female","ACLR",31.5855290721899,-16.3148742524048
"Figure1C","4W","M161L","M161","Female","Contra",-18.4748227521094,-16.0691107297686
"Figure1C","4W","M161R","M161","Female","ACLR",39.8808061893105,16.7343946870497
"Figure1C","4W","M166L","M166","Male","Contra",-55.7237423947128,-8.39850470943198
"Figure1C","4W","M166R","M166","Male","ACLR",70.7113203981885,3.34660224422727
"Figure1C","4W","M169L","M169","Male","Contra",-65.6987500763251,-41.5194781469583
"Figure1C","4W","M169R","M169","Male","ACLR",36.5418342885094,23.9829621038882
"Figure1C","4W","M173L","M173","Female","Contra",-43.1392500611894,-4.97893967891602
"Figure1C","4W","M173R","M173","Female","ACLR",51.9983081218534,-5.2230936092915
"Figure1C","4W","M176L","M176","Female","Contra",-20.5975611380361,-23.948406330117
"Figure1C","4W","M176R","M176","Female","ACLR",4.0087892829834,4.93671632848844
