"gene_id","ENTREZID","SYMBOL","logFC","FDR","timepoint","strict_DEG","direction","fdr_source_column"
"G10090_5616","17025","Alad",-0.975332046577932,1.09459674580892e-07,"4W",FALSE,"Down","FDR"
"G10090_98","216820","Dhrs7b",-0.851067663416012,1.95046924648356e-07,"4W",FALSE,"Down","FDR"
"G10090_2861","72244","1600014C10Rik",-0.80478294344565,2.33120349219986e-07,"4W",FALSE,"Down","FDR"
"G10090_14371","52570","Ccdc69",-1.25039759110395,3.31589592977614e-07,"4W",TRUE,"Down","FDR"
"G10090_7615","246782","Atpaf2",-0.730543114634273,5.27228201047083e-07,"4W",FALSE,"Down","FDR"
"G10090_9136","72148","Tdrp",-1.12374068991183,5.27228201047083e-07,"4W",TRUE,"Down","FDR"
"G10090_30959","15267","H2ac18",-0.891390215300691,7.21604426033985e-07,"4W",FALSE,"Down","FDR"
"G10090_13991","12497","Entpd6",-0.850364738975419,1.04153986096631e-06,"4W",FALSE,"Down","FDR"
"G10090_19037","68033","Cox19",-0.678009622928958,1.04153986096631e-06,"4W",FALSE,"Down","FDR"
"G10090_19126","22403","Ccn5",3.00445981207751,1.04153986096631e-06,"4W",TRUE,"Up","FDR"
"G10090_6425","20655","Sod1",-0.820406017084086,1.1696077345198e-06,"4W",FALSE,"Down","FDR"
"G10090_14887","18605","Enpp1",2.80147066768412,1.1696077345198e-06,"4W",TRUE,"Up","FDR"
"G10090_5551","69538","Antxr1",2.11512703150697,1.23913109019309e-06,"4W",TRUE,"Up","FDR"
"G10090_21654","110821","Pcca",-0.971729054335509,1.31255049844586e-06,"4W",FALSE,"Down","FDR"
"G10090_3812","50490","Nox4",1.71911543977758,1.4994558453223e-06,"4W",TRUE,"Up","FDR"
"G10090_28452","68917","Hint2",-0.958004153158693,1.70583664455986e-06,"4W",FALSE,"Down","FDR"
"G10090_18249","69700","Col22a1",1.71405773057708,1.70583664455986e-06,"4W",TRUE,"Up","FDR"
"G10090_20129","66082","Abhd6",-0.674866593422523,1.70583664455986e-06,"4W",FALSE,"Down","FDR"
"G10090_3076","110265","Msra",-0.723337977816742,1.70583664455986e-06,"4W",FALSE,"Down","FDR"
"G10090_10184","623661","Lipt1",-0.860100822664258,1.70583664455986e-06,"4W",FALSE,"Down","FDR"
"G10090_33990","72713","Angptl1",2.00743807686246,1.70583664455986e-06,"4W",TRUE,"Up","FDR"
"G10090_2572","21813","Tgfbr2",1.26025074047476,1.70583664455986e-06,"4W",TRUE,"Up","FDR"
"G10090_3298","70564","Prxl2a",-1.59186463641701,1.70583664455986e-06,"4W",TRUE,"Down","FDR"
