"gene_id","ENTREZID","SYMBOL","logFC_1W","FDR_1W","direction_1W","logFC_4W","FDR_4W","direction_4W","direction_persistent","category"
"G10090_10021","76131","Depdc1a",4.18081702415313,8.73732019760563e-08,"Up",1.79772937809321,0.002320073658178,"Up","Up","persistent_direction_consistent"
"G10090_1003","18037","Nfkbie",1.59729020579516,3.22792546391118e-09,"Up",1.10873838768899,7.01886872959607e-05,"Up","Up","persistent_direction_consistent"
"G10090_10033","17294","Mest",4.91060711004527,1.39210990429535e-12,"Up",1.3100370729186,0.000136946031376,"Up","Up","persistent_direction_consistent"
"G10090_10046","192187","Stab1",1.60076074439296,4.95098891707591e-08,"Up",1.23932047830467,5.15017106531303e-05,"Up","Up","persistent_direction_consistent"
"G10090_10062","19092","Prkg2",1.2836520021335,0.00228165213587268,"Up",2.08025070464358,1.15858537486585e-05,"Up","Up","persistent_direction_consistent"
"G10090_10080","67454","Ikbip",1.47021097331587,2.02185233000411e-09,"Up",1.10127458137199,2.27247783624488e-06,"Up","Up","persistent_direction_consistent"
"G10090_10160","12182","Bst1",1.47442338996893,3.516482382263e-06,"Up",1.02433615549345,0.000110726231435946,"Up","Up","persistent_direction_consistent"
"G10090_10183","234593","Ndrg4",1.6252207570199,1.56140903771721e-08,"Up",1.53955755486681,2.74474828350957e-05,"Up","Up","persistent_direction_consistent"
"G10090_10207","16498","Kcnab2",1.39298810021812,4.18427726589502e-07,"Up",1.2456987090924,8.3819114258498e-06,"Up","Up","persistent_direction_consistent"
"G10090_10243","107581","Col16a1",3.07843901976405,3.57651081869277e-09,"Up",1.78614897041046,9.10915835078394e-06,"Up","Up","persistent_direction_consistent"
"G10090_10290","383103","Tvp23a",1.65605876540667,4.37275197510197e-08,"Up",1.11320854605047,0.000178720054627081,"Up","Up","persistent_direction_consistent"
"G10090_10365","215378","Brinp3",1.89823651412795,0.00267919203524598,"Up",1.98322371402988,0.000752799386819823,"Up","Up","persistent_direction_consistent"
"G10090_10370","171212","Galnt10",1.41865419006616,1.00505413264937e-09,"Up",1.20932825355529,1.49516262082602e-05,"Up","Up","persistent_direction_consistent"
"G10090_10411","14633","Gli2",1.05978693337186,6.78070709867758e-05,"Up",1.09498559877586,0.000109405361535143,"Up","Up","persistent_direction_consistent"
"G10090_10443","237759","Col23a1",1.38335062734764,4.99026362490265e-07,"Up",1.02769178888764,0.00808049355459414,"Up","Up","persistent_direction_consistent"
"G10090_10476","237360","Adamts14",1.85182506610541,1.19002153895991e-08,"Up",1.56975102451646,7.0539673113845e-05,"Up","Up","persistent_direction_consistent"
"G10090_1051","76980","Ube2ql1",2.06039996519925,6.68500475036788e-08,"Up",1.92146753391162,6.14493013635567e-05,"Up","Up","persistent_direction_consistent"
"G10090_10515","16997","Ltbp2",2.04887384526642,5.8691520621346e-07,"Up",1.35747658374529,0.000170674437859577,"Up","Up","persistent_direction_consistent"
"G10090_10590","70385","Spdl1",2.39593353197331,5.94603046030693e-09,"Up",1.01931145547597,0.026749186198834,"Up","Up","persistent_direction_consistent"
"G10090_10600","17357","Marcksl1",2.5276422811049,8.06808549420564e-11,"Up",1.25012736780421,2.19167488006794e-05,"Up","Up","persistent_direction_consistent"
"G10090_10616","140709","Col26a1",2.1099139432257,8.11199007483718e-06,"Up",1.29879910284156,0.00426274634172697,"Up","Up","persistent_direction_consistent"
"G10090_10658","100302688","Gm17455",1.47210584981678,5.21247161094305e-06,"Up",2.49879494333892,3.7597835878813e-05,"Up","Up","persistent_direction_consistent"
"G10090_10724","381199","Tmem151a",1.5421766065483,0.000198645666309403,"Up",2.61369458497657,0.000233334005681687,"Up","Up","persistent_direction_consistent"
"G10090_10758","233651","Dchs1",1.34078785898806,1.7963949508877e-07,"Up",1.43416137223212,1.54017955733362e-05,"Up","Up","persistent_direction_consistent"
"G10090_10774","108797","Mex3b",2.38466158681783,7.32538033488519e-10,"Up",2.21153141078076,3.13436890041195e-06,"Up","Up","persistent_direction_consistent"
"G10090_10777","26432","Plod2",2.53597701197265,5.33945018856134e-08,"Up",2.08408308555239,1.45718653954868e-05,"Up","Up","persistent_direction_consistent"
"G10090_10787","68655","Fndc1",2.1724415228168,2.28979650768841e-07,"Up",1.55409412425604,7.66111505534496e-06,"Up","Up","persistent_direction_consistent"
"G10090_10804","26968","Islr",1.45960068654273,3.81448829789216e-07,"Up",1.59459650436031,9.12435771370919e-06,"Up","Up","persistent_direction_consistent"
"G10090_10812","212539","Gm266",1.47051879219358,4.01686895804901e-07,"Up",1.19613024322286,0.00341396034559764,"Up","Up","persistent_direction_consistent"
"G10090_10829","55984","Camkk1",1.09405663556752,1.38703795759073e-05,"Up",1.20189183673905,0.000329649115095969,"Up","Up","persistent_direction_consistent"
"G10090_10936","17174","Masp1",1.779948430988,8.12341472414908e-07,"Up",1.7711452131993,8.8595174559856e-06,"Up","Up","persistent_direction_consistent"
"G10090_10949","71870","Cfap45",1.8063097268102,6.05524049791513e-06,"Up",1.72037074030952,0.00086256695204694,"Up","Up","persistent_direction_consistent"
"G10090_10951","21677","Tead2",1.6548007991051,9.61522178472292e-10,"Up",1.07214962437906,2.94634839825645e-05,"Up","Up","persistent_direction_consistent"
"G10090_10973","245026","Col6a6",1.63960513038109,1.68038397454064e-06,"Up",1.2219173750697,0.00155521505109895,"Up","Up","persistent_direction_consistent"
"G10090_10984","217951","Tmem196",1.26539821358361,0.00229127511132878,"Up",2.60706434090126,3.61559357158388e-05,"Up","Up","persistent_direction_consistent"
"G10090_10985","12442","Ccnb2",2.91473112225295,1.46381607305411e-08,"Up",1.55633216108944,0.00039555922731634,"Up","Up","persistent_direction_consistent"
"G10090_11013","64450","Gpr85",1.44404007787808,2.03799257554444e-07,"Up",1.37358319493449,0.000871936917674074,"Up","Up","persistent_direction_consistent"
"G10090_11038","17181","Matn2",2.03312796504438,2.96149274670775e-09,"Up",1.74022121125355,1.21670045222572e-05,"Up","Up","persistent_direction_consistent"
