"gene_id","ENTREZID_1W","SYMBOL_1W","logFC_1W","FDR_1W","direction_1W","ENTREZID_4W","SYMBOL_4W","logFC_4W","FDR_4W","direction_4W","in_1W","in_4W","direction_relation","category","ENTREZID","SYMBOL"
"G10090_10001","407785","Ndufs6",-1.18920178089544,8.03988212662696e-07,"Down",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","407785","Ndufs6"
"G10090_10005","12896","Cpt2",-1.18348297117176,8.31505645580612e-11,"Down",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","12896","Cpt2"
"G10090_10010","16643","Klrd1",1.71091812859126,9.22618194874543e-06,"Up",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","16643","Klrd1"
"G10090_1002","76969","Chst1",-1.20847240765339,7.2935761123637e-05,"Down",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","76969","Chst1"
"G10090_10021","76131","Depdc1a",4.18081702415313,8.73732019760563e-08,"Up","76131","Depdc1a",1.79772937809321,0.002320073658178,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent","76131","Depdc1a"
"G10090_1003","18037","Nfkbie",1.59729020579516,3.22792546391118e-09,"Up","18037","Nfkbie",1.10873838768899,7.01886872959607e-05,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent","18037","Nfkbie"
"G10090_10033","17294","Mest",4.91060711004527,1.39210990429535e-12,"Up","17294","Mest",1.3100370729186,0.000136946031376,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent","17294","Mest"
"G10090_10046","192187","Stab1",1.60076074439296,4.95098891707591e-08,"Up","192187","Stab1",1.23932047830467,5.15017106531303e-05,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent","192187","Stab1"
"G10090_10052","100039177","Mup16",-1.49848958059371,0.00947142201465449,"Down","100039177","Mup16",-1.45354843029502,0.0204222624287865,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent","100039177","Mup16"
"G10090_10056","212712","Satb2",1.31556669108412,0.001187591896306,"Up",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","212712","Satb2"
"G10090_10062","19092","Prkg2",1.2836520021335,0.00228165213587268,"Up","19092","Prkg2",2.08025070464358,1.15858537486585e-05,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent","19092","Prkg2"
"G10090_10069","237091","Lhfpl1",3.41567631664198,8.82780224103901e-09,"Up",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","237091","Lhfpl1"
"G10090_10080","67454","Ikbip",1.47021097331587,2.02185233000411e-09,"Up","67454","Ikbip",1.10127458137199,2.27247783624488e-06,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent","67454","Ikbip"
"G10090_10081","545030","Wdfy4",1.66369983583676,2.0404007183156e-07,"Up",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","545030","Wdfy4"
"G10090_10084","64082","Popdc2",-1.84197984445972,1.60461980621093e-06,"Down","64082","Popdc2",-1.1204329870778,0.000126804967742009,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent","64082","Popdc2"
"G10090_10106","76614","Immt",-1.19872526741092,2.38292508058441e-07,"Down",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","76614","Immt"
"G10090_10108","15107","Hadh",-1.37994671509738,3.45679148181702e-11,"Down",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","15107","Hadh"
"G10090_10115","83382","Siglece",1.58775951214066,9.00353929805251e-07,"Up",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","83382","Siglece"
"G10090_10128","246293","Klhl8",-1.05639227853853,1.91221955102811e-05,"Down",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","246293","Klhl8"
"G10090_10131",NA,NA,NA,NA,NA,"394435","Ugt1a6b",-1.15531444922683,0.00289638219121923,"Down",FALSE,TRUE,NA,"4W_only","394435","Ugt1a6b"
"G10090_10137","171282","Acot4",-1.18413882423001,0.000147683348982368,"Down","171282","Acot4",-1.22187121076527,0.00123007374508947,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent","171282","Acot4"
"G10090_10144","12189","Brca1",2.22377744515881,7.01965216576791e-08,"Up",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","12189","Brca1"
"G10090_10145","66454","Nmnat1",-1.26795805859345,1.2297665166415e-08,"Down",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","66454","Nmnat1"
"G10090_10146","17960","Nat1",-1.59240394054827,2.45403276568993e-05,"Down","17960","Nat1",-1.28940395598384,0.000185820385777143,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent","17960","Nat1"
"G10090_10147",NA,NA,NA,NA,NA,"20440","St6gal1",1.05029456267921,1.55378304083331e-05,"Up",FALSE,TRUE,NA,"4W_only","20440","St6gal1"
"G10090_1016","329251","Ppp1r12b",-1.07104565709196,2.09224406831133e-06,"Down",NA,NA,NA,NA,NA,TRUE,FALSE,NA,"1W_only","329251","Ppp1r12b"
"G10090_10160","12182","Bst1",1.47442338996893,3.516482382263e-06,"Up","12182","Bst1",1.02433615549345,0.000110726231435946,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent","12182","Bst1"
