"gene_id","ENTREZID_1W","SYMBOL_1W","logFC_1W","FDR_1W","direction_1W","ENTREZID_4W","SYMBOL_4W","logFC_4W","FDR_4W","direction_4W","in_1W","in_4W","direction_relation","category","ENTREZID","SYMBOL","plot_class","label_name","combined_score"
"G10090_19936",68588,"Cthrc1",6.20943492302011,1.93648903778503e-14,"Up",68588,"Cthrc1",3.92728815852194,2.05386789513754e-05,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",68588,"Cthrc1","Persistent_up","Cthrc1",103.558766181667
"G10090_14199",329278,"Tnn",7.78334193314931,1.25240941905408e-09,"Up",329278,"Tnn",5.94221885098829,0.000108827400252373,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",329278,"Tnn","Persistent_up","Tnn",92.8398529819713
"G10090_11470",81799,"C1qtnf3",5.7382437077514,2.32796250861461e-11,"Up",81799,"C1qtnf3",3.17005620637254,1.78396343762142e-05,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",81799,"C1qtnf3","Persistent_up","C1qtnf3",76.0682566100077
"G10090_31856",74488,"Lrrc15",5.28112209479834,1.46536334768678e-10,"Up",74488,"Lrrc15",3.71056430044453,9.80760368997709e-05,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",74488,"Lrrc15","Persistent_up","Lrrc15",66.8084070006498
"G10090_19925",320452,"P4ha3",4.65502764391651,1.84671573488984e-11,"Up",320452,"P4ha3",3.63732486202264,3.71203478770497e-05,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",320452,"P4ha3","Persistent_up","P4ha3",66.0799647719037
"G10090_9256",244281,"Myo16",4.2334326586106,8.06808549420564e-11,"Up",244281,"Myo16",4.61279307459338,8.69660979022224e-06,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",244281,"Myo16","Persistent_up","Myo16",66.0727387780943
"G10090_29954",14119,"Fbn2",5.63493204449206,2.01144584786093e-10,"Up",14119,"Fbn2",3.25773109492056,0.00036326462844209,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",14119,"Fbn2","Persistent_up","Fbn2",65.8449396732911
"G10090_10033",17294,"Mest",4.91060711004527,1.39210990429535e-12,"Up",17294,"Mest",1.3100370729186,0.000136946031376,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",17294,"Mest","Persistent_up","Mest",63.2830245438395
"G10090_15395",50706,"Postn",4.97092728617747,8.41321205093056e-11,"Up",50706,"Postn",2.2202367743276,4.42334552031224e-06,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",50706,"Postn","Persistent_up","Postn",61.9699829516287
"G10090_28430",70021,"Nt5dc2",3.96484156995703,3.12812585441073e-11,"Up",70021,"Nt5dc2",3.69057489398773,2.4465006239506e-05,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",70021,"Nt5dc2","Persistent_up","Nt5dc2",58.6684526406218
"G10090_33778",12683,"Cidea",-4.5374848813469,3.25832488126803e-07,"Down",12683,"Cidea",-2.46851660767886,5.41917613135104e-05,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent",12683,"Cidea","Persistent_down","Cidea",39.9655464854115
"G10090_33420",15007,"H2-Q10",-3.74114859512349,3.27748556807882e-07,"Down",15007,"H2-Q10",-2.83518734552066,1.42455007747695e-05,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent",15007,"H2-Q10","Persistent_down","H2-Q10",37.9995570696974
"G10090_32740",21743,"Inmt",-3.5885144542367,1.00275409994503e-09,"Down",21743,"Inmt",-1.54658638932701,0.000602323072549391,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent",21743,"Inmt","Persistent_down","Inmt",37.2726156674515
"G10090_18579",12922,"Crhr2",-2.95147507732052,1.58705235182047e-09,"Down",12922,"Crhr2",-1.17699883946225,0.000347682537758049,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent",12922,"Crhr2","Persistent_down","Crhr2",30.0422593493713
"G10090_29872",232493,"Gys2",-3.05245537665792,5.97068730024235e-07,"Down",232493,"Gys2",-2.1113383786246,9.2400308119906e-06,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent",232493,"Gys2","Persistent_down","Gys2",29.6275749282588
"G10090_23994",69574,"Cmbl",-1.94358652496554,1.98493650176459e-11,"Down",69574,"Cmbl",-1.41431882122152,2.8069905731064e-06,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent",69574,"Cmbl","Persistent_down","Cmbl",28.6527127690808
"G10090_14376",104158,"Ces1d",-2.6017223272666,7.34027510826591e-09,"Down",104158,"Ces1d",-1.62561436485197,4.98117270026032e-05,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent",104158,"Ces1d","Persistent_down","Ces1d",28.1576373880014
"G10090_3298",70564,"Prxl2a",-2.01608961491753,4.20560830125124e-10,"Down",70564,"Prxl2a",-1.59186463641701,1.70583664455986e-06,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent",70564,"Prxl2a","Persistent_down","Prxl2a",28.0851761516693
"G10090_12826",329252,"Lgr6",-1.15606171711665,0.0245467808455059,"Down",329252,"Lgr6",1.10057826035967,0.0309670125786119,"Up",TRUE,TRUE,"opposite_direction","shared_direction_discordant",329252,"Lgr6","Opposite_direction","Lgr6",3.52214908214937
