"","Direction"
"Cthrc1","Persistent_up"
"Tnn","Persistent_up"
"C1qtnf3","Persistent_up"
"Lrrc15","Persistent_up"
"P4ha3","Persistent_up"
"Myo16","Persistent_up"
"Fbn2","Persistent_up"
"Mest","Persistent_up"
"Postn","Persistent_up"
"Nt5dc2","Persistent_up"
"Timp1","Persistent_up"
"Clec4d","Persistent_up"
"C1qtnf6","Persistent_up"
"Ptn","Persistent_up"
"Acan","Persistent_up"
"Wnt16","Persistent_up"
"Mmp14","Persistent_up"
"Gdf3","Persistent_up"
"Gpr88","Persistent_up"
"Cx3cr1","Persistent_up"
"Clec4n","Persistent_up"
"Mfap2","Persistent_up"
"Tnfsf15","Persistent_up"
"Slpi","Persistent_up"
"Ccn5","Persistent_up"
"Cidea","Persistent_down"
"H2-Q10","Persistent_down"
"Inmt","Persistent_down"
"Crhr2","Persistent_down"
"Gys2","Persistent_down"
"Cmbl","Persistent_down"
"Ces1d","Persistent_down"
"Prxl2a","Persistent_down"
"Retn","Persistent_down"
"Timp4","Persistent_down"
"H4c8","Persistent_down"
"Mogat1","Persistent_down"
"Cyp2e1","Persistent_down"
"Car14","Persistent_down"
"Pfkfb1","Persistent_down"
"Cimap1d","Persistent_down"
"Adhfe1","Persistent_down"
"Car4","Persistent_down"
"Ostn","Persistent_down"
"Ephx2","Persistent_down"
"Pon1","Persistent_down"
"Tdrp","Persistent_down"
"Paqr9","Persistent_down"
"Mcrip2","Persistent_down"
"Prodh","Persistent_down"
