"","M130L","M135L","M142L","M143L","M147L","M153L","M158L","M160L","M163L","M167L","M174L","M178L","M130R","M135R","M142R","M143R","M147R","M153R","M158R","M160R","M163R","M167R","M174R","M178R","M131L","M137L","M140L","M146L","M150L","M154L","M157L","M161L","M166L","M169L","M173L","M176L","M131R","M137R","M140R","M146R","M150R","M154R","M157R","M161R","M166R","M169R","M173R","M176R"
"Cthrc1",0.751019600570222,0.00910033824723277,2.84085312612157,3.72239121042887,0.716260253353264,2.79116710272591,1.62272673773269,2.22789717970162,1.29053087455576,1.68472905617238,2.50694032191379,1.16487817235882,7.2845879714272,8.25766036766563,8.34570480569336,8.65210985605569,7.69005172966296,7.53871017534839,8.65195674391548,8.22806789380365,7.52585779970228,8.54204763597726,8.0297617793504,8.10212472187992,2.2018002996488,2.6335271055788,1.55032079578243,2.6340290418357,0.667864512132981,0.412167582171814,1.92197009573557,2.25077436564824,0.898919842259035,1.25341257386944,2.04574965475143,1.07813282435293,7.09214582453852,8.36414518216129,5.52382008011289,5.6482586053652,5.78073333351677,1.1667343327419,5.1589689210762,5.70201653093958,5.99139134792073,6.70853404390523,5.22384077976483,5.08970800815315
"Tnn",-3.33644324068012,-3.89779025736129,1.28429105120194,1.56676459203912,-5.39226420342491,1.13856588512939,1.49810008321894,-2.36251975111164,-1.23601493994007,0.449709026508186,-0.0221134376567095,-0.848418650254642,5.37309618980378,7.20460459137675,7.41317196202459,8.37380326118261,5.47095458087075,5.33244851080112,8.97774541621897,6.71756194691793,5.9463605299507,8.01240209017387,7.71408988693869,7.20085206773078,-1.35678678564806,3.83891567139183,2.99089338716841,-1.86958750380981,-2.27073494320288,0.551892345838427,-1.1050981474626,0.592081476393712,-2.95193671843516,-2.75941146648814,0.433174922822412,-2.16394196284522,6.62511022419009,8.51569405037064,6.04337970005277,4.9190267750649,5.47852101230997,0.885714181434745,3.78780349409411,5.22725882007474,7.48129844617509,6.14393593555151,4.20831970475657,5.57080524100655
"C1qtnf3",2.19337770584858,0.58333643237533,3.33608035355556,4.69042687079279,2.65758434602566,3.32506644277389,3.1876514852173,1.56175292272512,3.24511174979654,2.71736006041235,3.33234862137905,1.24218389852626,6.39678629584889,7.89191186159627,9.02953515823585,10.0556923120695,7.65281455837844,7.28923769457021,10.2088381662921,9.42117133522144,7.83093755049725,9.48946044231148,9.04779499626913,7.46878156552692,1.93343244951196,2.97982410396736,1.46082264494333,3.76053589547514,1.90806820958589,1.39988925239338,2.14052658011157,3.31847186925777,2.50280320487742,1.99547603567532,2.24946296965002,2.33037517343594,6.52030943884971,8.89046160784694,5.59346965152816,6.06162085887739,5.48387590261822,2.19830441174277,5.11433349094048,5.00830712309964,5.75396999921361,5.71538870172864,5.13235724651919,5.2896533182138
"Lrrc15",-0.800390340439907,-1.78231303994135,2.6641000621698,3.38747227702174,-0.347870084066452,1.46740234935893,0.373554985280638,0.327795749755745,0.302404974844053,1.05669783355934,1.24302863113908,0.27933689694373,5.47401750382393,6.56771194314799,6.63695332641709,7.40135507824548,4.78343300723736,5.25436373536199,6.34816129923948,5.31788875729127,5.38079310774771,6.80400371972384,6.54362255882326,6.29883385574243,0.914067124645033,0.864346886547422,0.870077791628164,2.95126326073201,-0.0831079400271043,-0.715587965026559,1.81050966524703,1.39247245070155,-0.630008623547793,-0.2813641696835,0.474397585548925,2.54075978215004,5.34647118453728,7.05068653524456,5.50862923444843,5.27182510860545,4.90269445943712,0.368923183355168,4.56297636011543,4.17371927684593,5.12417368793494,5.10048457182281,4.29809033783204,3.62582896165128
"P4ha3",0.0695491189957195,-1.3952899168321,2.499433733459,1.69726661627325,0.389095510099755,0.914248586868453,0.508906838175524,0.836260113002858,-0.202067608016735,-0.215106781902185,2.1618048358651,0.0691191895533843,4.63313005891914,5.5064406616724,5.60113107810003,5.71705218383125,4.62498179957367,4.98223503657586,5.89206378434792,5.17803396472322,4.64235893471349,5.80945362685215,5.80552449535227,5.77656145102492,0.459501261179551,1.26770258077863,0.0496272119588762,3.23342416429303,-0.0143951899430899,0.0213776291396468,1.52998783268439,2.17704397711487,-1.00440413832929,-0.437483371600782,1.42268254900477,2.462047806136,5.50264603364089,6.38645520048903,4.8650116359288,5.05817608994687,4.94860226589371,0.686405373211338,3.93102232525356,4.88196371914738,4.98451677548807,5.03955308412087,4.79964433851693,4.43913421688902
"Myo16",-4.07340883484632,-3.89779025736129,-3.32620654162635,-2.66418984280075,-3.80730170270375,-1.18336220975797,-3.97221985156109,-3.01459644769133,-4.04336986199768,-3.98769628579911,-2.15456373368036,-2.79595123036051,0.788695595629514,1.57451670953934,1.28731258883191,1.45473357808204,0.0170824875753582,0.958765749393858,1.23090273756207,0.608310416902308,-0.193748817056047,0.947752973941683,1.56113300093593,1.35278953789392,-2.42091712306778,-2.21538030592331,-3.1830335448314,-2.41707529911231,-5.44065994464519,-3.88551296646887,-1.19529595643418,-3.07629703251508,-2.58936663905045,-5.56676638854575,-4.0903870332346,-2.694456679544,1.82155216409567,3.17440472337404,1.19473845862649,1.19621011380975,1.89400551237966,-1.56598178842295,0.451980957548368,2.10724699202841,1.99276234017528,2.92451719281049,1.27039127038206,-0.454393236842805
"Fbn2",-0.372969116705231,-0.62477176295487,0.899861537853493,-0.407850089540962,0.280161138546591,0.362606159347323,-0.512788232923795,-0.612498004119987,0.480192094059336,-0.714677791392696,0.939412414528655,-0.848418650254642,4.6865693178806,5.33865822060245,6.04889363426092,6.18912062814647,4.40091967996576,4.24443030029445,6.94537851539002,5.90269142917042,5.0658660682366,6.15720633957063,6.31303510101827,5.61851205360475,0.348469948790807,1.52486042027576,0.561127550739011,-0.389594562690199,-1.98122832600789,-1.22254795374644,0.190357736063573,0.745704665506923,-1.00440413832929,-1.31883887510216,-0.546066517010791,-0.372528584656633,4.35026418776858,5.18612365976541,3.38236546180226,2.44047854247713,3.78688401761545,-0.699248319286411,1.22570510172469,3.08916463304495,3.9916656506197,4.16320682264687,3.20529624216018,1.19069025631592
"Mest",2.19960965956009,1.53717150282597,3.24004325040068,2.4307030424631,2.49074558619419,3.3721104055852,2.56362575001637,2.09057874457415,2.49299393039779,2.72141050856804,3.20763637646501,1.85514147501981,6.64786633508234,6.36972122828778,7.94568676033712,8.5415634711851,6.31578027596325,6.46961996065365,9.05955587528665,8.30116694773149,7.21637331070904,7.85790972119382,8.18014738421897,6.68452478973377,2.64015208284279,3.71561501662656,2.97546506547312,2.34984598752163,2.83658095368688,1.9956621888804,2.28613632723104,2.556054285144,3.06356594838121,2.14541666266348,2.63934699170053,1.62474374776832,4.31775661610995,5.27117377409989,3.69700056358713,3.32025510371691,4.12307875262822,2.40768350544497,2.99129322094578,3.71775539354475,4.37984994848024,4.74198177626472,4.11435362416799,3.12071306813334
"Postn",5.05844812576247,5.64201477774003,6.57875057809632,7.70006643033516,6.20252691466436,7.48296832659165,6.46968685298115,6.47467810453657,5.71096093746126,5.89952432966927,6.50885752490808,5.17230412834143,10.0557666548677,11.0330539624096,11.5117631624257,12.0740921179724,10.9105590496816,10.7950511722524,12.0225431281406,11.8076573612559,10.525593329076,11.6161023618833,11.4295966763457,10.8105109161516,6.31286858099399,7.63934643529264,6.78246217196476,6.89842265605583,5.37392252126109,5.46100076669676,6.48871735981253,6.10751555156732,6.49307812743327,6.43780522662191,6.25205807899327,6.01328589308157,9.00137510763414,9.89335895775888,8.35165684071237,8.40561135047839,9.13843566722796,5.75541580635147,8.27071773986685,8.84861800989091,9.26531767948192,9.58681217874826,8.69652145578371,7.99865843876146
"Nt5dc2",1.67254554254714,1.73641576237972,2.82354057787833,2.20480414504924,1.2370924166547,2.30720792068823,1.49810008321894,2.07891543823181,0.781058573418869,1.56689256587853,1.20027898367974,1.0260504676615,5.03093480188772,6.88624311150958,5.28447940927467,5.35494695012684,4.64845545325347,6.04893449023248,6.0872152339984,5.98712357533132,4.69643253613118,5.83574732058444,6.00183802458866,6.43784155069823,2.0680184898796,2.11309063483082,1.52846136181869,1.9214039720389,1.06713469555351,1.8241452817016,1.97638609760882,1.80983500292664,1.83316539677532,2.12672056895358,1.52432281088061,0.793829801765487,6.12557006112526,7.65974019158273,5.43910924905843,5.2328685843886,6.08669248954636,1.5064267071051,3.96674802797144,6.39462253227736,6.36700906740096,6.88876331277415,5.60499319530454,3.97941857520899
"Timp1",2.31317221838329,2.54515323848744,3.85937687248186,3.45359753530639,2.90694381496237,4.65558955719397,2.29456668913381,3.76488841821289,2.13321886972565,1.66574595280481,4.55756639498376,2.61101296838265,6.25149406536521,6.83164968162964,6.71357734353401,6.40812380098272,6.16244641565015,6.7096686898269,7.30107616316974,6.96203259436849,6.18192254379765,7.01176800184282,7.05119559745044,6.90978913193867,3.89279046501462,3.88169413011132,2.84818518577932,3.91177220971485,1.83546446062905,2.1805762239889,3.1382201127284,4.5097385028713,2.35445052555643,2.5259907523741,3.31617231211994,3.83084661050944,7.76837617619668,8.6085478902066,6.8391007683997,7.206659684412,7.28210284294582,2.63657421725933,6.31129864788959,7.38022122587613,7.0952366841786,7.18267342836195,7.29749894817797,6.46751098882115
"Clec4d",-2.48844633412517,-3.16082466319508,0.686617498731231,-0.704831827298094,-3.80730170270375,-2.1267786813916,-2.09775073364495,-1.7344885284986,-1.72144176711031,-1.66576819091175,-2.68507845037914,-3.28137805753075,2.27123028342647,3.05156387109361,2.80156225116791,2.41996815992137,1.90760401077687,2.34669140305546,3.47330511963001,2.77124898802851,2.0078850441136,3.24791586014538,2.71682199708265,3.37001127842251,-0.0474587275403316,0.734579011577093,-2.04553002108146,-0.56292616557576,-2.63330502258758,0.0841133844876095,-1.29151127169348,-2.42422033593539,-2.05885192235167,0.773083614338877,0.767593961892971,-1.34081972492929,3.13219445143652,3.99021267621824,1.86964308466044,2.16895190676533,1.88323908151059,-1.74655403406477,1.71372204636064,2.01173966109978,1.62517200329889,2.01079853469252,1.74030509818098,1.32193478959417
"C1qtnf6",3.620078122653,3.46269107829547,4.81990749854489,4.178509694622,3.71364430514625,5.24892912848981,3.47348478396469,3.97733025177298,4.15466584620158,3.76049656379035,4.37981397929587,3.07265088052364,7.0182332073018,7.75899001955081,7.76667599111978,7.89134598295477,7.03620271842837,7.37751551851658,7.71692312946698,7.37534334892787,7.02963862696605,8.14920862560695,7.74044036049211,7.80727292462325,4.37821729218486,4.42716374638862,3.90230612452597,4.72247605328649,3.77608591355012,3.27435837030952,4.09962118589268,4.30987340592853,4.18468827385098,3.93507079635655,3.72766248961924,4.30679511666546,6.91652667342721,8.12092323315883,6.51392198028082,6.26838930073986,6.69464083663089,3.7367243265269,5.56252741191175,6.60695104490081,7.05432845821288,7.08147729884547,6.17290342548001,5.56419169616604
"Ptn",2.07633828465836,1.67711857869595,3.37225009023564,3.1460247333961,2.13911725709141,3.26817862325986,2.50351357940531,2.37280548467331,3.06863516351545,2.22824111340004,2.68802836843379,1.55656518436028,5.50614781619596,6.41627228482516,7.12315058194312,7.22056678853309,5.97521131073036,5.54500666848922,7.19816925432204,7.12435297879905,6.08524965206144,7.15543289737941,6.77782246971416,6.69209499544916,2.74536010135939,3.19246681514905,2.82146784740354,3.31919652488382,2.70399829818669,2.13685484655958,3.28304963356721,2.97121642868755,2.81435554700056,3.02194824703652,2.49957614854492,2.3401894632629,3.9427829087459,4.51463363500435,4.20838354799864,3.96106396892707,4.59320704273979,2.44984317873874,3.75674319772937,4.30932723161774,4.97788622360591,4.77426581274912,4.01696845933256,3.53983981993831
