"metric","value"
"persistent_total_input","1416"
"persistent_up_input","970"
"persistent_down_input","446"
"selected_top_up","25"
"selected_top_down","25"
"selected_total","50"
"genes_found_in_both_voom_matrices","50"
"samples_in_heatmap","48"
"column_order","1W Contra -> 1W ACLR -> 4W Contra -> 4W ACLR"
"top_annotations","Treatment and Timepoint only"
"row_annotation","Direction shown as annotation legend; annotation name hidden"
"row_dendrogram","TRUE, euclidean complete clustering"
"column_clustering","FALSE"
"heatmap_color_scale","rev(RColorBrewer::RdYlBu): deep blue -> lemon yellow -> red"
"zscore_clip","[-2, 2]"
"figure_width_in","11.5"
"figure_height_in","9.2"
"heatmap_input","Step05 second voom logCPM, row z-score"
