"gene_id","ENTREZID","SYMBOL","logFC_1W","FDR_1W","direction_1W","logFC_4W","FDR_4W","direction_4W","direction_persistent","category","combined_score","Direction","heatmap_label"
"G10090_19936",68588,"Cthrc1",6.20943492302011,1.93648903778503e-14,"Up",3.92728815852194,2.05386789513754e-05,"Up","Up","persistent_direction_consistent",103.558766181667,"Persistent_up","Cthrc1"
"G10090_14199",329278,"Tnn",7.78334193314931,1.25240941905408e-09,"Up",5.94221885098829,0.000108827400252373,"Up","Up","persistent_direction_consistent",92.8398529819713,"Persistent_up","Tnn"
"G10090_11470",81799,"C1qtnf3",5.7382437077514,2.32796250861461e-11,"Up",3.17005620637254,1.78396343762142e-05,"Up","Up","persistent_direction_consistent",76.0682566100077,"Persistent_up","C1qtnf3"
"G10090_31856",74488,"Lrrc15",5.28112209479834,1.46536334768678e-10,"Up",3.71056430044453,9.80760368997709e-05,"Up","Up","persistent_direction_consistent",66.8084070006498,"Persistent_up","Lrrc15"
"G10090_19925",320452,"P4ha3",4.65502764391651,1.84671573488984e-11,"Up",3.63732486202264,3.71203478770497e-05,"Up","Up","persistent_direction_consistent",66.0799647719037,"Persistent_up","P4ha3"
"G10090_9256",244281,"Myo16",4.2334326586106,8.06808549420564e-11,"Up",4.61279307459338,8.69660979022224e-06,"Up","Up","persistent_direction_consistent",66.0727387780943,"Persistent_up","Myo16"
"G10090_29954",14119,"Fbn2",5.63493204449206,2.01144584786093e-10,"Up",3.25773109492056,0.00036326462844209,"Up","Up","persistent_direction_consistent",65.8449396732911,"Persistent_up","Fbn2"
"G10090_10033",17294,"Mest",4.91060711004527,1.39210990429535e-12,"Up",1.3100370729186,0.000136946031376,"Up","Up","persistent_direction_consistent",63.2830245438395,"Persistent_up","Mest"
"G10090_15395",50706,"Postn",4.97092728617747,8.41321205093056e-11,"Up",2.2202367743276,4.42334552031224e-06,"Up","Up","persistent_direction_consistent",61.9699829516287,"Persistent_up","Postn"
"G10090_28430",70021,"Nt5dc2",3.96484156995703,3.12812585441073e-11,"Up",3.69057489398773,2.4465006239506e-05,"Up","Up","persistent_direction_consistent",58.6684526406218,"Persistent_up","Nt5dc2"
"G10090_23208",21857,"Timp1",3.58142773232339,4.42482147081811e-11,"Up",3.5595849639152,2.13848304914485e-06,"Up","Up","persistent_direction_consistent",57.2649461923308,"Persistent_up","Timp1"
"G10090_15794",17474,"Clec4d",4.72323118573936,4.20560830125124e-10,"Up",2.71456703957236,0.000189339209417518,"Up","Up","persistent_direction_consistent",54.391504188048,"Persistent_up","Clec4d"
"G10090_1992",72709,"C1qtnf6",3.52476056909089,1.39210990429535e-12,"Up",2.21804869555382,3.00328048080245e-06,"Up","Up","persistent_direction_consistent",54.0396732840576,"Persistent_up","C1qtnf6"
"G10090_14414",19242,"Ptn",4.00501706585527,1.74863259965908e-12,"Up",1.26688545462346,2.38202682037391e-05,"Up","Up","persistent_direction_consistent",52.9450719216636,"Persistent_up","Ptn"
"G10090_19181",11595,"Acan",5.71390953747687,1.59460304061953e-07,"Up",4.43804650966147,0.000986023434430136,"Up","Up","persistent_direction_consistent",52.1806964641648,"Persistent_up","Acan"
"G10090_16466",93735,"Wnt16",4.14759073448876,7.36001216176245e-08,"Up",3.9999084394722,4.44823186753004e-06,"Up","Up","persistent_direction_consistent",50.9920288255949,"Persistent_up","Wnt16"
"G10090_15210",17387,"Mmp14",3.38533651941381,8.7393090215426e-12,"Up",2.15578960005984,2.8069905731064e-06,"Up","Up","persistent_direction_consistent",49.4052458499867,"Persistent_up","Mmp14"
"G10090_2295",14562,"Gdf3",5.06400252078917,6.48133568534073e-09,"Up",2.23653716364287,0.000310817621335462,"Up","Up","persistent_direction_consistent",49.3103930398607,"Persistent_up","Gdf3"
"G10090_7181",64378,"Gpr88",3.81649119600323,2.82738095839916e-10,"Up",3.25291401262819,0.000124195158575444,"Up","Up","persistent_direction_consistent",49.1477493058113,"Persistent_up","Gpr88"
"G10090_31148",13051,"Cx3cr1",3.26830734837177,1.19984285717762e-11,"Up",2.33967736773023,2.27247783624488e-06,"Up","Up","persistent_direction_consistent",48.8967480999425,"Persistent_up","Cx3cr1"
"G10090_16358",56620,"Clec4n",4.22669596059578,1.43119078390734e-10,"Up",1.89356000785611,0.000270376386940837,"Up","Up","persistent_direction_consistent",48.3651547432208,"Persistent_up","Clec4n"
"G10090_8611",17150,"Mfap2",3.26316270551553,6.68580131494874e-13,"Up",1.60817879121211,1.85003361290888e-05,"Up","Up","persistent_direction_consistent",47.3397265132836,"Persistent_up","Mfap2"
"G10090_15377",326623,"Tnfsf15",4.02207203032693,3.44137164326669e-09,"Up",2.83261872891062,2.35910316007353e-05,"Up","Up","persistent_direction_consistent",47.1471189168742,"Persistent_up","Tnfsf15"
"G10090_29217",20568,"Slpi",5.40599382121547,1.84208816989036e-06,"Up",3.65445553324323,3.84714157601646e-05,"Up","Up","persistent_direction_consistent",47.1356127189852,"Persistent_up","Slpi"
"G10090_19126",22403,"Ccn5",2.84831106531839,5.78733388927448e-11,"Up",3.00445981207751,1.04153986096631e-06,"Up","Up","persistent_direction_consistent",47.1332980137216,"Persistent_up","Ccn5"
"G10090_33778",12683,"Cidea",-4.5374848813469,3.25832488126803e-07,"Down",-2.46851660767886,5.41917613135104e-05,"Down","Down","persistent_direction_consistent",39.9655464854115,"Persistent_down","Cidea"
"G10090_33420",15007,"H2-Q10",-3.74114859512349,3.27748556807882e-07,"Down",-2.83518734552066,1.42455007747695e-05,"Down","Down","persistent_direction_consistent",37.9995570696974,"Persistent_down","H2-Q10"
"G10090_32740",21743,"Inmt",-3.5885144542367,1.00275409994503e-09,"Down",-1.54658638932701,0.000602323072549391,"Down","Down","persistent_direction_consistent",37.2726156674515,"Persistent_down","Inmt"
"G10090_18579",12922,"Crhr2",-2.95147507732052,1.58705235182047e-09,"Down",-1.17699883946225,0.000347682537758049,"Down","Down","persistent_direction_consistent",30.0422593493713,"Persistent_down","Crhr2"
