"metric","value"
"step07_structure_file","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step07_strict_DEG_upset_persistent/step07_strict_DEG_structure_gene_table.csv"
"counts_source","recomputed directly from step07_strict_DEG_structure_gene_table.csv"
"Persistent_down","446"
"Persistent_up","970"
"Persistent_total","1416"
"1W_only_down","929"
"1W_only_up","1079"
"1W_only_total","2008"
"4W_only_down","84"
"4W_only_up","211"
"4W_only_total","295"
"shared_strict_opposite_direction_excluded","5"
"plot_logic","manual geom_rect: Down lower blue, Up upper orange"
