"metric","value"
"selected_CellAge_file","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/00_raw_data/cellAge/cellage3.tsv"
"selected_file_size_bytes","73627"
"selected_file_ctime","2023-04-22 21:51:22"
"selected_file_mtime","2023-04-22 21:51:22"
"selected_file_md5","76c1805060c0e7ddac8398b33b5b4866"
"inferred_CellAge_version_from_filename","cellage3"
"raw_rows","949"
"raw_columns","7"
"rows_with_nonmissing_Gene_symbol","949"
"duplicate_Gene_symbol_rows","156"
"clean_unique_CellAge_symbols","866"
"cleaning_rule","remove missing Gene symbol; create CellAge_symbol; keep first occurrence for duplicated symbols; order by CellAge_symbol"
"output_clean_table","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step11A_CellAge_raw_to_clean/step11A_CellAge_clean_271903.csv"
