"metric","value"
"analysis_role","current remapping; no frozen Figure3C workspace was used"
"frozen_workspace_used","FALSE"
"persistent_input_file","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step07_strict_DEG_upset_persistent/step07_persistent_direction_consistent_genes.csv"
"persistent_rows_total","1416"
"symbol_column_used","SYMBOL"
"unique_mouse_symbols_submitted_to_gorth","1409"
"current_gorth_raw_rows","1448"
"current_unique_mouse_human_pairs_nonmissing","1437"
"current_strict_1to1_pairs","1307"
"current_strict_unique_mouse_inputs","1307"
"current_strict_unique_human_symbols","1307"
"unmapped_mouse_inputs","0"
"mapping_tool","gprofiler2::gorth"
"gprofiler2_package_version","0.2.4"
"gprofiler_base_url","http://biit.cs.ut.ee/gprofiler"
