"title","mouse_id","treatment","time_point","Sex","CellAge_all","CellAge_induces","CellAge_inhibits"
"M130L","M130","Contra","1W","M",-0.141003553176581,-0.104974254476217,-0.16066217044819
"M130R","M130","ACLR","1W","M",0.0782890296607026,0.0398664822312498,0.120371626491469
"M135L","M135","Contra","1W","M",-0.25828183579751,-0.273870409134714,-0.236074315627378
"M135R","M135","ACLR","1W","M",0.0401701301774683,0.0328767396422768,0.052992327713178
"M142L","M142","Contra","1W","F",0.162522156073601,0.175723600217152,0.166452432434886
"M142R","M142","ACLR","1W","F",0.0975651474857558,0.111856262119196,0.0836774213222203
"M143L","M143","Contra","1W","F",-0.036001520382586,-0.0103895812857417,-0.0513670576325496
"M143R","M143","ACLR","1W","F",0.129679151765507,0.0704005075063211,0.176093740463972
"M147L","M147","Contra","1W","M",-0.133948951202537,-0.286558384156425,-0.0193537960145944
"M147R","M147","ACLR","1W","M",0.112282514289462,0.0641875502045652,0.150372252712653
"M153L","M153","Contra","1W","M",0.0371466972329906,0.00472851698581836,0.0571499933016002
"M153R","M153","ACLR","1W","M",0.140442302757244,0.0926780298502778,0.173237582570952
"M158L","M158","Contra","1W","F",-0.212022802939553,-0.322124184980723,-0.133372578347493
"M158R","M158","ACLR","1W","F",0.296306405501716,0.116143019424246,0.439640299282819
"M160L","M160","Contra","1W","F",-0.182800438161075,-0.232026498485399,-0.142606241560182
"M160R","M160","ACLR","1W","F",0.192063006053999,0.0537824520088816,0.301833474821487
"M163L","M163","Contra","1W","M",-0.134141760497996,-0.159108701671038,-0.115998390431018
"M163R","M163","ACLR","1W","M",0.0764086512209978,0.016983571165922,0.122689516643733
"M167L","M167","Contra","1W","M",-0.119054042916334,-0.138915159256432,-0.105406242884363
"M167R","M167","ACLR","1W","M",0.0593104754184994,0.0964219982361372,0.0519837247574774
"M174L","M174","Contra","1W","F",-0.0903376547465638,-0.00594774053281481,-0.155123523797427
"M174R","M174","ACLR","1W","F",0.17892278653861,0.106622653666522,0.239265796170335
"M178L","M178","Contra","1W","F",-0.22348311147106,-0.271546072798597,-0.189426809403235
"M178R","M178","ACLR","1W","F",0.123128941379062,0.186370124316918,0.0749184827385716
"M131L","M131","Contra","4W","M",-0.12206226235272,0.00293911718757629,-0.21374295984778
"M131R","M131","ACLR","4W","M",0.0908736106819621,0.109921037651369,0.0896668208127891
"M137L","M137","Contra","4W","M",0.00789298736066016,-0.0140134494242435,0.0268921337136168
"M137R","M137","ACLR","4W","M",0.226840440375518,0.266321694310453,0.205151423602814
"M140L","M140","Contra","4W","F",-0.117885232325925,-0.212109552876487,-0.0567815684158115
"M140R","M140","ACLR","4W","F",0.0214265365251924,0.113409174607928,-0.0568183599665974
"M146L","M146","Contra","4W","F",-0.0833650747385143,0.0332595381588103,-0.172614315201437
"M146R","M146","ACLR","4W","F",-0.00811274577356961,0.178628547925138,-0.160122826363212
"M150L","M150","Contra","4W","M",-0.205198831466868,-0.207918303016115,-0.196995545840378
"M150R","M150","ACLR","4W","M",0.0711584527354613,0.182471940836577,-0.022328525155499
"M154L","M154","Contra","4W","M",-0.0385099497093947,-0.247958750935647,0.12952936151569
"M154R","M154","ACLR","4W","M",-0.143530437446456,-0.245180135664648,-0.0720019185284662
"M157L","M157","Contra","4W","F",0.10071163374548,0.266376374247401,-0.0132590770478504
"M157R","M157","ACLR","4W","F",-0.0208098122683638,0.127885301337896,-0.138557492059804
"M161L","M161","Contra","4W","F",0.0105896259450703,0.0547008182288877,-0.0280117543155137
"M161R","M161","ACLR","4W","F",0.138190088767256,0.159357420114152,0.103674192505461
"M166L","M166","Contra","4W","M",-0.0913713904175238,-0.114537616580432,-0.0751461926871333
"M166R","M166","ACLR","4W","M",0.0195949423159089,0.17434902610785,-0.109416774062951
"M169L","M169","Contra","4W","M",-0.261563251573824,-0.241632312562739,-0.272357772659807
"M169R","M169","ACLR","4W","M",0.107333738811456,0.0673890329905271,0.136714380168114
"M173L","M173","Contra","4W","F",-0.075410293291462,-0.10709248496806,-0.0488072556497132
"M173R","M173","ACLR","4W","F",-0.0166364707831823,0.127282997600193,-0.123428237673891
"M176L","M176","Contra","4W","F",0.0893418554892056,0.0717004926454783,0.0906540602239218
"M176R","M176","ACLR","4W","F",0.0637378798050911,0.0230262259529452,0.0768206576545117
