"metric","value"
"score_scope","whole CellAge projected mouse gene set, not 79 persistent intersect CellAge genes"
"CellAge_raw_file","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/00_raw_data/cellAge/cellage3.tsv"
"ortholog_mapping","gprofiler2::gorth hsapiens to mmusculus strict 1:1 from scratch"
"expression_input","Step04 cleaned count matrices, 1W + 4W combined"
"normalization","edgeR::calcNormFactors default TMM"
"log_expression","edgeR::cpm(log = TRUE, prior.count = 1)"
"row_z_scope","all 48 mouse discovery samples"
"CellAge_all_projected_mouse_symbols","822"
"CellAge_all_detected_gene_ids","817"
"CellAge_induces_detected_gene_ids","348"
"CellAge_inhibits_detected_gene_ids","448"
"expr_all_genes_after_NA_row_removal","19296"
"expr_all_samples","48"
"genes_removed_before_DGEList_due_to_NA_counts","1"
"ambiguous_mouse_symbols_excluded","9"
"score_rows_long","144"
