"metric","value"
"persistent_input_file","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step07_strict_DEG_upset_persistent/step07_persistent_direction_consistent_genes.csv"
"persistent_summary_input_file","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step07_strict_DEG_upset_persistent/step07_strict_DEG_persistent_summary.csv"
"CellAge_clean_input_file","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step11A_CellAge_raw_to_clean/step11A_CellAge_clean_271903.csv"
"current_mapping_input_file","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step11B_current_gorth_strict_1to1_remap/step11B_current_mouse_human_ortholog_mapping_strict_1to1.csv"
"current_overlap_input_file","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step11C_intersect_current_gorth_mapping_with_CellAge_clean/step11C_persistent_CellAge_overlap_79_genes.csv"
"Step11D_audit_input_file","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step11D_audit_persistent_mapping_denominators/step11D_persistent_mapping_denominator_audit_summary.csv"
"Step07_persistent_gene_entries","1416"
"Step07_persistent_rows_with_nonmissing_mouse_symbol","1409"
"Step07_persistent_rows_missing_mouse_symbol","7"
"Step07_persistent_unique_mappable_mouse_symbols","1409"
"current_strict_1to1_mapping_rows","1307"
"current_strict_1to1_unique_mouse_inputs_with_strict_1to1_ortholog","1307"
"current_strict_1to1_unique_human_orthologs","1307"
"row_level_persistent_rows_with_strict_1to1_ortholog","1307"
"CellAge_clean_unique_symbols","866"
"Step11C_unique_human_CellAge_overlap_symbols","78"
"row_level_persistent_rows_with_CellAge_overlap","78"
"unique_mouse_symbols_with_CellAge_overlap","78"
"recomputed_overlap_from_Step11A_and_Step11B","78"
"Step11C_matches_recomputed_overlap_symbols","TRUE"
"mappable_symbol_percent_of_persistent_entries","99.5"
"strict_1to1_human_ortholog_percent_of_persistent_entries","92.3"
"CellAge_overlap_percent_of_persistent_entries","5.5"
"strict_1to1_human_ortholog_percent_of_mappable_symbols","92.8"
"CellAge_overlap_percent_of_mappable_symbols","5.5"
"workspace_used","FALSE"
"method_note","Figure3C generated from current Step07/Step11A/Step11B/Step11C outputs; Step07 persistent entries and mappable symbols are shown separately; no frozen workspace was used."
"plot_file_png","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/06_figures/Figure3/Figure3C_persistent_mouse_to_human_CellAge_framework_barplot_current_4step.png"
"plot_file_pdf","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/06_figures/Figure3/Figure3C_persistent_mouse_to_human_CellAge_framework_barplot_current_4step.pdf"
"canonical_plot_file_png","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/06_figures/Figure3/Figure3C_persistent_mouse_to_human_CellAge_framework.png"
"canonical_plot_file_pdf","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/06_figures/Figure3/Figure3C_persistent_mouse_to_human_CellAge_framework.pdf"
