"metric","value"
"persistent_input_file","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step07_strict_DEG_upset_persistent/step07_persistent_direction_consistent_genes.csv"
"current_overlap_input_file","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step11C_intersect_current_gorth_mapping_with_CellAge_clean/step11C_persistent_CellAge_overlap_79_genes.csv"
"frozen_workspace_used","FALSE"
"Step07_persistent_table_rows","1416"
"Step07_persistent_rows_with_valid_SYMBOL","1409"
"Step07_persistent_unique_mouse_symbols","1409"
"Step11C_overlap_rows","78"
"Step11C_unique_mouse_symbols","78"
"Step11C_unique_human_symbols","78"
"n_CellAge_overlap_genes_merged_with_Step07","78"
"n_up_in_ACLR_available","68"
"n_down_in_ACLR_available","10"
"top_n_each_direction_requested","10"
"n_genes_plotted_total","20"
"n_up_plotted","10"
"n_down_plotted","10"
"ranking_metric","combined_effect_score = -log10(FDR_1W)*abs(logFC_1W) + -log10(FDR_4W)*abs(logFC_4W)"
"plot_metric","plot_value = signed mean logFC across 1W and 4W"
"facet_order","left = Up in ACLR; right = Down in ACLR"
"within_panel_order_rule","top-to-bottom ordered from stronger effect to weaker effect within each facet"
"figure_png","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/06_figures/Figure3/Figure3D_top_CellAge_overlapping_persistent_genes_by_ACLR_direction_current.png"
"figure_pdf","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/06_figures/Figure3/Figure3D_top_CellAge_overlapping_persistent_genes_by_ACLR_direction_current.pdf"
"canonical_figure_png","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/06_figures/Figure3/Figure3D_top_CellAge_overlapping_persistent_genes_by_ACLR_direction.png"
"canonical_figure_pdf","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/06_figures/Figure3/Figure3D_top_CellAge_overlapping_persistent_genes_by_ACLR_direction.pdf"
