"gene_id","ENTREZID","SYMBOL","logFC_1W","FDR_1W","direction_1W","logFC_4W","FDR_4W","direction_4W","direction_persistent","category","mouse_symbol","ortholog_name","input","input_number","input_ensg","ensg_number","ortholog_ensg","description","n_human_orthologs","n_mouse_inputs","Entrez ID","Gene symbol","Gene name","Cancer Cell","Type of senescence","Senescence Effect","Reference","human_symbol","CellAge_effect_current","FDR_1W_num","FDR_4W_num","logFC_1W_num","logFC_4W_num","FDR_1W_safe","FDR_4W_safe","rank_component_1W","rank_component_4W","combined_effect_score","mean_logFC","plot_direction"
"G10090_1107",16905,"Lmna",1.22801783123848,8.05777925790531e-08,"Up",1.09704472386418,1.89203058694459e-05,"Up","Up","persistent_direction_consistent","Lmna","LMNA","Lmna",62,"ENSMUSG00000028063","62.1.1","ENSG00000160789","lamin A/C [Source:HGNC Symbol;Acc:HGNC:6636]",1,1,4000,"LMNA","lamin A/C","No","Unclear","Unclear",28483909,"LMNA","Unclear",8.05777925790531e-08,1.89203058694459e-05,1.22801783123848,1.09704472386418,8.05777925790531e-08,1.89203058694459e-05,8.71129402181301,5.18142105016753,13.8927150719805,1.16253127755133,"Up in ACLR"
"G10090_11287",21804,"Tgfb1i1",1.35673262268377,1.97394018364094e-09,"Up",1.23786314026783,7.66111505534496e-06,"Up","Up","persistent_direction_consistent","Tgfb1i1","TGFB1I1","Tgfb1i1",72,"ENSMUSG00000030782","72.1.1","ENSG00000140682","transforming growth factor beta 1 induced transcript 1 [Source:HGNC Symbol;Acc:HGNC:11767]",1,1,7041,"TGFB1I1","transforming growth factor beta 1 induced transcript 1","No","Unclear","Induces",9032249,"TGFB1I1","Induces",1.97394018364094e-09,7.66111505534496e-06,1.35673262268377,1.23786314026783,1.97394018364094e-09,7.66111505534496e-06,11.8099043479162,6.3325463885572,18.1424507364734,1.2972978814758,"Up in ACLR"
"G10090_11759",18979,"Pon1",-2.80323280121436,7.72942555349528e-08,"Down",-1.47329552514875,0.000289578877749035,"Down","Down","persistent_direction_consistent","Pon1","PON1","Pon1",96,"ENSMUSG00000002588","96.1.1","ENSG00000005421","paraoxonase 1 [Source:HGNC Symbol;Acc:HGNC:9204]",1,1,5444,"PON1","paraoxonase 1","No","Unclear","Inhibits",22897574,"PON1","Inhibits",7.72942555349528e-08,0.000289578877749035,-2.80323280121436,-1.47329552514875,7.72942555349528e-08,0.000289578877749035,19.9361789942305,5.21286302161323,25.1490420158438,-2.13826416318155,"Down in ACLR"
"G10090_12394",78892,"Crispld2",1.36067993957807,0.000138343075975239,"Up",1.36628063667651,8.2610580307794e-05,"Up","Up","persistent_direction_consistent","Crispld2","CRISPLD2","Crispld2",131,"ENSMUSG00000031825","131.1.1","ENSG00000103196","cysteine rich secretory protein LCCL domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25248]",1,1,83716,"CRISPLD2","cysteine rich secretory protein LCCL domain containing 2","No","Stress-induced","Inhibits",31219803,"CRISPLD2","Inhibits",0.000138343075975239,8.2610580307794e-05,1.36067993957807,1.36628063667651,0.000138343075975239,8.2610580307794e-05,5.25092181406951,5.57847510032204,10.8293969143915,1.36348028812729,"Up in ACLR"
"G10090_12418",80986,"Ckap2",3.13520356693904,1.73782858128053e-09,"Up",1.63274009326087,0.000533881801045469,"Up","Up","persistent_direction_consistent","Ckap2","CKAP2","Ckap2",136,"ENSMUSG00000037725","136.1.1","ENSG00000136108","cytoskeleton associated protein 2 [Source:HGNC Symbol;Acc:HGNC:1990]",1,1,26586,"CKAP2","cytoskeleton associated protein 2","No","Unclear","Inhibits",32264951,"CKAP2","Inhibits",1.73782858128053e-09,0.000533881801045469,3.13520356693904,1.63274009326087,1.73782858128053e-09,0.000533881801045469,27.4643615018979,5.34323156505576,32.8075930669537,2.38397183009995,"Up in ACLR"
"G10090_12548",19348,"Kif20a",2.48163304972896,5.52698936682376e-09,"Up",1.33418404950634,0.00262276088610691,"Up","Up","persistent_direction_consistent","Kif20a","KIF20A","Kif20a",142,"ENSMUSG00000003779","142.1.1","ENSG00000112984","kinesin family member 20A [Source:HGNC Symbol;Acc:HGNC:9787]",1,1,10112,"KIF20A","kinesin family member 20A","Yes","Stress-induced","Inhibits",25961928,"KIF20A","Inhibits",5.52698936682376e-09,0.00262276088610691,2.48163304972896,1.33418404950634,5.52698936682376e-09,0.00262276088610691,20.4921131266398,3.44385097265529,23.9359640992951,1.90790854961765,"Up in ACLR"
"G10090_12634",26380,"Esrrb",-2.43988325080152,2.88650188126715e-05,"Down",-1.04816226736016,0.041966805539624,"Down","Down","persistent_direction_consistent","Esrrb","ESRRB","Esrrb",152,"ENSMUSG00000021255","152.1.1","ENSG00000119715","estrogen related receptor beta [Source:HGNC Symbol;Acc:HGNC:3473]",1,1,2103,"ESRRB","estrogen related receptor beta","Yes","Stress-induced","Induces",25496115,"ESRRB","Induces",2.88650188126715e-05,0.041966805539624,-2.43988325080152,-1.04816226736016,2.88650188126715e-05,0.041966805539624,11.0761627005331,1.44341806110061,12.5195807616337,-1.74402275908084,"Down in ACLR"
"G10090_12985",108079,"Prkaa2",-1.40333234294571,0.000568392571040435,"Down",-1.14885499744918,0.00127080925369697,"Down","Down","persistent_direction_consistent","Prkaa2","PRKAA2","Prkaa2",170,"ENSMUSG00000028518","170.1.1","ENSG00000162409","protein kinase AMP-activated catalytic subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:9377]",1,1,5563,"PRKAA2","protein kinase AMP-activated catalytic subunit alpha 2","No","Stress-induced","Inhibits",26890602,"PRKAA2","Inhibits",0.000568392571040435,0.00127080925369697,-1.40333234294571,-1.14885499744918,0.000568392571040435,0.00127080925369697,4.55430687431824,3.32699174076322,7.88129861508146,-1.27609367019745,"Down in ACLR"
"G10090_13048",13003,"Vcan",2.38937082284523,8.46585560898198e-09,"Up",1.29248293771284,2.29909888126537e-05,"Up","Up","persistent_direction_consistent","Vcan","VCAN","Vcan",173,"ENSMUSG00000021614","173.1.1","ENSG00000038427","versican [Source:HGNC Symbol;Acc:HGNC:2464]",1,1,1462,"VCAN","versican","No","Stress-induced","Induces",30622695,"VCAN","Induces",8.46585560898198e-09,2.29909888126537e-05,2.38937082284523,1.29248293771284,8.46585560898198e-09,2.29909888126537e-05,19.2877877266668,5.99510759479207,25.2828953214589,1.84092688027904,"Up in ACLR"
"G10090_13799",11674,"Aldoa",-1.47423117359538,8.09049323722797e-05,"Down",-1.02299890273066,0.000515606879473174,"Down","Down","persistent_direction_consistent","Aldoa","ALDOA","Aldoa",206,"ENSMUSG00000030695","206.1.1","ENSG00000149925","aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]",1,1,226,"ALDOA","aldolase, fructose-bisphosphate A","Yes","Oncogene-induced","Inhibits",28806777,"ALDOA","Inhibits",8.09049323722797e-05,0.000515606879473174,-1.47423117359538,-1.02299890273066,8.09049323722797e-05,0.000515606879473174,6.0325908193125,3.36329435906821,9.39588517838071,-1.24861503816302,"Down in ACLR"
