"input","input_ensg","ortholog_name","ortholog_ensg","Entrez ID","Gene symbol","Gene name","Cancer Cell","Type of senescence","Senescence Effect","Reference","n_human_orthologs","n_mouse_inputs"
"Abi3bp","ENSMUSG00000035258","ABI3BP","ENSG00000154175",25890,"ABI3BP","ABI family member 3 binding protein","Yes","Unclear","Induces",18559958,1,1
"Ahr","ENSMUSG00000019256","AHR","ENSG00000106546",196,"AHR","aryl hydrocarbon receptor","No","Stress-induced","Induces",15111621,1,1
"Aldoa","ENSMUSG00000030695","ALDOA","ENSG00000149925",226,"ALDOA","aldolase, fructose-bisphosphate A","Yes","Oncogene-induced","Inhibits",28806777,1,1
"Bcl3","ENSMUSG00000053175","BCL3","ENSG00000069399",602,"BCL3","BCL3 transcription coactivator","No","Unclear","Inhibits",25255445,1,1
"Bub1","ENSMUSG00000027379","BUB1","ENSG00000169679",699,"BUB1","BUB1 mitotic checkpoint serine/threonine kinase","No","Oncogene-induced","Inhibits",17488820,1,1
"Cbs","ENSMUSG00000024039","CBS","ENSG00000160200",875,"CBS","cystathionine beta-synthase","No","Replicative","Inhibits",23117410,1,1
"Ccnb1","ENSMUSG00000041431","CCNB1","ENSG00000134057",891,"CCNB1","cyclin B1","Yes","Unclear","Inhibits",30069972,1,1
"Cdk1","ENSMUSG00000019942","CDK1","ENSG00000170312",983,"CDK1","cyclin dependent kinase 1","Yes","Unclear","Inhibits",23324396,1,1
"Cdk6","ENSMUSG00000040274","CDK6","ENSG00000105810",1021,"CDK6","cyclin dependent kinase 6","No","Replicative","Inhibits",12082615,1,1
"Cdkn2a","ENSMUSG00000044303","CDKN2A","ENSG00000147889",1029,"CDKN2A","cyclin dependent kinase inhibitor 2A","No","Replicative","Induces",9607312,1,1
"Chaf1b","ENSMUSG00000022945","CHAF1B","ENSG00000159259",8208,"CHAF1B","chromatin assembly factor 1 subunit B","Yes","Oncogene-induced","Inhibits",28806777,1,1
"Ckap2","ENSMUSG00000037725","CKAP2","ENSG00000136108",26586,"CKAP2","cytoskeleton associated protein 2","No","Unclear","Inhibits",32264951,1,1
"Cpt1c","ENSMUSG00000007783","CPT1C","ENSG00000169169",126129,"CPT1C","carnitine palmitoyltransferase 1C","Yes","Unclear","Inhibits",30070697,1,1
"Crispld2","ENSMUSG00000031825","CRISPLD2","ENSG00000103196",83716,"CRISPLD2","cysteine rich secretory protein LCCL domain containing 2","No","Stress-induced","Inhibits",31219803,1,1
"Ect2","ENSMUSG00000027699","ECT2","ENSG00000114346",1894,"ECT2","epithelial cell transforming 2","Yes","Oncogene-induced","Inhibits",28806777,1,1
"Egfr","ENSMUSG00000020122","EGFR","ENSG00000146648",1956,"EGFR","epidermal growth factor receptor","Yes","Unclear","Inhibits",25504754,1,1
"Entpd7","ENSMUSG00000025192","ENTPD7","ENSG00000198018",57089,"ENTPD7","ectonucleoside triphosphate diphosphohydrolase 7","No","Oncogene-induced","Induces",27737960,1,1
"Epha3","ENSMUSG00000052504","EPHA3","ENSG00000044524",2042,"EPHA3","EPH receptor A3","Yes","Unclear","Inhibits",23324396,1,1
"Espl1","ENSMUSG00000058290","ESPL1","ENSG00000135476",9700,"ESPL1","extra spindle pole bodies like 1, separase","Yes","Oncogene-induced","Inhibits",28806777,1,1
"Esrrb","ENSMUSG00000021255","ESRRB","ENSG00000119715",2103,"ESRRB","estrogen related receptor beta","Yes","Stress-induced","Induces",25496115,1,1
"Fasn","ENSMUSG00000025153","FASN","ENSG00000169710",2194,"FASN","fatty acid synthase","No","Oncogene-induced","Induces",30962418,1,1
