"ortholog_name","input","input_number","input_ensg","ensg_number","ortholog_ensg","description","n_human_orthologs","n_mouse_inputs","Entrez ID","Gene symbol","Gene name","Cancer Cell","Type of senescence","Senescence Effect","Reference","human_gene","mouse_symbol","signature_direction","pig_ensg","pig_symbol","n_pig_orthologs","n_human_inputs","mapped_to_pig_strict_1to1","present_in_step16_counts","included_in_current78_pig_signature","used_for_step19_current78_score"
"ALDOA","Aldoa",206,"ENSMUSG00000030695","206.1.1","ENSG00000149925","aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]",1,1,226,"ALDOA","aldolase, fructose-bisphosphate A","Yes","Oncogene-induced","Inhibits",28806777,"ALDOA","Aldoa","Down_in_ACLR","ENSSSCG00000032556","ALDOA",1,1,TRUE,TRUE,TRUE,TRUE
"CBS","Cbs",257,"ENSMUSG00000024039","257.1.1","ENSG00000160200","cystathionine beta-synthase [Source:HGNC Symbol;Acc:HGNC:1550]",1,1,875,"CBS","cystathionine beta-synthase","No","Replicative","Inhibits",23117410,"CBS","Cbs","Down_in_ACLR","ENSSSCG00000040779","CBS",1,1,TRUE,TRUE,TRUE,TRUE
"ESRRB","Esrrb",152,"ENSMUSG00000021255","152.1.1","ENSG00000119715","estrogen related receptor beta [Source:HGNC Symbol;Acc:HGNC:3473]",1,1,2103,"ESRRB","estrogen related receptor beta","Yes","Stress-induced","Induces",25496115,"ESRRB","Esrrb","Down_in_ACLR","ENSSSCG00000002388","ESRRB",1,1,TRUE,TRUE,TRUE,TRUE
"FASN","Fasn",871,"ENSMUSG00000025153","871.1.1","ENSG00000169710","fatty acid synthase [Source:HGNC Symbol;Acc:HGNC:3594]",1,1,2194,"FASN","fatty acid synthase","No","Oncogene-induced","Induces",30962418,"FASN","Fasn","Down_in_ACLR","ENSSSCG00000029944","FASN",1,1,TRUE,TRUE,TRUE,TRUE
"ME1","Me1",526,"ENSMUSG00000032418","526.1.1","ENSG00000065833","malic enzyme 1 [Source:HGNC Symbol;Acc:HGNC:6983]",1,1,4199,"ME1","malic enzyme 1","Yes","Stress-induced","Inhibits",25994759,"ME1","Me1","Down_in_ACLR","ENSSSCG00000004454","ME1",1,1,TRUE,TRUE,TRUE,TRUE
"PON1","Pon1",96,"ENSMUSG00000002588","96.1.1","ENSG00000005421","paraoxonase 1 [Source:HGNC Symbol;Acc:HGNC:9204]",1,1,5444,"PON1","paraoxonase 1","No","Unclear","Inhibits",22897574,"PON1","Pon1","Down_in_ACLR","ENSSSCG00000015332","PON1",1,1,TRUE,TRUE,TRUE,TRUE
"PPARG","Pparg",1136,"ENSMUSG00000000440","1136.1.1","ENSG00000132170","peroxisome proliferator activated receptor gamma [Source:HGNC Symbol;Acc:HGNC:9236]",1,1,5468,"PPARG","peroxisome proliferator activated receptor gamma","No","Replicative","Induces",18544633,"PPARG","Pparg","Down_in_ACLR","ENSSSCG00000011579","PPARG",1,1,TRUE,TRUE,TRUE,TRUE
"PPARGC1A","Ppargc1a",968,"ENSMUSG00000029167","968.1.1","ENSG00000109819","PPARG coactivator 1 alpha [Source:HGNC Symbol;Acc:HGNC:9237]",1,1,10891,"PPARGC1A","PPARG coactivator 1 alpha","Yes","Stress-induced","Inhibits",26244551,"PPARGC1A","Ppargc1a","Down_in_ACLR","ENSSSCG00000029275","PPARGC1A",1,1,TRUE,TRUE,TRUE,TRUE
"PRKAA2","Prkaa2",170,"ENSMUSG00000028518","170.1.1","ENSG00000162409","protein kinase AMP-activated catalytic subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:9377]",1,1,5563,"PRKAA2","protein kinase AMP-activated catalytic subunit alpha 2","No","Stress-induced","Inhibits",26890602,"PRKAA2","Prkaa2","Down_in_ACLR","ENSSSCG00000036145","PRKAA2",1,1,TRUE,TRUE,TRUE,TRUE
"PRODH","Prodh",1358,"ENSMUSG00000003526","1358.1.1","ENSG00000100033","proline dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:9453]",1,1,5625,"PRODH","proline dehydrogenase 1","Yes","Unclear","Induces",27545311,"PRODH","Prodh","Down_in_ACLR","ENSSSCG00000033787","ENSSSCG00000033787",1,1,TRUE,TRUE,TRUE,TRUE
"ABI3BP","Abi3bp",1166,"ENSMUSG00000035258","1166.1.1","ENSG00000154175","ABI family member 3 binding protein [Source:HGNC Symbol;Acc:HGNC:17265]",1,1,25890,"ABI3BP","ABI family member 3 binding protein","Yes","Unclear","Induces",18559958,"ABI3BP","Abi3bp","Up_in_ACLR","ENSSSCG00000011959","ABI3BP",1,1,TRUE,TRUE,TRUE,TRUE
"AHR","Ahr",623,"ENSMUSG00000019256","623.1.1","ENSG00000106546","aryl hydrocarbon receptor [Source:HGNC Symbol;Acc:HGNC:348]",1,1,196,"AHR","aryl hydrocarbon receptor","No","Stress-induced","Induces",15111621,"AHR","Ahr","Up_in_ACLR","ENSSSCG00000030484","AHR",1,1,TRUE,TRUE,TRUE,TRUE
"BCL3","Bcl3",909,"ENSMUSG00000053175","909.1.1","ENSG00000069399","BCL3 transcription coactivator [Source:HGNC Symbol;Acc:HGNC:998]",1,1,602,"BCL3","BCL3 transcription coactivator","No","Unclear","Inhibits",25255445,"BCL3","Bcl3","Up_in_ACLR","ENSSSCG00000027426","BCL3",1,1,TRUE,TRUE,TRUE,TRUE
"BUB1","Bub1",524,"ENSMUSG00000027379","524.1.1","ENSG00000169679","BUB1 mitotic checkpoint serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1148]",1,1,699,"BUB1","BUB1 mitotic checkpoint serine/threonine kinase","No","Oncogene-induced","Inhibits",17488820,"BUB1","Bub1","Up_in_ACLR","ENSSSCG00000030469","BUB1",1,1,TRUE,TRUE,TRUE,TRUE
"CCNB1","Ccnb1",1060,"ENSMUSG00000041431","1060.1.1","ENSG00000134057","cyclin B1 [Source:HGNC Symbol;Acc:HGNC:1579]",1,1,891,"CCNB1","cyclin B1","Yes","Unclear","Inhibits",30069972,"CCNB1","Ccnb1","Up_in_ACLR","ENSSSCG00000029326","CCNB1",1,1,TRUE,TRUE,TRUE,TRUE
"CDK1","Cdk1",559,"ENSMUSG00000019942","559.1.1","ENSG00000170312","cyclin dependent kinase 1 [Source:HGNC Symbol;Acc:HGNC:1722]",1,1,983,"CDK1","cyclin dependent kinase 1","Yes","Unclear","Inhibits",23324396,"CDK1","Cdk1","Up_in_ACLR","ENSSSCG00000010214","CDK1",1,1,TRUE,TRUE,TRUE,TRUE
"CDK6","Cdk6",926,"ENSMUSG00000040274","926.1.1","ENSG00000105810","cyclin dependent kinase 6 [Source:HGNC Symbol;Acc:HGNC:1777]",1,1,1021,"CDK6","cyclin dependent kinase 6","No","Replicative","Inhibits",12082615,"CDK6","Cdk6","Up_in_ACLR","ENSSSCG00000040183","CDK6",1,1,TRUE,TRUE,TRUE,TRUE
"CDKN2A","Cdkn2a",389,"ENSMUSG00000044303","389.1.1","ENSG00000147889","cyclin dependent kinase inhibitor 2A [Source:HGNC Symbol;Acc:HGNC:1787]",1,1,1029,"CDKN2A","cyclin dependent kinase inhibitor 2A","No","Replicative","Induces",9607312,"CDKN2A","Cdkn2a","Up_in_ACLR","ENSSSCG00000005134","CDKN2A",1,1,TRUE,TRUE,TRUE,TRUE
"CHAF1B","Chaf1b",971,"ENSMUSG00000022945","971.1.1","ENSG00000159259","chromatin assembly factor 1 subunit B [Source:HGNC Symbol;Acc:HGNC:1911]",1,1,8208,"CHAF1B","chromatin assembly factor 1 subunit B","Yes","Oncogene-induced","Inhibits",28806777,"CHAF1B","Chaf1b","Up_in_ACLR","ENSSSCG00000012056","CHAF1B",1,1,TRUE,TRUE,TRUE,TRUE
"CKAP2","Ckap2",136,"ENSMUSG00000037725","136.1.1","ENSG00000136108","cytoskeleton associated protein 2 [Source:HGNC Symbol;Acc:HGNC:1990]",1,1,26586,"CKAP2","cytoskeleton associated protein 2","No","Unclear","Inhibits",32264951,"CKAP2","Ckap2","Up_in_ACLR","ENSSSCG00000009378","CKAP2",1,1,TRUE,TRUE,TRUE,TRUE
"CPT1C","Cpt1c",1284,"ENSMUSG00000007783","1284.1.1","ENSG00000169169","carnitine palmitoyltransferase 1C [Source:HGNC Symbol;Acc:HGNC:18540]",1,1,126129,"CPT1C","carnitine palmitoyltransferase 1C","Yes","Unclear","Inhibits",30070697,"CPT1C","Cpt1c","Up_in_ACLR","ENSSSCG00000024872","CPT1C",1,1,TRUE,TRUE,TRUE,TRUE
"CRISPLD2","Crispld2",131,"ENSMUSG00000031825","131.1.1","ENSG00000103196","cysteine rich secretory protein LCCL domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25248]",1,1,83716,"CRISPLD2","cysteine rich secretory protein LCCL domain containing 2","No","Stress-induced","Inhibits",31219803,"CRISPLD2","Crispld2","Up_in_ACLR","ENSSSCG00000002669","CRISPLD2",1,1,TRUE,TRUE,TRUE,TRUE
"ECT2","Ect2",343,"ENSMUSG00000027699","343.1.1","ENSG00000114346","epithelial cell transforming 2 [Source:HGNC Symbol;Acc:HGNC:3155]",1,1,1894,"ECT2","epithelial cell transforming 2","Yes","Oncogene-induced","Inhibits",28806777,"ECT2","Ect2","Up_in_ACLR","ENSSSCG00000035746","ECT2",1,1,TRUE,TRUE,TRUE,TRUE
"EGFR","Egfr",724,"ENSMUSG00000020122","724.1.1","ENSG00000146648","epidermal growth factor receptor [Source:HGNC Symbol;Acc:HGNC:3236]",1,1,1956,"EGFR","epidermal growth factor receptor","Yes","Unclear","Inhibits",25504754,"EGFR","Egfr","Up_in_ACLR","ENSSSCG00000022126","EGFR",1,1,TRUE,TRUE,TRUE,TRUE
"ENTPD7","Entpd7",795,"ENSMUSG00000025192","795.1.1","ENSG00000198018","ectonucleoside triphosphate diphosphohydrolase 7 [Source:HGNC Symbol;Acc:HGNC:19745]",1,1,57089,"ENTPD7","ectonucleoside triphosphate diphosphohydrolase 7","No","Oncogene-induced","Induces",27737960,"ENTPD7","Entpd7","Up_in_ACLR","ENSSSCG00000010540","ENTPD7",1,1,TRUE,TRUE,TRUE,TRUE
"EPHA3","Epha3",482,"ENSMUSG00000052504","482.1.1","ENSG00000044524","EPH receptor A3 [Source:HGNC Symbol;Acc:HGNC:3387]",1,1,2042,"EPHA3","EPH receptor A3","Yes","Unclear","Inhibits",23324396,"EPHA3","Epha3","Up_in_ACLR","ENSSSCG00000026130","EPHA3",1,1,TRUE,TRUE,TRUE,TRUE
"ESPL1","Espl1",1251,"ENSMUSG00000058290","1251.1.1","ENSG00000135476","extra spindle pole bodies like 1, separase [Source:HGNC Symbol;Acc:HGNC:16856]",1,1,9700,"ESPL1","extra spindle pole bodies like 1, separase","Yes","Oncogene-induced","Inhibits",28806777,"ESPL1","Espl1","Up_in_ACLR","ENSSSCG00000000265","ESPL1",1,1,TRUE,TRUE,TRUE,TRUE
"FOS","Fos",934,"ENSMUSG00000021250","934.1.1","ENSG00000170345","Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]",1,1,2353,"FOS","Fos proto-oncogene, AP-1 transcription factor subunit","No","Unclear","Inhibits",1560044,"FOS","Fos","Up_in_ACLR","ENSSSCG00000002383","FOS",1,1,TRUE,TRUE,TRUE,TRUE
"FOXD1","Foxd1",1104,"ENSMUSG00000078302","1104.1.1","ENSG00000251493","forkhead box D1 [Source:HGNC Symbol;Acc:HGNC:3802]",1,1,2297,"FOXD1","forkhead box D1","No","Replicative","Unclear",30933975,"FOXD1","Foxd1","Up_in_ACLR","ENSSSCG00000035878","FOXD1",1,1,TRUE,TRUE,TRUE,TRUE
"FOXM1","Foxm1",894,"ENSMUSG00000001517","894.1.1","ENSG00000111206","forkhead box M1 [Source:HGNC Symbol;Acc:HGNC:3818]",1,1,2305,"FOXM1","forkhead box M1","Yes","Unclear","Inhibits",25071344,"FOXM1","Foxm1","Up_in_ACLR","ENSSSCG00000000739","FOXM1",1,1,TRUE,TRUE,TRUE,TRUE
"GRN","Grn",637,"ENSMUSG00000034708","637.1.1","ENSG00000030582","granulin precursor [Source:HGNC Symbol;Acc:HGNC:4601]",1,1,2896,"GRN","granulin precursor","Yes","Unclear","Inhibits",26600492,"GRN","Grn","Up_in_ACLR","ENSSSCG00000017355","GRN",1,1,TRUE,TRUE,TRUE,TRUE
