"ortholog_name","input","input_number","input_ensg","ensg_number","ortholog_ensg","description","n_mouse_orthologs","n_human_inputs"
"Aak1","AAK1",1,"ENSG00000115977","1.1.1","ENSMUSG00000057230","AP2 associated kinase 1 [Source:MGI Symbol;Acc:MGI:1098687]",1,1
"Abcc6","ABCC6",3,"ENSG00000091262","3.1.1","ENSMUSG00000030834","ATP-binding cassette, sub-family C member 6 [Source:MGI Symbol;Acc:MGI:1351634]",1,1
"Abi3","ABI3",4,"ENSG00000108798","4.1.1","ENSMUSG00000018381","ABI family member 3 [Source:MGI Symbol;Acc:MGI:1913860]",1,1
"Abi3bp","ABI3BP",5,"ENSG00000154175","5.1.1","ENSMUSG00000035258","ABI family member 3 binding protein [Source:MGI Symbol;Acc:MGI:2444583]",1,1
"Acer2","ACER2",6,"ENSG00000177076","6.1.1","ENSMUSG00000038007","alkaline ceramidase 2 [Source:MGI Symbol;Acc:MGI:1920932]",1,1
"Ackr1","ACKR1",7,"ENSG00000213088","7.1.1","ENSMUSG00000037872","atypical chemokine receptor 1 (Duffy blood group) [Source:MGI Symbol;Acc:MGI:1097689]",1,1
"Acly","ACLY",8,"ENSG00000131473","8.1.1","ENSMUSG00000020917","ATP citrate lyase [Source:MGI Symbol;Acc:MGI:103251]",1,1
"Adck5","ADCK5",9,"ENSG00000173137","9.1.1","ENSMUSG00000022550","aarF domain containing kinase 5 [Source:MGI Symbol;Acc:MGI:2679274]",1,1
"Ago2","AGO2",10,"ENSG00000123908","10.1.1","ENSMUSG00000036698","argonaute RISC catalytic subunit 2 [Source:MGI Symbol;Acc:MGI:2446632]",1,1
"Agr2","AGR2",11,"ENSG00000106541","11.1.1","ENSMUSG00000020581","anterior gradient 2 [Source:MGI Symbol;Acc:MGI:1344405]",1,1
"Agt","AGT",12,"ENSG00000135744","12.1.1","ENSMUSG00000031980","angiotensinogen [Source:MGI Symbol;Acc:MGI:87963]",1,1
"Ahr","AHR",13,"ENSG00000106546","13.1.1","ENSMUSG00000019256","aryl-hydrocarbon receptor [Source:MGI Symbol;Acc:MGI:105043]",1,1
"Akap4","AKAP4",14,"ENSG00000147081","14.1.1","ENSMUSG00000050089","A kinase anchor protein 4 [Source:MGI Symbol;Acc:MGI:102794]",1,1
"Akr1b1","AKR1B1",15,"ENSG00000085662","15.1.1","ENSMUSG00000001642","aldo-keto reductase family 1 member B [Source:MGI Symbol;Acc:MGI:1353494]",1,1
"Akt1","AKT1",16,"ENSG00000142208","16.1.1","ENSMUSG00000001729","thymoma viral proto-oncogene 1 [Source:MGI Symbol;Acc:MGI:87986]",1,1
"Akt1s1","AKT1S1",17,"ENSG00000204673","17.1.1","ENSMUSG00000011096","AKT1 substrate 1 [Source:MGI Symbol;Acc:MGI:1914855]",1,1
"Akt3","AKT3",18,"ENSG00000117020","18.1.1","ENSMUSG00000019699","thymoma viral proto-oncogene 3 [Source:MGI Symbol;Acc:MGI:1345147]",1,1
"Aktip","AKTIP",19,"ENSG00000166971","19.1.1","ENSMUSG00000031667","AKT interacting protein [Source:MGI Symbol;Acc:MGI:3693832]",1,1
"Aldh2","ALDH2",20,"ENSG00000111275","20.1.1","ENSMUSG00000029455","aldehyde dehydrogenase 2, mitochondrial [Source:MGI Symbol;Acc:MGI:99600]",1,1
"Alkbh3","ALKBH3",22,"ENSG00000166199","22.1.1","ENSMUSG00000040174","alkB homolog 3, alpha-ketoglutarate-dependent dioxygenase [Source:MGI Symbol;Acc:MGI:1916363]",1,1
"Alox8","ALOX15B",23,"ENSG00000179593","23.1.1","ENSMUSG00000020891","arachidonate 8-lipoxygenase [Source:MGI Symbol;Acc:MGI:1098228]",1,1
