"input_number","input","input_ensg","ensg_number","ortholog_name","ortholog_ensg","description"
1,"Depdc1a","ENSMUSG00000028175","1.1.1","DEPDC1","ENSG00000024526","DEP domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22949]"
2,"Nfkbie","ENSMUSG00000023947","2.1.1","NFKBIE","ENSG00000146232","NFKB inhibitor epsilon [Source:HGNC Symbol;Acc:HGNC:7799]"
3,"Mest","ENSMUSG00000051855","3.1.1","MEST","ENSG00000106484","mesoderm specific transcript [Source:HGNC Symbol;Acc:HGNC:7028]"
4,"Stab1","ENSMUSG00000042286","4.1.1","STAB1","ENSG00000010327","stabilin 1 [Source:HGNC Symbol;Acc:HGNC:18628]"
5,"Mup16","ENSMUSG00000078675","5.1.1","N/A","N/A","N/A"
6,"Prkg2","ENSMUSG00000029334","6.1.1","PRKG2","ENSG00000138669","protein kinase cGMP-dependent 2 [Source:HGNC Symbol;Acc:HGNC:9416]"
7,"Ikbip","ENSMUSG00000019975","7.1.1","IKBIP","ENSG00000166130","IKBKB interacting protein [Source:HGNC Symbol;Acc:HGNC:26430]"
8,"Popdc2","ENSMUSG00000022803","8.1.1","POPDC2","ENSG00000121577","popeye domain containing 2 [Source:HGNC Symbol;Acc:HGNC:17648]"
9,"Acot4","ENSMUSG00000052392","9.1.1","ACOT4","ENSG00000177465","acyl-CoA thioesterase 4 [Source:HGNC Symbol;Acc:HGNC:19748]"
10,"Nat1","ENSMUSG00000025588","10.1.1","NAT2","ENSG00000156006","N-acetyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:7646]"
10,"Nat1","ENSMUSG00000025588","10.1.2","NAT1","ENSG00000171428","N-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:7645]"
11,"Bst1","ENSMUSG00000029082","11.1.1","BST1","ENSG00000109743","bone marrow stromal cell antigen 1 [Source:HGNC Symbol;Acc:HGNC:1118]"
12,"Ndrg4","ENSMUSG00000036564","12.1.1","NDRG4","ENSG00000103034","NDRG family member 4 [Source:HGNC Symbol;Acc:HGNC:14466]"
13,"Kcnab2","ENSMUSG00000028931","13.1.1","KCNAB2","ENSG00000069424","potassium voltage-gated channel subfamily A regulatory beta subunit 2 [Source:HGNC Symbol;Acc:HGNC:6229]"
14,"Col16a1","ENSMUSG00000040690","14.1.1","COL16A1","ENSG00000084636","collagen type XVI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2193]"
15,"Tvp23a","ENSMUSG00000050908","15.1.1","TVP23A","ENSG00000166676","trans-golgi network vesicle protein 23 homolog A [Source:HGNC Symbol;Acc:HGNC:20398]"
16,"Brinp3","ENSMUSG00000035131","16.1.1","BRINP3","ENSG00000162670","BMP/retinoic acid inducible neural specific 3 [Source:HGNC Symbol;Acc:HGNC:22393]"
