"pig_ensg","pig_symbol","human_gene","mouse_symbol","signature_direction","used_for_chronic_step2_score"
"ENSSSCG00000032556","ALDOA","ALDOA","Aldoa","Down_in_ACLR",TRUE
"ENSSSCG00000040779","CBS","CBS","Cbs","Down_in_ACLR",TRUE
"ENSSSCG00000002388","ESRRB","ESRRB","Esrrb","Down_in_ACLR",TRUE
"ENSSSCG00000029944","FASN","FASN","Fasn","Down_in_ACLR",TRUE
"ENSSSCG00000004454","ME1","ME1","Me1","Down_in_ACLR",TRUE
"ENSSSCG00000015332","PON1","PON1","Pon1","Down_in_ACLR",TRUE
"ENSSSCG00000011579","PPARG","PPARG","Pparg","Down_in_ACLR",TRUE
"ENSSSCG00000029275","PPARGC1A","PPARGC1A","Ppargc1a","Down_in_ACLR",TRUE
"ENSSSCG00000036145","PRKAA2","PRKAA2","Prkaa2","Down_in_ACLR",TRUE
"ENSSSCG00000033787","ENSSSCG00000033787","PRODH","Prodh","Down_in_ACLR",TRUE
"ENSSSCG00000011959","ABI3BP","ABI3BP","Abi3bp","Up_in_ACLR",TRUE
"ENSSSCG00000030484","AHR","AHR","Ahr","Up_in_ACLR",TRUE
"ENSSSCG00000027426","BCL3","BCL3","Bcl3","Up_in_ACLR",TRUE
"ENSSSCG00000030469","BUB1","BUB1","Bub1","Up_in_ACLR",TRUE
"ENSSSCG00000029326","CCNB1","CCNB1","Ccnb1","Up_in_ACLR",TRUE
"ENSSSCG00000010214","CDK1","CDK1","Cdk1","Up_in_ACLR",TRUE
"ENSSSCG00000040183","CDK6","CDK6","Cdk6","Up_in_ACLR",TRUE
"ENSSSCG00000005134","CDKN2A","CDKN2A","Cdkn2a","Up_in_ACLR",TRUE
"ENSSSCG00000012056","CHAF1B","CHAF1B","Chaf1b","Up_in_ACLR",TRUE
"ENSSSCG00000009378","CKAP2","CKAP2","Ckap2","Up_in_ACLR",TRUE
"ENSSSCG00000024872","CPT1C","CPT1C","Cpt1c","Up_in_ACLR",TRUE
"ENSSSCG00000002669","CRISPLD2","CRISPLD2","Crispld2","Up_in_ACLR",TRUE
"ENSSSCG00000035746","ECT2","ECT2","Ect2","Up_in_ACLR",TRUE
"ENSSSCG00000022126","EGFR","EGFR","Egfr","Up_in_ACLR",TRUE
"ENSSSCG00000010540","ENTPD7","ENTPD7","Entpd7","Up_in_ACLR",TRUE
"ENSSSCG00000026130","EPHA3","EPHA3","Epha3","Up_in_ACLR",TRUE
"ENSSSCG00000000265","ESPL1","ESPL1","Espl1","Up_in_ACLR",TRUE
"ENSSSCG00000002383","FOS","FOS","Fos","Up_in_ACLR",TRUE
"ENSSSCG00000035878","FOXD1","FOXD1","Foxd1","Up_in_ACLR",TRUE
"ENSSSCG00000000739","FOXM1","FOXM1","Foxm1","Up_in_ACLR",TRUE
"ENSSSCG00000017355","GRN","GRN","Grn","Up_in_ACLR",TRUE
"ENSSSCG00000000002","GTSE1","GTSE1","Gtse1","Up_in_ACLR",TRUE
"ENSSSCG00000003239","HAS1","HAS1","Has1","Up_in_ACLR",TRUE
"ENSSSCG00000005096","HIF1A","HIF1A","Hif1a","Up_in_ACLR",TRUE
"ENSSSCG00000010703","HTRA1","HTRA1","Htra1","Up_in_ACLR",TRUE
"ENSSSCG00000017306","ITGB3","ITGB3","Itgb3","Up_in_ACLR",TRUE
"ENSSSCG00000013735","JUNB","JUNB","Junb","Up_in_ACLR",TRUE
"ENSSSCG00000014326","KIF20A","KIF20A","Kif20a","Up_in_ACLR",TRUE
"ENSSSCG00000003931","KIF2C","KIF2C","Kif2c","Up_in_ACLR",TRUE
"ENSSSCG00000001510","KIFC1","KIFC1","Kifc1","Up_in_ACLR",TRUE
"ENSSSCG00000015022","LAYN","LAYN","Layn","Up_in_ACLR",TRUE
"ENSSSCG00000005055","LGALS3","LGALS3","Lgals3","Up_in_ACLR",TRUE
"ENSSSCG00000032269","LIMA1","LIMA1","Lima1","Up_in_ACLR",TRUE
"ENSSSCG00000006496","LMNA","LMNA","Lmna","Up_in_ACLR",TRUE
"ENSSSCG00000033608","LOXL2","LOXL2","Loxl2","Up_in_ACLR",TRUE
"ENSSSCG00000003756","LPAR3","LPAR3","Lpar3","Up_in_ACLR",TRUE
"ENSSSCG00000013260","MDK","MDK","Mdk","Up_in_ACLR",TRUE
"ENSSSCG00000012365","MSN","MSN","Msn","Up_in_ACLR",TRUE
"ENSSSCG00000015604","NEK2","NEK2","Nek2","Up_in_ACLR",TRUE
"ENSSSCG00000014927","NOX4","NOX4","Nox4","Up_in_ACLR",TRUE
"ENSSSCG00000023920","P3H1","P3H1","P3h1","Up_in_ACLR",TRUE
"ENSSSCG00000017991","PIK3R5","PIK3R5","Pik3r5","Up_in_ACLR",TRUE
"ENSSSCG00000061433","PITX1","PITX1","Pitx1","Up_in_ACLR",TRUE
"ENSSSCG00000026748","PLK1","PLK1","Plk1","Up_in_ACLR",TRUE
"ENSSSCG00000000217","RACGAP1","RACGAP1","Racgap1","Up_in_ACLR",TRUE
"ENSSSCG00000031970","RASSF5","RASSF5","Rassf5","Up_in_ACLR",TRUE
"ENSSSCG00000035537","RUNX1","RUNX1","Runx1","Up_in_ACLR",TRUE
"ENSSSCG00000008601","SDC1","SDC1","Sdc1","Up_in_ACLR",TRUE
"ENSSSCG00000025698","SERPINE1","SERPINE1","Serpine1","Up_in_ACLR",TRUE
"ENSSSCG00000025822","SFRP1","SFRP1","Sfrp1","Up_in_ACLR",TRUE
"ENSSSCG00000032613","SNAI1","SNAI1","Snai1","Up_in_ACLR",TRUE
"ENSSSCG00000027855","SOCS1","SOCS1","Socs1","Up_in_ACLR",TRUE
"ENSSSCG00000056309","SOX4","SOX4","Sox4","Up_in_ACLR",TRUE
"ENSSSCG00000017082","SPARC","SPARC","Sparc","Up_in_ACLR",TRUE
"ENSSSCG00000017178","SPHK1","SPHK1","Sphk1","Up_in_ACLR",TRUE
"ENSSSCG00000007334","SRC","SRC","Src","Up_in_ACLR",TRUE
"ENSSSCG00000010761","STK32C","STK32C","Stk32c","Up_in_ACLR",TRUE
"ENSSSCG00000035952","TGFB1I1","TGFB1I1","Tgfb1i1","Up_in_ACLR",TRUE
"ENSSSCG00000011226","TGFBR2","TGFBR2","Tgfbr2","Up_in_ACLR",TRUE
"ENSSSCG00000009002","TLR2","TLR2","Tlr2","Up_in_ACLR",TRUE
"ENSSSCG00000059646","TNFSF15","TNFSF15","Tnfsf15","Up_in_ACLR",TRUE
"ENSSSCG00000004466","TTK","TTK","Ttk","Up_in_ACLR",TRUE
"ENSSSCG00000014136","VCAN","VCAN","Vcan","Up_in_ACLR",TRUE
"ENSSSCG00000020864","VDR","VDR","Vdr","Up_in_ACLR",TRUE
"ENSSSCG00000016617","WNT16","WNT16","Wnt16","Up_in_ACLR",TRUE
