"mouse_symbol","human_symbol","CellAge_effect","ortholog_name","input_number","input_ensg","ensg_number","ortholog_ensg","description","n_mouse_orthologs","n_human_inputs","score_type","gene_id","source"
"Aak1","AAK1","Induces","Aak1",1,"ENSG00000115977","1.1.1","ENSMUSG00000057230","AP2 associated kinase 1 [Source:MGI Symbol;Acc:MGI:1098687]",1,1,"CellAge_induces","G10090_20435","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step07_strict_DEG_upset_persistent/step07_DE_4W_standardized.csv"
"Abcc6","ABCC6","Inhibits","Abcc6",3,"ENSG00000091262","3.1.1","ENSMUSG00000030834","ATP-binding cassette, sub-family C member 6 [Source:MGI Symbol;Acc:MGI:1351634]",1,1,"CellAge_inhibits","G10090_7229","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"Abi3","ABI3","Induces","Abi3",4,"ENSG00000108798","4.1.1","ENSMUSG00000018381","ABI family member 3 [Source:MGI Symbol;Acc:MGI:1913860]",1,1,"CellAge_induces","G10090_6078","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/00_raw_data/GSE271903/GSE271903_fpkm_matrix.xlsx"
"Abi3bp","ABI3BP","Induces","Abi3bp",5,"ENSG00000154175","5.1.1","ENSMUSG00000035258","ABI family member 3 binding protein [Source:MGI Symbol;Acc:MGI:2444583]",1,1,"CellAge_induces","G10090_5196","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/00_raw_data/GSE271903/GSE271903_count_matrix.xlsx"
"Acer2","ACER2","Inhibits","Acer2",6,"ENSG00000177076","6.1.1","ENSMUSG00000038007","alkaline ceramidase 2 [Source:MGI Symbol;Acc:MGI:1920932]",1,1,"CellAge_inhibits","G10090_1177","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/00_raw_data/GSE271903/GSE271903_count_matrix.xlsx"
"Ackr1","ACKR1","Induces","Ackr1",7,"ENSG00000213088","7.1.1","ENSMUSG00000037872","atypical chemokine receptor 1 (Duffy blood group) [Source:MGI Symbol;Acc:MGI:1097689]",1,1,"CellAge_induces","G10090_24170","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step07_strict_DEG_upset_persistent/step07_DE_4W_standardized.csv"
"Acly","ACLY","Inhibits","Acly",8,"ENSG00000131473","8.1.1","ENSMUSG00000020917","ATP citrate lyase [Source:MGI Symbol;Acc:MGI:103251]",1,1,"CellAge_inhibits","G10090_11159","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_st_gene_id_entrez_symbol_map.csv"
"Adck5","ADCK5","Induces","Adck5",9,"ENSG00000173137","9.1.1","ENSMUSG00000022550","aarF domain containing kinase 5 [Source:MGI Symbol;Acc:MGI:2679274]",1,1,"CellAge_induces","G10090_12960","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/00_raw_data/GSE271903/GSE271903_fpkm_matrix.xlsx"
"Ago2","AGO2","Inhibits","Ago2",10,"ENSG00000123908","10.1.1","ENSMUSG00000036698","argonaute RISC catalytic subunit 2 [Source:MGI Symbol;Acc:MGI:2446632]",1,1,"CellAge_inhibits","G10090_20475","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/00_raw_data/GSE271903/GSE271903_count_matrix.xlsx"
"Agr2","AGR2","Inhibits","Agr2",11,"ENSG00000106541","11.1.1","ENSMUSG00000020581","anterior gradient 2 [Source:MGI Symbol;Acc:MGI:1344405]",1,1,"CellAge_inhibits","G10090_30796","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_st_gene_id_entrez_symbol_map.csv"
"Agt","AGT","Induces","Agt",12,"ENSG00000135744","12.1.1","ENSMUSG00000031980","angiotensinogen [Source:MGI Symbol;Acc:MGI:87963]",1,1,"CellAge_induces","G10090_9881","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"Ahr","AHR","Induces","Ahr",13,"ENSG00000106546","13.1.1","ENSMUSG00000019256","aryl-hydrocarbon receptor [Source:MGI Symbol;Acc:MGI:105043]",1,1,"CellAge_induces","G10090_22453","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step07_strict_DEG_upset_persistent/step07_persistent_up_genes.csv"
"Akr1b1","AKR1B1","Inhibits","Akr1b1",15,"ENSG00000085662","15.1.1","ENSMUSG00000001642","aldo-keto reductase family 1 member B [Source:MGI Symbol;Acc:MGI:1353494]",1,1,"CellAge_inhibits","G10090_14922","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"Akt1","AKT1","Induces","Akt1",16,"ENSG00000142208","16.1.1","ENSMUSG00000001729","thymoma viral proto-oncogene 1 [Source:MGI Symbol;Acc:MGI:87986]",1,1,"CellAge_induces","G10090_12466","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/00_raw_data/GSE271903/GSE271903_fpkm_matrix.xlsx"
"Akt1s1","AKT1S1","Inhibits","Akt1s1",17,"ENSG00000204673","17.1.1","ENSMUSG00000011096","AKT1 substrate 1 [Source:MGI Symbol;Acc:MGI:1914855]",1,1,"CellAge_inhibits","G10090_13407","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/00_raw_data/GSE271903/GSE271903_count_matrix.xlsx"
"Akt3","AKT3","Inhibits","Akt3",18,"ENSG00000117020","18.1.1","ENSMUSG00000019699","thymoma viral proto-oncogene 3 [Source:MGI Symbol;Acc:MGI:1345147]",1,1,"CellAge_inhibits","G10090_2002","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"Aktip","AKTIP","Inhibits","Aktip",19,"ENSG00000166971","19.1.1","ENSMUSG00000031667","AKT interacting protein [Source:MGI Symbol;Acc:MGI:3693832]",1,1,"CellAge_inhibits","G10090_14075","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"Aldh2","ALDH2","Inhibits","Aldh2",20,"ENSG00000111275","20.1.1","ENSMUSG00000029455","aldehyde dehydrogenase 2, mitochondrial [Source:MGI Symbol;Acc:MGI:99600]",1,1,"CellAge_inhibits","G10090_22300","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/00_raw_data/GSE271903/GSE271903_count_matrix.xlsx"
"Alkbh3","ALKBH3","Inhibits","Alkbh3",22,"ENSG00000166199","22.1.1","ENSMUSG00000040174","alkB homolog 3, alpha-ketoglutarate-dependent dioxygenase [Source:MGI Symbol;Acc:MGI:1916363]",1,1,"CellAge_inhibits","G10090_7526","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"Alox8","ALOX15B","Induces","Alox8",23,"ENSG00000179593","23.1.1","ENSMUSG00000020891","arachidonate 8-lipoxygenase [Source:MGI Symbol;Acc:MGI:1098228]",1,1,"CellAge_induces","G10090_28097","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/00_raw_data/GSE271903/GSE271903_count_matrix.xlsx"
"Anapc1","ANAPC1","Inhibits","Anapc1",24,"ENSG00000153107","24.1.1","ENSMUSG00000014355","anaphase promoting complex subunit 1 [Source:MGI Symbol;Acc:MGI:103097]",1,1,"CellAge_inhibits","G10090_11674","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/00_raw_data/GSE271903/GSE271903_fpkm_matrix.xlsx"
"Anln","ANLN","Inhibits","Anln",25,"ENSG00000011426","25.1.1","ENSMUSG00000036777","anillin, actin binding protein [Source:MGI Symbol;Acc:MGI:1920174]",1,1,"CellAge_inhibits","G10090_658","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1E_4W_volcano_source_data.csv"
"Anxa5","ANXA5","Inhibits","Anxa5",26,"ENSG00000164111","26.1.1","ENSMUSG00000027712","annexin A5 [Source:MGI Symbol;Acc:MGI:106008]",1,1,"CellAge_inhibits","G10090_22802","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1E_4W_volcano_source_data.csv"
"Apex1","APEX1","Inhibits","Apex1",27,"ENSG00000100823","27.1.1","ENSMUSG00000035960","apurinic/apyrimidinic endonuclease 1 [Source:MGI Symbol;Acc:MGI:88042]",1,1,"CellAge_inhibits","G10090_32366","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/00_raw_data/GSE271903/GSE271903_fpkm_matrix.xlsx"
"Ar","AR","Induces","Ar",28,"ENSG00000169083","28.1.1","ENSMUSG00000046532","androgen receptor [Source:MGI Symbol;Acc:MGI:88064]",1,1,"CellAge_induces","G10090_33289","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step07_strict_DEG_upset_persistent/step07_DE_1W_standardized.csv"
"Arf1","ARF1","Induces","Arf1",29,"ENSG00000143761","29.1.1","ENSMUSG00000048076","ADP-ribosylation factor 1 [Source:MGI Symbol;Acc:MGI:99431]",1,1,"CellAge_induces","G10090_25510","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/00_raw_data/GSE271903/GSE271903_fpkm_matrix.xlsx"
"Arg2","ARG2","Induces","Arg2",30,"ENSG00000081181","30.1.1","ENSMUSG00000021125","arginase type II [Source:MGI Symbol;Acc:MGI:1330806]",1,1,"CellAge_induces","G10090_31218","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_st_gene_id_entrez_symbol_map.csv"
"Arid1a","ARID1A","Induces","Arid1a",31,"ENSG00000117713","31.1.1","ENSMUSG00000007880","AT-rich interaction domain 1A [Source:MGI Symbol;Acc:MGI:1935147]",1,1,"CellAge_induces","G10090_5241","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1E_4W_volcano_source_data.csv"
"Arid1b","ARID1B","Induces","Arid1b",32,"ENSG00000049618","32.1.1","ENSMUSG00000069729","AT-rich interaction domain 1B [Source:MGI Symbol;Acc:MGI:1926129]",1,1,"CellAge_induces","G10090_23700","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_st_gene_id_entrez_symbol_map.csv"
"Arid3a","ARID3A","Inhibits","Arid3a",33,"ENSG00000116017","33.1.1","ENSMUSG00000019564","AT-rich interaction domain 3A [Source:MGI Symbol;Acc:MGI:1328360]",1,1,"CellAge_inhibits","G10090_13932","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step07_strict_DEG_upset_persistent/step07_DE_1W_standardized.csv"
"Arid4b","ARID4B","Induces","Arid4b",34,"ENSG00000054267","34.1.1","ENSMUSG00000039219","AT-rich interaction domain 4B [Source:MGI Symbol;Acc:MGI:2137512]",1,1,"CellAge_induces","G10090_13311","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/00_raw_data/GSE271903/GSE271903_count_matrix.xlsx"
"Arrb1","ARRB1","Induces","Arrb1",36,"ENSG00000137486","36.1.1","ENSMUSG00000018909","arrestin, beta 1 [Source:MGI Symbol;Acc:MGI:99473]",1,1,"CellAge_induces","G10090_5922","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step07_strict_DEG_upset_persistent/step07_DE_1W_standardized.csv"
"Asah1","ASAH1","Inhibits","Asah1",37,"ENSG00000104763","37.1.1","ENSMUSG00000031591","N-acylsphingosine amidohydrolase 1 [Source:MGI Symbol;Acc:MGI:1277124]",1,1,"CellAge_inhibits","G10090_12730","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/00_raw_data/GSE271903/GSE271903_fpkm_matrix.xlsx"
"Asf1a","ASF1A","Induces","Asf1a",38,"ENSG00000111875","38.1.1","ENSMUSG00000019857","anti-silencing function 1A histone chaperone [Source:MGI Symbol;Acc:MGI:1913653]",1,1,"CellAge_induces","G10090_27312","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1E_4W_volcano_source_data.csv"
"Asph","ASPH","Inhibits","Asph",39,"ENSG00000198363","39.1.1","ENSMUSG00000028207","aspartate-beta-hydroxylase [Source:MGI Symbol;Acc:MGI:1914186]",1,1,"CellAge_inhibits","G10090_425","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1E_4W_volcano_source_data.csv"
"Asxl2","ASXL2","Induces","Asxl2",40,"ENSG00000143970","40.1.1","ENSMUSG00000037486","ASXL transcriptional regulator 2 [Source:MGI Symbol;Acc:MGI:1922552]",1,1,"CellAge_induces","G10090_1494","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_st_gene_id_entrez_symbol_map.csv"
"Atf3","ATF3","Inhibits","Atf3",41,"ENSG00000162772","41.1.1","ENSMUSG00000026628","activating transcription factor 3 [Source:MGI Symbol;Acc:MGI:109384]",1,1,"CellAge_inhibits","G10090_24085","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step07_strict_DEG_upset_persistent/step07_DE_1W_standardized.csv"
"Atf6","ATF6","Induces","Atf6",42,"ENSG00000118217","42.1.1","ENSMUSG00000026663","activating transcription factor 6 [Source:MGI Symbol;Acc:MGI:1926157]",1,1,"CellAge_induces","G10090_11446","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_st_gene_id_entrez_symbol_map.csv"
"Atf7ip","ATF7IP","Inhibits","Atf7ip",43,"ENSG00000171681","43.1.1","ENSMUSG00000030213","activating transcription factor 7 interacting protein [Source:MGI Symbol;Acc:MGI:1858965]",1,1,"CellAge_inhibits","G10090_10742","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1E_4W_volcano_source_data.csv"
"Atg10","ATG10","Induces","Atg10",44,"ENSG00000152348","44.1.1","ENSMUSG00000021619","autophagy related 10 [Source:MGI Symbol;Acc:MGI:1914045]",1,1,"CellAge_induces","G10090_7948","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1E_4W_volcano_source_data.csv"
"Atg12","ATG12","Inhibits","Atg12",45,"ENSG00000145782","45.1.1","ENSMUSG00000032905","autophagy related 12 [Source:MGI Symbol;Acc:MGI:1914776]",1,1,"CellAge_inhibits","G10090_14613","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_st_gene_id_entrez_symbol_map.csv"
"Atg16l1","ATG16L1","Unclear","Atg16l1",46,"ENSG00000085978","46.1.1","ENSMUSG00000026289","autophagy related 16 like 1 [Source:MGI Symbol;Acc:MGI:1924290]",1,1,"CellAge_all_only","G10090_13296","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_st_gene_id_entrez_symbol_map.csv"
"Atg4d","ATG4D","Inhibits","Atg4d",47,"ENSG00000130734","47.1.1","ENSMUSG00000002820","autophagy related 4D, cysteine peptidase [Source:MGI Symbol;Acc:MGI:2444308]",1,1,"CellAge_inhibits","G10090_18245","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step07_strict_DEG_upset_persistent/step07_DE_4W_standardized.csv"
"Atg5","ATG5","Inhibits","Atg5",48,"ENSG00000057663","48.1.1","ENSMUSG00000038160","autophagy related 5 [Source:MGI Symbol;Acc:MGI:1277186]",1,1,"CellAge_inhibits","G10090_19949","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1E_4W_volcano_source_data.csv"
"Atg7","ATG7","Inhibits","Atg7",49,"ENSG00000197548","49.1.1","ENSMUSG00000030314","autophagy related 7 [Source:MGI Symbol;Acc:MGI:1921494]",1,1,"CellAge_inhibits","G10090_9185","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/00_raw_data/GSE271903/GSE271903_fpkm_matrix.xlsx"
"Atm","ATM","Inhibits","Atm",50,"ENSG00000149311","50.1.1","ENSMUSG00000034218","ataxia telangiectasia mutated [Source:MGI Symbol;Acc:MGI:107202]",1,1,"CellAge_inhibits","G10090_13528","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step07_strict_DEG_upset_persistent/step07_DE_1W_standardized.csv"
"Atp6v0a2","ATP6V0A2","Inhibits","Atp6v0a2",51,"ENSG00000185344","51.1.1","ENSMUSG00000038023","ATPase, H+ transporting, lysosomal V0 subunit A2 [Source:MGI Symbol;Acc:MGI:104855]",1,1,"CellAge_inhibits","G10090_30074","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step07_strict_DEG_upset_persistent/step07_DE_1W_standardized.csv"
"Atp6v0c","ATP6V0C","Inhibits","Atp6v0c",52,"ENSG00000185883","52.1.1","ENSMUSG00000024121","ATPase, H+ transporting, lysosomal V0 subunit C [Source:MGI Symbol;Acc:MGI:88116]",1,1,"CellAge_inhibits","G10090_33273","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step07_strict_DEG_upset_persistent/step07_DE_1W_standardized.csv"
"Atr","ATR","Induces","Atr",53,"ENSG00000175054","53.1.1","ENSMUSG00000032409","ataxia telangiectasia and Rad3 related [Source:MGI Symbol;Acc:MGI:108028]",1,1,"CellAge_induces","G10090_6814","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/00_raw_data/GSE271903/GSE271903_count_matrix.xlsx"
"Atraid","ATRAID","Induces","Atraid",54,"ENSG00000138085","54.1.1","ENSMUSG00000013622","all-trans retinoic acid induced differentiation factor [Source:MGI Symbol;Acc:MGI:1918918]",1,1,"CellAge_induces","G10090_22884","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step07_strict_DEG_upset_persistent/step07_DE_4W_standardized.csv"
"Atrx","ATRX","Induces","Atrx",55,"ENSG00000085224","55.1.1","ENSMUSG00000031229","ATRX, chromatin remodeler [Source:MGI Symbol;Acc:MGI:103067]",1,1,"CellAge_induces","G10090_5213","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/00_raw_data/GSE271903/GSE271903_fpkm_matrix.xlsx"
"Atxn10","ATXN10","Induces","Atxn10",56,"ENSG00000130638","56.1.1","ENSMUSG00000016541","ataxin 10 [Source:MGI Symbol;Acc:MGI:1859293]",1,1,"CellAge_induces","G10090_16376","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1E_4W_volcano_source_data.csv"
"Aurka","AURKA","Inhibits","Aurka",57,"ENSG00000087586","57.1.1","ENSMUSG00000027496","aurora kinase A [Source:MGI Symbol;Acc:MGI:894678]",1,1,"CellAge_inhibits","G10090_12319","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step07_strict_DEG_upset_persistent/step07_DE_4W_standardized.csv"
"Aurkb","AURKB","Inhibits","Aurkb",58,"ENSG00000178999","58.1.1","ENSMUSG00000020897","aurora kinase B [Source:MGI Symbol;Acc:MGI:107168]",1,1,"CellAge_inhibits","G10090_8383","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step07_strict_DEG_upset_persistent/step07_strict_DEG_structure_gene_table.csv"
"Axl","AXL","Induces","Axl",59,"ENSG00000167601","59.1.1","ENSMUSG00000002602","AXL receptor tyrosine kinase [Source:MGI Symbol;Acc:MGI:1347244]",1,1,"CellAge_induces","G10090_964","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step07_strict_DEG_upset_persistent/step07_DE_4W_standardized.csv"
"Bag3","BAG3","Inhibits","Bag3",60,"ENSG00000151929","60.1.1","ENSMUSG00000030847","BCL2-associated athanogene 3 [Source:MGI Symbol;Acc:MGI:1352493]",1,1,"CellAge_inhibits","G10090_28755","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step07_strict_DEG_upset_persistent/step07_DE_1W_standardized.csv"
