"gene_id","GSM7140486_CON1_synovium","GSM7140487_ACLT1_synovium","GSM7140488_ACLT2_synovium","GSM7140489_ACLT3_synovium","GSM7140490_ACLT4_synovium","GSM7140491_CON2_synovium","GSM7140492_ACLT5_synovium","GSM7140493_ACLT6_synovium","GSM7140494_ACLT7_synovium","GSM7140495_CON3_synovium","GSM7140496_ACLT8_synovium","GSM7140497_ACLT9_synovium","GSM7140498_ACLT10_synovium","GSM7140499_ACLT11_synovium","GSM7140500_CON4_synovium","GSM7140501_ACLT12_synovium","GSM7140502_CON5_synovium","GSM7140503_RECON1_synovium","GSM7140504_RECON2_synovium","GSM7140505_RECON3_synovium","GSM7140506_RECON4_synovium","GSM7140507_CON6_synovium","GSM7140508_RECON5_synovium","GSM7140509_RECON6_synovium","GSM7140510_RECON7_synovium","GSM7140511_CON7_synovium","GSM7140512_RECON8_synovium","GSM7140513_RECON9_synovium","GSM7140514_RECON10_synovium","GSM7140515_RECON11_synovium","GSM7140516_CON8_synovium","GSM7140517_RECON12_synovium","GSM7140518_CON9_synovium","GSM7140519_REPAIR1_synovium","GSM7140520_REPAIR2_synovium","GSM7140521_REPAIR3_synovium","GSM7140522_REPAIR4_synovium","GSM7140523_CON10_synovium","GSM7140524_REPAIR5_synovium","GSM7140525_REPAIR6_synovium","GSM7140526_REPAIR7_synovium","GSM7140527_CON11_synovium","GSM7140528_REPAIR8_synovium","GSM7140529_REPAIR9_synovium","GSM7140530_REPAIR10_synovium","GSM7140531_REPAIR11_synovium","GSM7140532_CON12_synovium","GSM7140533_REPAIR12_synovium"
"ENSSSCG00000000002",0.316317,0.818194,0.370202,0.158019,1.422699,0.680578,0.689591,0.902465,0,1.186006,1.110602,0.665256,0.905603,0,0.671478,0.627226,0.155034,0.555855,0.733785,0.183889,0.776489,0.655532,0.298969,0.113219,0.355167,1.163245,1.115621,0.46641,0.767349,0.734082,0.20243,1.997501,0.528841,0.7939,0.824237,0.730687,0.789163,0.581192,0.169787,0.373039,1.38114,0.405606,0.352716,0.273855,1.719597,1.649476,0.395195,0.154344
"ENSSSCG00000000003",26.588923,21.051666,25.689646,13.751046,23.14152,21.764033,18.48819,16.108769,24.824347,29.966684,20.83413,18.18767,31.696554,12.884846,24.605795,18.619785,20.824274,21.88388,25.859213,21.317481,25.044602,23.942388,15.412763,14.119112,15.950113,32.085966,24.322322,23.095728,24.322163,27.460161,29.333827,27.897253,32.420986,27.126016,20.006515,24.703167,15.765691,32.882651,27.002463,16.791186,29.51474,18.010357,21.798809,22.449164,25.136394,21.778131,32.593859,16.98893
"ENSSSCG00000000005",5.930137,2.604414,5.925595,2.969822,3.935748,5.514977,2.825069,3.303723,4.520056,5.506349,4.003631,4.764868,6.41926,3.10785,5.774402,3.065077,3.163997,5.223208,4.350442,4.361577,5.822991,4.230549,1.817118,7.28988,3.477497,4.30209,4.371467,2.984715,3.750687,5.022989,6.684276,4.030424,4.373748,3.85017,6.13131,2.891827,2.991629,4.195483,5.72959,2.528786,7.282605,3.582382,3.110532,3.926026,3.212003,4.215317,5.447458,3.690296
"ENSSSCG00000000006",14.653554,10.088342,12.275399,8.355616,9.017177,8.663012,11.661236,8.978618,12.165674,10.47936,10.638345,12.067014,11.469782,6.2907,15.625163,8.350432,9.827683,10.451813,11.450895,10.503929,9.497455,12.582896,5.195835,12.100021,8.124145,10.279302,7.527774,9.078978,7.014574,13.965089,12.999117,7.83137,7.852105,9.335182,8.017298,10.659099,6.447729,7.708549,10.743495,4.396871,9.6195,6.096451,9.126292,9.099691,6.699162,9.678505,8.938308,6.419399
"ENSSSCG00000000007",10.111911,6.509994,12.169572,6.14774,9.166116,7.880591,10.751969,8.837896,7.437778,8.140831,8.592875,5.779333,13.963833,4.312406,9.726416,13.727445,4.2927,10.347022,7.495787,9.875589,9.682638,9.507579,7.450176,7.917936,7.025539,9.945124,9.378436,9.894806,5.621247,6.651469,11.427955,4.796201,6.72002,7.050508,9.45688,8.08783,6.792873,9.9973,8.119378,9.136576,8.503242,5.586645,8.782711,5.691262,9.079492,8.820417,11.890935,9.253272
"ENSSSCG00000000010",345.708274,23.369833,178.517225,114.581619,34.88662,328.745738,191.029418,156.49536,346.827376,128.300911,92.137827,422.713903,86.085278,257.548213,289.690952,102.372286,62.531397,266.203423,114.159668,65.095607,100.825504,147.370889,101.886844,132.830258,98.089018,393.549622,191.637689,73.419127,138.70916,88.214261,179.815876,262.305454,224.70926,70.13828,93.685406,69.426586,68.993968,106.177268,567.4173,136.061068,541.714218,140.685409,142.85704,110.766375,16.306239,121.892302,131.125031,69.600717
"ENSSSCG00000000014",20.501322,20.712385,21.697503,19.876181,19.024613,17.997015,20.298678,19.00007,17.672702,24.486135,19.404403,22.774186,23.473223,13.675706,20.842444,32.102233,16.903097,19.202545,22.645217,19.724637,18.418539,19.532147,17.56045,15.726398,11.02346,15.385225,22.49279,24.187904,13.944523,18.56025,24.626341,17.191948,17.676871,25.437342,15.906041,22.451026,21.549608,21.051204,16.647056,19.070314,21.136276,20.797915,21.172528,18.574837,20.012174,19.154907,24.187947,14.585927
"ENSSSCG00000000018",32.395293,36.845371,34.03461,36.80608,32.129874,33.177544,29.378257,32.270833,35.568138,38.139259,30.820847,44.841297,32.795798,27.233686,27.861471,31.711072,27.646078,37.674741,37.372865,40.829138,42.112194,34.183598,32.332824,36.676703,25.30353,32.998645,36.44217,42.237097,32.787071,33.486101,28.784832,26.692497,30.617754,37.295303,33.812096,37.09549,31.354899,30.441052,28.509061,35.121912,32.957538,24.815666,30.969585,29.052284,42.479663,30.13017,30.346031,29.035755
"ENSSSCG00000000019",49.395068,32.432725,36.143581,57.770305,41.879358,46.819144,40.211629,44.638386,40.434727,38.836858,41.974972,46.409451,42.598511,32.587826,39.858675,33.023575,54.023855,38.665249,44.437213,33.74598,40.000359,42.193741,48.443264,37.664201,41.307095,42.409303,39.668366,44.664472,47.890948,42.156436,44.917866,33.514981,39.518915,40.393763,35.752637,35.699447,42.488999,38.048861,40.213736,46.237706,40.702174,44.801414,40.933745,47.522193,48.318652,40.56854,47.35913,44.13723
"ENSSSCG00000000020",2.571806,1.163205,0.771833,0.946763,1.133618,0.683106,0.886579,0.630921,0.611003,2.327139,1.165903,0.578702,1.664465,0.320708,0.954436,0.065281,0.928145,0.611374,1.162555,0.575073,0.672483,1.70374,0.306715,0.871013,0.367426,1.233354,0.758488,0.757612,0.972134,1.994435,2.269771,0.726788,0.853057,1.491321,0.713772,0.767312,0.397082,1.84249,1.099065,1.171496,1.206784,0.100292,0.423905,0.294273,0.953456,1.500927,1.122634,1.519795
