"pig_ensg","human_gene","human_ensg","mouse_gene","mouse_persistent_direction","signature_direction","pig_gene","mapped_to_pig_strict_1to1","present_in_step16_counts","included_in_pig_signature","Gene.symbol","Gene.name","Type.of.senescence","Senescence.Effect","Reference","description","gene_name_t7","logFC_t7","logCPM_t7","PValue_t7","FDR_t7","gene_name_t28","logFC_t28","logCPM_t28","PValue_t28","FDR_t28","strict_t7","strict_t28","pig_up_t7","pig_down_t7","pig_up_t28","pig_down_t28","pig_up_both","pig_down_both","direction_consistent_mouse_pig","combined_abs_logFC"
"ENSSSCG00000030469","BUB1","ENSG00000169679","Bub1","Up_in_ACLR","Up_in_ACLR","BUB1",TRUE,TRUE,TRUE,"BUB1","BUB1 mitotic checkpoint serine/threonine kinase","Oncogene-induced","Inhibits",17488820,"BUB1 mitotic checkpoint serine/threonine kinase [Source:VGNC Symbol;Acc:VGNC:85918]","BUB1",3.87971042998679,3.42201776889013,2.9000541228609e-10,1.41340669234028e-07,"BUB1",2.45883014733721,2.15285436688943,1.14531135233229e-07,1.34545236581242e-05,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,6.338540577324
"ENSSSCG00000004466","TTK","ENSG00000112742","Ttk","Up_in_ACLR","Up_in_ACLR","TTK",TRUE,TRUE,TRUE,"TTK","TTK protein kinase","Unclear","Inhibits",27618777,"TTK protein kinase [Source:VGNC Symbol;Acc:VGNC:94565]","TTK",3.762634911504,2.4895161546253,4.48097488257195e-10,1.70667489086752e-07,"TTK",2.53557585115691,1.40858539522968,2.09721720963585e-07,1.80154818216694e-05,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,6.29821076266091
"ENSSSCG00000015604","NEK2","ENSG00000117650","Nek2","Up_in_ACLR","Up_in_ACLR","NEK2",TRUE,TRUE,TRUE,"NEK2","NIMA related kinase 2","Unclear","Inhibits",32264951,"NIMA related kinase 2 [Source:VGNC Symbol;Acc:VGNC:90675]","NEK2",3.85946410782591,3.01211298400048,4.21504919370578e-09,7.31619453341638e-07,"NEK2",2.37313673262235,1.70273110917028,9.85416109304074e-07,4.75786081464677e-05,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,6.23260084044826
"ENSSSCG00000014326","KIF20A","ENSG00000112984","Kif20a","Up_in_ACLR","Up_in_ACLR","KIF20A",TRUE,TRUE,TRUE,"KIF20A","kinesin family member 20A","Stress-induced","Inhibits",25961928,"kinesin family member 20A [Source:VGNC Symbol;Acc:VGNC:89462]","KIF20A",3.8700991239235,4.84430364446672,1.71356637131425e-10,1.21681225350676e-07,"KIF20A",2.2157709885697,3.36627252748219,7.45400401093191e-09,2.42713315254106e-06,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,6.0858701124932
"ENSSSCG00000029944","FASN","ENSG00000169710","Fasn","Down_in_ACLR","Down_in_ACLR","FASN",TRUE,TRUE,TRUE,"FASN","fatty acid synthase","Oncogene-induced","Induces",30962418,"fatty acid synthase [Source:NCBI gene (formerly Entrezgene);Acc:397561]","FASN",-2.11335923479361,6.85007656131596,5.02904199209958e-05,0.000494325653822882,"FASN",-3.93438919616112,6.61991877916273,2.01308609555798e-11,1.06091599449159e-07,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,6.04774843095473
"ENSSSCG00000029326","CCNB1","ENSG00000134057","Ccnb1","Up_in_ACLR","Up_in_ACLR","CCNB1",TRUE,TRUE,TRUE,"CCNB1","cyclin B1","Unclear","Inhibits",30069972,"cyclin B1 [Source:NCBI gene (formerly Entrezgene);Acc:397662]","CCNB1",3.80515840193898,4.09168979615291,2.19686834106411e-10,1.25322573506889e-07,"CCNB1",2.06775577525202,2.56529124055845,8.06521143734486e-08,1.03233083135308e-05,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,5.872914177191
"ENSSSCG00000000739","FOXM1","ENSG00000111206","Foxm1","Up_in_ACLR","Up_in_ACLR","FOXM1",TRUE,TRUE,TRUE,"FOXM1","forkhead box M1","Unclear","Inhibits",25071344,"forkhead box M1 [Source:VGNC Symbol;Acc:VGNC:88217]","FOXM1",3.53286352020827,2.18283199555846,7.30629426111683e-10,2.26066274387991e-07,"FOXM1",1.87395580781465,0.81036376585361,7.35201943777745e-07,4.00556327501011e-05,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,5.40681932802292
"ENSSSCG00000009378","CKAP2","ENSG00000136108","Ckap2","Up_in_ACLR","Up_in_ACLR","CKAP2",TRUE,TRUE,TRUE,"CKAP2","cytoskeleton associated protein 2","Unclear","Inhibits",32264951,"cytoskeleton associated protein 2 [Source:VGNC Symbol;Acc:VGNC:86714]","CKAP2",3.33635908990424,3.22131331736917,1.36615325465331e-09,3.24074321224677e-07,"CKAP2",1.99555379017516,2.07211573646855,1.62591962326033e-07,1.5817030540956e-05,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,5.3319128800794
"ENSSSCG00000010214","CDK1","ENSG00000170312","Cdk1","Up_in_ACLR","Up_in_ACLR","CDK1",TRUE,TRUE,TRUE,"CDK1","cyclin dependent kinase 1","Unclear","Inhibits",23324396,"cyclin dependent kinase 1 [Source:VGNC Symbol;Acc:VGNC:103917]","CDK1",3.17604242313264,3.22392267987498,3.7063373594473e-08,3.27654035012505e-06,"CDK1",2.05989073921791,2.26589304469723,2.19684479151996e-06,7.55721609573525e-05,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,5.23593316235055
"ENSSSCG00000003931","KIF2C","ENSG00000142945","Kif2c","Up_in_ACLR","Up_in_ACLR","KIF2C",TRUE,TRUE,TRUE,"KIF2C","kinesin family member 2C","Unclear","Inhibits",23098759,"kinesin family member 2C [Source:VGNC Symbol;Acc:VGNC:89469]","KIF2C",3.31221763120426,3.46309723677285,1.88083113729704e-10,1.21681225350676e-07,"KIF2C",1.72667551490605,2.12745746638549,2.35767952680722e-08,4.96274133919848e-06,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,5.03889314611031
