"human_gene","mouse_symbol","pig_ensg","pig_symbol","display_label","CellAgeEffect","MouseDirection","signature_direction"
"FASN","Fasn","ENSSSCG00000029944","FASN","FASN","Induces","mouse_persistent_down","Down_in_ACLR"
"PPARG","Pparg","ENSSSCG00000011579","PPARG","PPARG","Induces","mouse_persistent_down","Down_in_ACLR"
"CBS","Cbs","ENSSSCG00000040779","CBS","CBS","Inhibits","mouse_persistent_down","Down_in_ACLR"
"ENTPD7","Entpd7","ENSSSCG00000010540","ENTPD7","ENTPD7","Induces","mouse_persistent_up","Up_in_ACLR"
"HTRA1","Htra1","ENSSSCG00000010703","HTRA1","HTRA1","Induces","mouse_persistent_up","Up_in_ACLR"
"RUNX1","Runx1","ENSSSCG00000035537","RUNX1","RUNX1","Induces","mouse_persistent_up","Up_in_ACLR"
"SERPINE1","Serpine1","ENSSSCG00000025698","SERPINE1","SERPINE1","Induces","mouse_persistent_up","Up_in_ACLR"
"SPARC","Sparc","ENSSSCG00000017082","SPARC","SPARC","Induces","mouse_persistent_up","Up_in_ACLR"
"TNFSF15","Tnfsf15","ENSSSCG00000059646","TNFSF15","TNFSF15","Induces","mouse_persistent_up","Up_in_ACLR"
"BUB1","Bub1","ENSSSCG00000030469","BUB1","BUB1","Inhibits","mouse_persistent_up","Up_in_ACLR"
"CCNB1","Ccnb1","ENSSSCG00000029326","CCNB1","CCNB1","Inhibits","mouse_persistent_up","Up_in_ACLR"
"CDK1","Cdk1","ENSSSCG00000010214","CDK1","CDK1","Inhibits","mouse_persistent_up","Up_in_ACLR"
"CKAP2","Ckap2","ENSSSCG00000009378","CKAP2","CKAP2","Inhibits","mouse_persistent_up","Up_in_ACLR"
"ESPL1","Espl1","ENSSSCG00000000265","ESPL1","ESPL1","Inhibits","mouse_persistent_up","Up_in_ACLR"
"FOXM1","Foxm1","ENSSSCG00000000739","FOXM1","FOXM1","Inhibits","mouse_persistent_up","Up_in_ACLR"
"HIF1A","Hif1a","ENSSSCG00000005096","HIF1A","HIF1A","Inhibits","mouse_persistent_up","Up_in_ACLR"
"KIF20A","Kif20a","ENSSSCG00000014326","KIF20A","KIF20A","Inhibits","mouse_persistent_up","Up_in_ACLR"
"KIF2C","Kif2c","ENSSSCG00000003931","KIF2C","KIF2C","Inhibits","mouse_persistent_up","Up_in_ACLR"
"KIFC1","Kifc1","ENSSSCG00000001510","KIFC1","KIFC1","Inhibits","mouse_persistent_up","Up_in_ACLR"
"LOXL2","Loxl2","ENSSSCG00000033608","LOXL2","LOXL2","Inhibits","mouse_persistent_up","Up_in_ACLR"
"NEK2","Nek2","ENSSSCG00000015604","NEK2","NEK2","Inhibits","mouse_persistent_up","Up_in_ACLR"
"RACGAP1","Racgap1","ENSSSCG00000000217","RACGAP1","RACGAP1","Inhibits","mouse_persistent_up","Up_in_ACLR"
"SDC1","Sdc1","ENSSSCG00000008601","SDC1","SDC1","Inhibits","mouse_persistent_up","Up_in_ACLR"
"TTK","Ttk","ENSSSCG00000004466","TTK","TTK","Inhibits","mouse_persistent_up","Up_in_ACLR"
