"ortholog_name","input","input_number","input_ensg","ensg_number","ortholog_ensg","description","n_human_orthologs","n_mouse_inputs","Entrez ID","Gene symbol","Gene name","Cancer Cell","Type of senescence","Senescence Effect","Reference","human_gene","mouse_symbol","signature_direction","pig_ensg","pig_symbol","n_pig_orthologs","n_human_inputs","mapped_to_pig_strict_1to1","present_in_step16_counts","included_in_current78_pig_signature"
"ALDOA","Aldoa",206,"ENSMUSG00000030695","206.1.1","ENSG00000149925","aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]",1,1,226,"ALDOA","aldolase, fructose-bisphosphate A","Yes","Oncogene-induced","Inhibits",28806777,"ALDOA","Aldoa","Down_in_ACLR","ENSSSCG00000032556","ALDOA",1,1,TRUE,TRUE,TRUE
"CBS","Cbs",257,"ENSMUSG00000024039","257.1.1","ENSG00000160200","cystathionine beta-synthase [Source:HGNC Symbol;Acc:HGNC:1550]",1,1,875,"CBS","cystathionine beta-synthase","No","Replicative","Inhibits",23117410,"CBS","Cbs","Down_in_ACLR","ENSSSCG00000040779","CBS",1,1,TRUE,TRUE,TRUE
"ESRRB","Esrrb",152,"ENSMUSG00000021255","152.1.1","ENSG00000119715","estrogen related receptor beta [Source:HGNC Symbol;Acc:HGNC:3473]",1,1,2103,"ESRRB","estrogen related receptor beta","Yes","Stress-induced","Induces",25496115,"ESRRB","Esrrb","Down_in_ACLR","ENSSSCG00000002388","ESRRB",1,1,TRUE,TRUE,TRUE
"FASN","Fasn",871,"ENSMUSG00000025153","871.1.1","ENSG00000169710","fatty acid synthase [Source:HGNC Symbol;Acc:HGNC:3594]",1,1,2194,"FASN","fatty acid synthase","No","Oncogene-induced","Induces",30962418,"FASN","Fasn","Down_in_ACLR","ENSSSCG00000029944","FASN",1,1,TRUE,TRUE,TRUE
"ME1","Me1",526,"ENSMUSG00000032418","526.1.1","ENSG00000065833","malic enzyme 1 [Source:HGNC Symbol;Acc:HGNC:6983]",1,1,4199,"ME1","malic enzyme 1","Yes","Stress-induced","Inhibits",25994759,"ME1","Me1","Down_in_ACLR","ENSSSCG00000004454","ME1",1,1,TRUE,TRUE,TRUE
"PON1","Pon1",96,"ENSMUSG00000002588","96.1.1","ENSG00000005421","paraoxonase 1 [Source:HGNC Symbol;Acc:HGNC:9204]",1,1,5444,"PON1","paraoxonase 1","No","Unclear","Inhibits",22897574,"PON1","Pon1","Down_in_ACLR","ENSSSCG00000015332","PON1",1,1,TRUE,TRUE,TRUE
"PPARG","Pparg",1136,"ENSMUSG00000000440","1136.1.1","ENSG00000132170","peroxisome proliferator activated receptor gamma [Source:HGNC Symbol;Acc:HGNC:9236]",1,1,5468,"PPARG","peroxisome proliferator activated receptor gamma","No","Replicative","Induces",18544633,"PPARG","Pparg","Down_in_ACLR","ENSSSCG00000011579","PPARG",1,1,TRUE,TRUE,TRUE
"PPARGC1A","Ppargc1a",968,"ENSMUSG00000029167","968.1.1","ENSG00000109819","PPARG coactivator 1 alpha [Source:HGNC Symbol;Acc:HGNC:9237]",1,1,10891,"PPARGC1A","PPARG coactivator 1 alpha","Yes","Stress-induced","Inhibits",26244551,"PPARGC1A","Ppargc1a","Down_in_ACLR","ENSSSCG00000029275","PPARGC1A",1,1,TRUE,TRUE,TRUE
"PRKAA2","Prkaa2",170,"ENSMUSG00000028518","170.1.1","ENSG00000162409","protein kinase AMP-activated catalytic subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:9377]",1,1,5563,"PRKAA2","protein kinase AMP-activated catalytic subunit alpha 2","No","Stress-induced","Inhibits",26890602,"PRKAA2","Prkaa2","Down_in_ACLR","ENSSSCG00000036145","PRKAA2",1,1,TRUE,TRUE,TRUE
"PRODH","Prodh",1358,"ENSMUSG00000003526","1358.1.1","ENSG00000100033","proline dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:9453]",1,1,5625,"PRODH","proline dehydrogenase 1","Yes","Unclear","Induces",27545311,"PRODH","Prodh","Down_in_ACLR","ENSSSCG00000033787","ENSSSCG00000033787",1,1,TRUE,TRUE,TRUE
