"input","ortholog_name","input_ensg","ortholog_ensg"
"1190005I06Rik","C16orf74","ENSMUSG00000043687","ENSG00000154102"
"1700017B05Rik","C15orf39","ENSMUSG00000032300","ENSG00000167173"
"1700113H08Rik","C12orf42","ENSMUSG00000047129","ENSG00000179088"
"2010003K11Rik","C11orf86","ENSMUSG00000042041","ENSG00000173237"
"6430571L13Rik","C3orf18","ENSMUSG00000037977","ENSG00000088543"
"9330159F19Rik","KIAA0408","ENSMUSG00000004360","ENSG00000189367"
"A4galt","A4GALT","ENSMUSG00000047878","ENSG00000128274"
"A530016L24Rik","C14orf180","ENSMUSG00000043122","ENSG00000184601"
"AA467197","C15orf48","ENSMUSG00000033213","ENSG00000166920"
"Abcc3","ABCC3","ENSMUSG00000020865","ENSG00000108846"
"Abcd2","ABCD2","ENSMUSG00000055782","ENSG00000173208"
"Abhd2","ABHD2","ENSMUSG00000039202","ENSG00000140526"
"Abi3bp","ABI3BP","ENSMUSG00000035258","ENSG00000154175"
"Abr","ABR","ENSMUSG00000017631","ENSG00000159842"
"Abra","ABRA","ENSMUSG00000042895","ENSG00000174429"
"Acaa1b","ACAA1","ENSMUSG00000010651","ENSG00000060971"
"Acadm","ACADM","ENSMUSG00000062908","ENSG00000117054"
"Acan","ACAN","ENSMUSG00000030607","ENSG00000157766"
"Acot4","ACOT4","ENSMUSG00000052392","ENSG00000177465"
"Acsl1","ACSL1","ENSMUSG00000018796","ENSG00000151726"
"Acsl6","ACSL6","ENSMUSG00000020333","ENSG00000164398"
"Acsm3","ACSM3","ENSMUSG00000030935","ENSG00000005187"
"Acsm5","ACSM5","ENSMUSG00000030972","ENSG00000183549"
"Acss2","ACSS2","ENSMUSG00000027605","ENSG00000131069"
"Acss3","ACSS3","ENSMUSG00000035948","ENSG00000111058"
"Actg2","ACTG2","ENSMUSG00000059430","ENSG00000163017"
"Actn1","ACTN1","ENSMUSG00000015143","ENSG00000072110"
"Acvr1c","ACVR1C","ENSMUSG00000026834","ENSG00000123612"
"Acyp2","ACYP2","ENSMUSG00000060923","ENSG00000170634"
"Adam12","ADAM12","ENSMUSG00000054555","ENSG00000148848"
"Adamts14","ADAMTS14","ENSMUSG00000059901","ENSG00000138316"
"Adamts15","ADAMTS15","ENSMUSG00000033453","ENSG00000166106"
"Adamts16","ADAMTS16","ENSMUSG00000049538","ENSG00000145536"
"Adamts17","ADAMTS17","ENSMUSG00000058145","ENSG00000140470"
"Adamts18","ADAMTS18","ENSMUSG00000053399","ENSG00000140873"
"Adamts2","ADAMTS2","ENSMUSG00000036545","ENSG00000087116"
"Adamts4","ADAMTS4","ENSMUSG00000006403","ENSG00000158859"
"Adamts7","ADAMTS7","ENSMUSG00000032363","ENSG00000136378"
"Adcy7","ADCY7","ENSMUSG00000031659","ENSG00000121281"
"Adgra2","ADGRA2","ENSMUSG00000031486","ENSG00000020181"
"Adgre1","ADGRE1","ENSMUSG00000004730","ENSG00000174837"
"Adhfe1","ADHFE1","ENSMUSG00000025911","ENSG00000147576"
"Adig","ADIG","ENSMUSG00000044405","ENSG00000182035"
"Adipoq","ADIPOQ","ENSMUSG00000022878","ENSG00000181092"
"Adora1","ADORA1","ENSMUSG00000042429","ENSG00000163485"
"Adora3","ADORA3","ENSMUSG00000000562","ENSG00000282608"
"Adra1a","ADRA1A","ENSMUSG00000045875","ENSG00000120907"
"Adra2a","ADRA2A","ENSMUSG00000033717","ENSG00000150594"
"Adrb3","ADRB3","ENSMUSG00000031489","ENSG00000188778"
"Adtrp","ADTRP","ENSMUSG00000058022","ENSG00000111863"
"Aebp1","AEBP1","ENSMUSG00000020473","ENSG00000106624"
"Agbl2","AGBL2","ENSMUSG00000040812","ENSG00000165923"
"Agl","AGL","ENSMUSG00000033400","ENSG00000162688"
"Agpat2","AGPAT2","ENSMUSG00000026922","ENSG00000169692"
"Agpat4","AGPAT4","ENSMUSG00000023827","ENSG00000026652"
"Agtr2","AGTR2","ENSMUSG00000068122","ENSG00000180772"
"Ahnak2","AHNAK2","ENSMUSG00000118667","ENSG00000185567"
"Ahr","AHR","ENSMUSG00000019256","ENSG00000106546"
"AI593442","C11orf87","ENSMUSG00000078307","ENSG00000185742"
"AI661453","C6orf132","ENSMUSG00000034382","ENSG00000188112"
"Aif1","AIF1","ENSMUSG00000024397","ENSG00000204472"
"Ak5","AK5","ENSMUSG00000039058","ENSG00000154027"
"Akr1b8","AKR1B10","ENSMUSG00000029762","ENSG00000198074"
"Alas2","ALAS2","ENSMUSG00000025270","ENSG00000158578"
"Alb","ALB","ENSMUSG00000029368","ENSG00000163631"
"Aldh18a1","ALDH18A1","ENSMUSG00000025007","ENSG00000059573"
"Aldh1a2","ALDH1A2","ENSMUSG00000013584","ENSG00000128918"
"Aldh1a7","ALDH1A1","ENSMUSG00000024747","ENSG00000165092"
"Aldh3b2","ALDH3B2","ENSMUSG00000075296","ENSG00000132746"
"Aldh6a1","ALDH6A1","ENSMUSG00000021238","ENSG00000119711"
"Aldoa","ALDOA","ENSMUSG00000030695","ENSG00000149925"
"Alpk2","ALPK2","ENSMUSG00000032845","ENSG00000198796"
"Amd1","AMD1","ENSMUSG00000075232","ENSG00000123505"
"Ampd1","AMPD1","ENSMUSG00000070385","ENSG00000116748"
"Amz1","AMZ1","ENSMUSG00000050022","ENSG00000174945"
