"input_number","input","input_ensg","ensg_number","ortholog_name","ortholog_ensg","description"
1,"AAK1","ENSG00000115977","1.1.1","Aak1","ENSMUSG00000057230","AP2 associated kinase 1 [Source:MGI Symbol;Acc:MGI:1098687]"
2,"ABCB1","ENSG00000085563","2.1.1","Abcb1b","ENSMUSG00000028970","ATP-binding cassette, sub-family B member 1B [Source:MGI Symbol;Acc:MGI:97568]"
2,"ABCB1","ENSG00000085563","2.1.2","Abcb1a","ENSMUSG00000040584","ATP-binding cassette, sub-family B member 1A [Source:MGI Symbol;Acc:MGI:97570]"
3,"ABCC6","ENSG00000091262","3.1.1","Abcc6","ENSMUSG00000030834","ATP-binding cassette, sub-family C member 6 [Source:MGI Symbol;Acc:MGI:1351634]"
4,"ABI3","ENSG00000108798","4.1.1","Abi3","ENSMUSG00000018381","ABI family member 3 [Source:MGI Symbol;Acc:MGI:1913860]"
5,"ABI3BP","ENSG00000154175","5.1.1","Abi3bp","ENSMUSG00000035258","ABI family member 3 binding protein [Source:MGI Symbol;Acc:MGI:2444583]"
6,"ACER2","ENSG00000177076","6.1.1","Acer2","ENSMUSG00000038007","alkaline ceramidase 2 [Source:MGI Symbol;Acc:MGI:1920932]"
7,"ACKR1","ENSG00000213088","7.1.1","Ackr1","ENSMUSG00000037872","atypical chemokine receptor 1 (Duffy blood group) [Source:MGI Symbol;Acc:MGI:1097689]"
8,"ACLY","ENSG00000131473","8.1.1","Acly","ENSMUSG00000020917","ATP citrate lyase [Source:MGI Symbol;Acc:MGI:103251]"
9,"ADCK5","ENSG00000173137","9.1.1","Adck5","ENSMUSG00000022550","aarF domain containing kinase 5 [Source:MGI Symbol;Acc:MGI:2679274]"
10,"AGO2","ENSG00000123908","10.1.1","Ago2","ENSMUSG00000036698","argonaute RISC catalytic subunit 2 [Source:MGI Symbol;Acc:MGI:2446632]"
11,"AGR2","ENSG00000106541","11.1.1","Agr2","ENSMUSG00000020581","anterior gradient 2 [Source:MGI Symbol;Acc:MGI:1344405]"
12,"AGT","ENSG00000135744","12.1.1","Agt","ENSMUSG00000031980","angiotensinogen [Source:MGI Symbol;Acc:MGI:87963]"
13,"AHR","ENSG00000106546","13.1.1","Ahr","ENSMUSG00000019256","aryl-hydrocarbon receptor [Source:MGI Symbol;Acc:MGI:105043]"
14,"AKAP4","ENSG00000147081","14.1.1","Akap4","ENSMUSG00000050089","A kinase anchor protein 4 [Source:MGI Symbol;Acc:MGI:102794]"
15,"AKR1B1","ENSG00000085662","15.1.1","Akr1b1","ENSMUSG00000001642","aldo-keto reductase family 1 member B [Source:MGI Symbol;Acc:MGI:1353494]"
16,"AKT1","ENSG00000142208","16.1.1","Akt1","ENSMUSG00000001729","thymoma viral proto-oncogene 1 [Source:MGI Symbol;Acc:MGI:87986]"
17,"AKT1S1","ENSG00000204673","17.1.1","Akt1s1","ENSMUSG00000011096","AKT1 substrate 1 [Source:MGI Symbol;Acc:MGI:1914855]"
18,"AKT3","ENSG00000117020","18.1.1","Akt3","ENSMUSG00000019699","thymoma viral proto-oncogene 3 [Source:MGI Symbol;Acc:MGI:1345147]"
19,"AKTIP","ENSG00000166971","19.1.1","Aktip","ENSMUSG00000031667","AKT interacting protein [Source:MGI Symbol;Acc:MGI:3693832]"
20,"ALDH2","ENSG00000111275","20.1.1","Aldh2","ENSMUSG00000029455","aldehyde dehydrogenase 2, mitochondrial [Source:MGI Symbol;Acc:MGI:99600]"
21,"ALDOA","ENSG00000149925","21.1.1","Aldoa","ENSMUSG00000030695","aldolase A, fructose-bisphosphate [Source:MGI Symbol;Acc:MGI:87994]"
21,"ALDOA","ENSG00000149925","21.1.2","Aldoart1","ENSMUSG00000059343","aldolase 1 A, retrogene 1 [Source:MGI Symbol;Acc:MGI:2447811]"
21,"ALDOA","ENSG00000149925","21.1.3","Aldoart2","ENSMUSG00000063129","aldolase 1 A, retrogene 2 [Source:MGI Symbol;Acc:MGI:1931052]"
22,"ALKBH3","ENSG00000166199","22.1.1","Alkbh3","ENSMUSG00000040174","alkB homolog 3, alpha-ketoglutarate-dependent dioxygenase [Source:MGI Symbol;Acc:MGI:1916363]"
23,"ALOX15B","ENSG00000179593","23.1.1","Alox8","ENSMUSG00000020891","arachidonate 8-lipoxygenase [Source:MGI Symbol;Acc:MGI:1098228]"
24,"ANAPC1","ENSG00000153107","24.1.1","Anapc1","ENSMUSG00000014355","anaphase promoting complex subunit 1 [Source:MGI Symbol;Acc:MGI:103097]"
25,"ANLN","ENSG00000011426","25.1.1","Anln","ENSMUSG00000036777","anillin, actin binding protein [Source:MGI Symbol;Acc:MGI:1920174]"
26,"ANXA5","ENSG00000164111","26.1.1","Anxa5","ENSMUSG00000027712","annexin A5 [Source:MGI Symbol;Acc:MGI:106008]"
27,"APEX1","ENSG00000100823","27.1.1","Apex1","ENSMUSG00000035960","apurinic/apyrimidinic endonuclease 1 [Source:MGI Symbol;Acc:MGI:88042]"
28,"AR","ENSG00000169083","28.1.1","Ar","ENSMUSG00000046532","androgen receptor [Source:MGI Symbol;Acc:MGI:88064]"
29,"ARF1","ENSG00000143761","29.1.1","Arf1","ENSMUSG00000048076","ADP-ribosylation factor 1 [Source:MGI Symbol;Acc:MGI:99431]"
30,"ARG2","ENSG00000081181","30.1.1","Arg2","ENSMUSG00000021125","arginase type II [Source:MGI Symbol;Acc:MGI:1330806]"
31,"ARID1A","ENSG00000117713","31.1.1","Arid1a","ENSMUSG00000007880","AT-rich interaction domain 1A [Source:MGI Symbol;Acc:MGI:1935147]"
32,"ARID1B","ENSG00000049618","32.1.1","Arid1b","ENSMUSG00000069729","AT-rich interaction domain 1B [Source:MGI Symbol;Acc:MGI:1926129]"
33,"ARID3A","ENSG00000116017","33.1.1","Arid3a","ENSMUSG00000019564","AT-rich interaction domain 3A [Source:MGI Symbol;Acc:MGI:1328360]"
34,"ARID4B","ENSG00000054267","34.1.1","Arid4b","ENSMUSG00000039219","AT-rich interaction domain 4B [Source:MGI Symbol;Acc:MGI:2137512]"
35,"ARPC1B","ENSG00000130429","35.1.1","Arpc1b","ENSMUSG00000029622","actin related protein 2/3 complex, subunit 1B [Source:MGI Symbol;Acc:MGI:1343142]"
35,"ARPC1B","ENSG00000130429","35.1.2","ENSMUSG00000142832","ENSMUSG00000142832","novel protein similar to actin related protein 2/3 complex, subunit 1B Arpc1b"
36,"ARRB1","ENSG00000137486","36.1.1","Arrb1","ENSMUSG00000018909","arrestin, beta 1 [Source:MGI Symbol;Acc:MGI:99473]"
37,"ASAH1","ENSG00000104763","37.1.1","Asah1","ENSMUSG00000031591","N-acylsphingosine amidohydrolase 1 [Source:MGI Symbol;Acc:MGI:1277124]"
38,"ASF1A","ENSG00000111875","38.1.1","Asf1a","ENSMUSG00000019857","anti-silencing function 1A histone chaperone [Source:MGI Symbol;Acc:MGI:1913653]"
39,"ASPH","ENSG00000198363","39.1.1","Asph","ENSMUSG00000028207","aspartate-beta-hydroxylase [Source:MGI Symbol;Acc:MGI:1914186]"
40,"ASXL2","ENSG00000143970","40.1.1","Asxl2","ENSMUSG00000037486","ASXL transcriptional regulator 2 [Source:MGI Symbol;Acc:MGI:1922552]"
41,"ATF3","ENSG00000162772","41.1.1","Atf3","ENSMUSG00000026628","activating transcription factor 3 [Source:MGI Symbol;Acc:MGI:109384]"
42,"ATF6","ENSG00000118217","42.1.1","Atf6","ENSMUSG00000026663","activating transcription factor 6 [Source:MGI Symbol;Acc:MGI:1926157]"
43,"ATF7IP","ENSG00000171681","43.1.1","Atf7ip","ENSMUSG00000030213","activating transcription factor 7 interacting protein [Source:MGI Symbol;Acc:MGI:1858965]"
44,"ATG10","ENSG00000152348","44.1.1","Atg10","ENSMUSG00000021619","autophagy related 10 [Source:MGI Symbol;Acc:MGI:1914045]"
45,"ATG12","ENSG00000145782","45.1.1","Atg12","ENSMUSG00000032905","autophagy related 12 [Source:MGI Symbol;Acc:MGI:1914776]"
46,"ATG16L1","ENSG00000085978","46.1.1","Atg16l1","ENSMUSG00000026289","autophagy related 16 like 1 [Source:MGI Symbol;Acc:MGI:1924290]"
47,"ATG4D","ENSG00000130734","47.1.1","Atg4d","ENSMUSG00000002820","autophagy related 4D, cysteine peptidase [Source:MGI Symbol;Acc:MGI:2444308]"
48,"ATG5","ENSG00000057663","48.1.1","Atg5","ENSMUSG00000038160","autophagy related 5 [Source:MGI Symbol;Acc:MGI:1277186]"
