"mouse_symbol_clean","step07_row_id","mouse_symbol_raw","human_symbol_clean","has_valid_mouse_symbol","has_strict_1to1_human_ortholog","is_CellAge_overlap"
"Depdc1a",1,"Depdc1a","DEPDC1",TRUE,TRUE,FALSE
"Nfkbie",2,"Nfkbie","NFKBIE",TRUE,TRUE,FALSE
"Mest",3,"Mest","MEST",TRUE,TRUE,FALSE
"Stab1",4,"Stab1","STAB1",TRUE,TRUE,FALSE
"Prkg2",6,"Prkg2","PRKG2",TRUE,TRUE,FALSE
"Ikbip",7,"Ikbip","IKBIP",TRUE,TRUE,FALSE
"Popdc2",8,"Popdc2","POPDC2",TRUE,TRUE,FALSE
"Acot4",9,"Acot4","ACOT4",TRUE,TRUE,FALSE
"Bst1",11,"Bst1","BST1",TRUE,TRUE,FALSE
"Ndrg4",12,"Ndrg4","NDRG4",TRUE,TRUE,FALSE
"Kcnab2",13,"Kcnab2","KCNAB2",TRUE,TRUE,FALSE
"Col16a1",14,"Col16a1","COL16A1",TRUE,TRUE,FALSE
"Tvp23a",15,"Tvp23a","TVP23A",TRUE,TRUE,FALSE
"Brinp3",16,"Brinp3","BRINP3",TRUE,TRUE,FALSE
"Galnt10",17,"Galnt10","GALNT10",TRUE,TRUE,FALSE
"Pkp2",18,"Pkp2","PKP2",TRUE,TRUE,FALSE
"Gli2",19,"Gli2","GLI2",TRUE,TRUE,FALSE
"Inpp5j",20,"Inpp5j","INPP5J",TRUE,TRUE,FALSE
"Sncg",22,"Sncg","SNCG",TRUE,TRUE,FALSE
"Col23a1",23,"Col23a1","COL23A1",TRUE,TRUE,FALSE
"Jph1",24,"Jph1","JPH1",TRUE,TRUE,FALSE
"Adamts14",25,"Adamts14","ADAMTS14",TRUE,TRUE,FALSE
"Ube2ql1",26,"Ube2ql1","UBE2QL1",TRUE,TRUE,FALSE
"Ltbp2",27,"Ltbp2","LTBP2",TRUE,TRUE,FALSE
"Klf15",28,"Klf15","KLF15",TRUE,TRUE,FALSE
"Spdl1",29,"Spdl1","SPDL1",TRUE,TRUE,FALSE
"Marcksl1",30,"Marcksl1","MARCKSL1",TRUE,TRUE,FALSE
"Col26a1",31,"Col26a1","COL26A1",TRUE,TRUE,FALSE
"Gm17455",32,"Gm17455","C10orf105",TRUE,TRUE,FALSE
"Spata22",33,"Spata22","SPATA22",TRUE,TRUE,FALSE
"Echdc1",34,"Echdc1","ECHDC1",TRUE,TRUE,FALSE
"Nap1l5",35,"Nap1l5","NAP1L5",TRUE,TRUE,FALSE
"Ndufa4",36,"Ndufa4","NDUFA4",TRUE,TRUE,FALSE
"Tmem151a",37,"Tmem151a","TMEM151A",TRUE,TRUE,FALSE
"Dchs1",38,"Dchs1","DCHS1",TRUE,TRUE,FALSE
"Mex3b",39,"Mex3b","MEX3B",TRUE,TRUE,FALSE
"Plod2",40,"Plod2","PLOD2",TRUE,TRUE,FALSE
"Wdr93",41,"Wdr93","WDR93",TRUE,TRUE,FALSE
"Fndc1",42,"Fndc1","FNDC1",TRUE,TRUE,FALSE
"Islr",43,"Islr","ISLR",TRUE,TRUE,FALSE
"Hook1",45,"Hook1","HOOK1",TRUE,TRUE,FALSE
"Camkk1",46,"Camkk1","CAMKK1",TRUE,TRUE,FALSE
"Sh3bgr",47,"Sh3bgr","SH3BGR",TRUE,TRUE,FALSE
"Plin5",48,"Plin5","PLIN5",TRUE,TRUE,FALSE
"Apoo",49,"Apoo","APOO",TRUE,TRUE,FALSE
"Masp1",50,"Masp1","MASP1",TRUE,TRUE,FALSE
"Cnga3",51,"Cnga3","CNGA3",TRUE,TRUE,FALSE
