"gene_id","GSM7140486_CON1_synovium","GSM7140487_ACLT1_synovium","GSM7140488_ACLT2_synovium","GSM7140489_ACLT3_synovium","GSM7140490_ACLT4_synovium","GSM7140491_CON2_synovium","GSM7140492_ACLT5_synovium","GSM7140493_ACLT6_synovium","GSM7140494_ACLT7_synovium","GSM7140495_CON3_synovium","GSM7140496_ACLT8_synovium","GSM7140497_ACLT9_synovium","GSM7140498_ACLT10_synovium","GSM7140499_ACLT11_synovium","GSM7140500_CON4_synovium","GSM7140501_ACLT12_synovium","GSM7140502_CON5_synovium","GSM7140507_CON6_synovium","GSM7140511_CON7_synovium","GSM7140516_CON8_synovium","GSM7140518_CON9_synovium","GSM7140523_CON10_synovium","GSM7140527_CON11_synovium","GSM7140532_CON12_synovium"
"ENSSSCG00000000002",0.316317,0.818194,0.370202,0.158019,1.422699,0.680578,0.689591,0.902465,0,1.186006,1.110602,0.665256,0.905603,0,0.671478,0.627226,0.155034,0.655532,1.163245,0.20243,0.528841,0.581192,0.405606,0.395195
"ENSSSCG00000000003",26.588923,21.051666,25.689646,13.751046,23.14152,21.764033,18.48819,16.108769,24.824347,29.966684,20.83413,18.18767,31.696554,12.884846,24.605795,18.619785,20.824274,23.942388,32.085966,29.333827,32.420986,32.882651,18.010357,32.593859
"ENSSSCG00000000005",5.930137,2.604414,5.925595,2.969822,3.935748,5.514977,2.825069,3.303723,4.520056,5.506349,4.003631,4.764868,6.41926,3.10785,5.774402,3.065077,3.163997,4.230549,4.30209,6.684276,4.373748,4.195483,3.582382,5.447458
"ENSSSCG00000000006",14.653554,10.088342,12.275399,8.355616,9.017177,8.663012,11.661236,8.978618,12.165674,10.47936,10.638345,12.067014,11.469782,6.2907,15.625163,8.350432,9.827683,12.582896,10.279302,12.999117,7.852105,7.708549,6.096451,8.938308
"ENSSSCG00000000007",10.111911,6.509994,12.169572,6.14774,9.166116,7.880591,10.751969,8.837896,7.437778,8.140831,8.592875,5.779333,13.963833,4.312406,9.726416,13.727445,4.2927,9.507579,9.945124,11.427955,6.72002,9.9973,5.586645,11.890935
"ENSSSCG00000000010",345.708274,23.369833,178.517225,114.581619,34.88662,328.745738,191.029418,156.49536,346.827376,128.300911,92.137827,422.713903,86.085278,257.548213,289.690952,102.372286,62.531397,147.370889,393.549622,179.815876,224.70926,106.177268,140.685409,131.125031
"ENSSSCG00000000014",20.501322,20.712385,21.697503,19.876181,19.024613,17.997015,20.298678,19.00007,17.672702,24.486135,19.404403,22.774186,23.473223,13.675706,20.842444,32.102233,16.903097,19.532147,15.385225,24.626341,17.676871,21.051204,20.797915,24.187947
"ENSSSCG00000000018",32.395293,36.845371,34.03461,36.80608,32.129874,33.177544,29.378257,32.270833,35.568138,38.139259,30.820847,44.841297,32.795798,27.233686,27.861471,31.711072,27.646078,34.183598,32.998645,28.784832,30.617754,30.441052,24.815666,30.346031
"ENSSSCG00000000019",49.395068,32.432725,36.143581,57.770305,41.879358,46.819144,40.211629,44.638386,40.434727,38.836858,41.974972,46.409451,42.598511,32.587826,39.858675,33.023575,54.023855,42.193741,42.409303,44.917866,39.518915,38.048861,44.801414,47.35913
"ENSSSCG00000000020",2.571806,1.163205,0.771833,0.946763,1.133618,0.683106,0.886579,0.630921,0.611003,2.327139,1.165903,0.578702,1.664465,0.320708,0.954436,0.065281,0.928145,1.70374,1.233354,2.269771,0.853057,1.84249,0.100292,1.122634
"ENSSSCG00000000021",0.199243,0,0,0,0,0,0.250336,0.087148,0,0,0.09988,0,0.30474,0,0,0,0,0.076718,0.212944,0,0.39269,0.16038,0,0.246093
"ENSSSCG00000000022",26.871345,22.279062,23.416611,19.842021,17.975424,20.155443,16.225852,18.771335,27.056126,24.16386,22.30386,23.579463,31.076679,11.641055,22.497501,21.269616,16.137841,21.248031,24.818322,21.07872,20.670391,22.081685,13.340771,21.853133
"ENSSSCG00000000024",12.567142,6.92712,8.303565,8.518467,16.163307,13.718567,8.684813,16.121688,6.254708,10.042227,11.373484,10.380215,16.636672,4.139981,11.40942,10.748103,14.486827,15.329472,12.400962,13.994272,12.469729,19.167121,9.649903,12.69805
"ENSSSCG00000000025",11.606369,8.276481,5.505643,4.759643,10.524573,13.969574,10.642705,11.787114,4.079524,15.773057,9.830812,6.173427,12.288766,1.835298,14.062518,13.327949,12.953927,10.239919,17.725093,17.886735,17.549673,26.594264,8.333056,20.631246
"ENSSSCG00000000026",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSSSCG00000000028",0.858748,0,0,0,0,0.159347,0,0,0,0.146694,0,0,0,0,0.636742,0,0,0.170648,0.709042,0.145103,0.108588,0.207938,0,0.405297
"ENSSSCG00000000029",74.637377,3.18075,11.287348,5.202911,4.408233,52.904749,16.919326,19.224774,6.758168,102.838179,7.599169,17.968385,18.253055,2.421614,85.822742,17.531188,10.870472,45.985449,68.709173,61.926827,84.02142,84.778602,8.42676,66.571231
"ENSSSCG00000000031",3.698768,4.635399,4.662885,1.93692,5.419003,3.497117,2.690813,3.157068,6.366914,9.219691,3.882812,8.135473,24.57257,10.280302,5.375641,2.288674,4.708871,4.395652,3.601464,4.584394,4.464862,3.270429,5.881464,5.360196
"ENSSSCG00000000033",474.387393,309.406069,333.350336,327.642013,526.36964,418.7746,420.101131,417.633714,375.100238,449.048384,370.236449,435.859563,378.918577,373.455803,381.989396,383.484215,562.371607,455.464202,416.262289,393.852533,430.642697,464.36079,512.729458,498.103266
"ENSSSCG00000000034",62.516704,51.387336,52.86548,52.382374,50.509384,57.557231,43.674643,59.21483,73.808256,72.816796,48.472809,58.596595,65.074452,55.049734,46.060128,46.667419,45.201721,61.108756,61.680649,56.440064,47.42967,55.015118,46.172074,57.082827
"ENSSSCG00000000035",20.869591,19.494143,17.799656,20.953066,18.76666,16.760515,16.027021,21.337128,20.407655,20.239655,15.703483,19.290094,22.455227,15.735441,16.885799,21.244013,13.855182,20.483019,19.042874,17.419453,18.016926,20.08644,22.17489,15.321604
"ENSSSCG00000000036",63.923277,61.712295,68.176629,59.198895,58.837563,52.291163,57.948268,63.125427,64.516251,66.836254,70.157739,64.510303,75.452859,30.262187,53.237109,49.77733,47.88895,56.114214,58.191671,50.255241,58.203013,54.307818,45.613116,54.93165
"ENSSSCG00000000037",80.469003,80.047885,82.402578,78.635858,92.161643,86.795436,92.552415,96.540638,82.914575,81.777146,81.840241,88.328331,77.628635,69.630507,67.586232,69.83419,85.685299,87.822384,75.019585,95.496774,76.813773,85.237815,94.301877,82.598075
"ENSSSCG00000000038",402.712077,243.011086,292.174095,272.646168,292.604614,288.270427,337.989633,324.135154,526.237057,341.406587,263.41495,446.413095,267.863724,270.178883,333.726602,251.979211,392.398851,267.387321,289.293804,284.15824,246.76357,229.980031,263.019206,221.354222
"ENSSSCG00000000039",77.718154,69.870357,66.907349,68.909471,67.711901,65.166956,66.714187,67.795798,77.551165,76.015206,70.800631,74.62838,82.526307,48.991991,66.756716,70.167645,59.05684,80.477809,66.648551,78.96006,66.261714,73.124841,56.531745,70.955208
"ENSSSCG00000000040",0.915448,0.483646,1.463125,1.315215,0.40223,0.298163,0.100278,0.183025,0.178593,0.292243,0.327789,0.746425,1.05919,0.091937,0.196327,1.256712,0,0.526211,0.423338,0.654579,0.679048,0.491362,0.188456,1.310254
"ENSSSCG00000000045",25.654419,20.408559,19.742501,20.15232,26.536645,18.055141,19.057395,23.999242,26.203588,23.867748,20.371208,32.106288,16.961495,28.66723,19.810841,21.480347,27.236489,29.665575,23.948697,20.017261,22.175231,16.136974,24.306038,21.10485
"ENSSSCG00000000046",1.884475,1.987877,2.21776,0.06593,1.086339,0.576716,1.408714,0.497694,1.479504,3.039527,0.878729,1.286568,2.46111,0.606712,1.085532,1.713982,1.31244,1.245111,1.756048,1.599204,2.557892,1.325409,1.663591,2.699898
"ENSSSCG00000000050",83.964771,59.559889,60.009627,52.501892,72.77384,75.030479,53.481902,62.155239,51.296749,85.664815,62.513076,50.614858,91.632051,34.818273,55.039096,63.879929,57.888449,71.470144,81.880764,72.54168,93.193332,102.776039,63.048469,87.424478
"ENSSSCG00000000058",129.777768,112.704721,119.138536,136.02455,138.200184,133.933348,134.249791,120.189834,143.198361,123.313063,105.400158,142.936266,130.553968,162.953968,109.960334,103.197002,140.301231,132.535294,126.903152,127.140954,111.896493,114.583771,140.267108,125.503304
"ENSSSCG00000000059",26.957806,20.774461,21.263926,17.34053,27.189723,23.032151,21.780021,23.242775,18.967281,31.101391,20.51206,23.254106,23.279301,20.595831,23.408174,19.103553,21.463233,25.13893,27.418563,26.755314,26.21683,26.60342,22.808281,26.067903
"ENSSSCG00000000061",16.279464,16.19814,13.925926,10.709449,12.416867,14.067701,13.546318,14.487018,12.191663,15.267255,13.928968,14.184824,18.838269,8.725847,15.602843,8.181205,14.68071,13.850181,13.756156,13.184853,10.545138,13.502533,10.630256,11.082757
"ENSSSCG00000000062",9.825705,3.59359,4.892329,5.874905,2.340005,5.387765,6.028288,5.524123,6.606206,4.5183,5.11821,8.507869,3.949826,7.92108,7.338728,5.076182,4.442758,3.480775,4.435919,4.774049,3.629665,3.469425,2.905178,1.803324
"ENSSSCG00000000063",8.941537,5.656932,4.7303,5.326301,4.210735,8.82323,5.343291,4.682445,7.320708,7.520261,5.457698,7.848298,6.862128,4.387662,5.720139,4.991407,4.554588,7.168569,5.20825,4.648943,6.046825,5.624796,3.951715,7.195732
"ENSSSCG00000000064",61.61365,52.573464,56.64598,48.115635,52.777861,59.566561,50.387335,55.68043,62.593133,61.882783,50.198763,63.532758,65.425914,43.053229,53.807418,55.350302,54.431443,60.470525,59.586782,43.968356,53.544998,54.608941,55.814595,49.377834
"ENSSSCG00000000066",12.388098,8.06011,9.776518,7.65154,9.376945,10.023264,7.975683,9.400201,8.502447,11.469973,7.641769,11.061524,10.472037,6.397339,9.12961,9.555782,7.528661,10.12993,9.240205,10.694073,7.415296,8.986334,6.652617,10.356043
"ENSSSCG00000000067",1.454272,1.219727,0.324608,0,0.785425,0.59857,0.810488,0.090932,0.104982,0.877692,0.544399,0.90739,1.463695,1.132917,0.281451,0.973217,0.155589,0.791053,1.090327,1.322191,0.637511,2.548372,0.455343,1.710395
"ENSSSCG00000000068",70.207302,55.8693,59.973202,57.978289,50.210094,57.708754,53.919913,49.001974,68.676138,64.304983,55.510565,61.752778,80.413788,47.3275,53.840213,53.287611,49.242661,57.54447,59.723576,56.877567,54.49788,64.257303,41.076954,61.346819
"ENSSSCG00000000071",224.638049,183.168964,241.911335,233.474414,229.976603,245.08157,212.268954,222.874351,240.854489,256.717389,221.136854,245.155894,232.827565,224.146577,228.226751,232.873711,252.466294,263.892793,268.953062,251.622105,262.697082,228.280098,204.851,283.262681
"ENSSSCG00000000072",51.551849,45.486313,41.15166,46.538113,53.433635,54.60163,45.354552,47.370614,36.835152,42.674395,41.362925,35.022971,49.078247,35.986795,30.302035,41.881387,47.395747,64.245623,45.680922,46.257317,50.495969,50.458219,49.960971,52.48966
"ENSSSCG00000000074",1.768357,1.637747,0.492919,0.558124,0.717936,1.321062,1.032365,0.754706,0.265069,0.840362,0.417357,1.042805,1.252165,0,0,1.680755,0.098347,0.156624,0.437548,0,1.003545,0.287391,3.305385,0
"ENSSSCG00000000075",39.258411,26.052684,27.421666,18.706347,19.731897,28.704407,20.091529,21.510008,37.33457,34.9844,19.456892,25.386342,34.176205,16.427539,25.664508,22.750932,19.912974,25.149054,26.670209,27.486002,24.095266,30.043948,15.853887,25.010242
