"GeneID","Chr","Start","End","Strand","Length"
"ENSSSCG00000028996","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","226161299;226163350;226163350;226163353;226163354;226169657;226169657;226169657;226169657;226169657;226173705;226173705;226173705;226173705;226173705;226177224;226177224;226177224;226177224;226180385;226180385;226180385;226180385;226180385;226180507;226182205;226182205;226182205;226182205;226182205;226187468;226187468;226187468;226187468;226187538;226188008;226188815;226188838;226188838;226188838;226188838;226188838;226190318;226190318;226190318;226190318;226190318;226190318;226190318;226192221;226192221;226192221;226192221;226192221;226192221;226192221;226194517;226194517;226194517;226194517;226194517;226194517;226202702;226202702;226202702;226202702;226202702;226202702;226202702;226217188;226217188;226217188;226217188;226217188;226217188;226217188","226163945;226163945;226163945;226163945;226163945;226169731;226169731;226169731;226169731;226169731;226173862;226177388;226173862;226173862;226173862;226177388;226177388;226177388;226177388;226180569;226180569;226180569;226180569;226180569;226180522;226182307;226182307;226182307;226182307;226182307;226187581;226187581;226187581;226187581;226187581;226188035;226188966;226188966;226188966;226188966;226188966;226188966;226190379;226190379;226190379;226190379;226190379;226190379;226190379;226192350;226192350;226192350;226192350;226192350;226192350;226192350;226194657;226194657;226194657;226194657;226194657;226194657;226202806;226202806;226202806;226202806;226202806;226202806;226202806;226217306;226217308;226217306;226217298;226217291;226217308;226217308","-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-",7547
"ENSSSCG00000005267","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","226414306;226414307;226420267;226420267;226420436;226420436;226421074;226421074;226422264;226422264;226422800;226422800;226424456;226424456;226424728;226424728;226426065;226426065;226427002;226427002;226428178;226428178;226430328;226431612;226431612","226414368;226414368;226420343;226420343;226420544;226420544;226421168;226421168;226422377;226422377;226422890;226422890;226424535;226424535;226424784;226424784;226426158;226426158;226427097;226427097;226428236;226430450;226430450;226432279;226431962","+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+",3817
"ENSSSCG00000005268","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","227574648;227574992;227575871;227685491;227694207;227706805;227706805;227706805;227706805;227711713;227711713;227711713;227711713;227718779;227718779;227718779;227718779;227735762;227735762;227735762;227735762;227737217;227737217;227737217;227737217;227740225;227740225;227740225;227740225;227746796;227746796;227746796;227746796;227750222;227750222;227750222;227750222;227769542;227769542;227769542;227769542","227575354;227575354;227576570;227685554;227694533;227706890;227706890;227706890;227706890;227711854;227711854;227711854;227711854;227719180;227719180;227719180;227719180;227735883;227735883;227735883;227735883;227737349;227737349;227737349;227737349;227740332;227740332;227740332;227740332;227746906;227746906;227746906;227746906;227750334;227750334;227750334;227750334;227772671;227772671;227772671;227772671","+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+",6145
"ENSSSCG00000005269","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","227811204;227811204;227811233;227811233;227814626;227814626;227820993;227820993;227828076;227828076;227829027;227829027;227829368;227829368;227831500;227831500;227833023;227833023;227836160;227836160;227837681;227837681;227837697;227837697;227839458;227839458;227843734;227843734;227848407;227848407;227848665;227848665;227856934;227856934;227860878;227860878;227866026;227866026;227866614;227866614;227867960;227867960;227869887;227869887;227873289;227873289;227877766;227877766;227882873;227882873;227884405;227884405;227887000;227887000;227889244;227889244;227892377;227892377;227893482;227893482;227894886;227894886;227895102;227895102;227897450;227897450;227899405;227899405;227907643;227907656;227907670;227907677;227907677;227918274;227918274;227918274;227923679;227923679;227923679;227928431;227928431;227928431;227929595;227929595;227929595;227932408;227932408;227932408;227962485;227963072;227963072","227811204;227811204;227811374;227811374;227814732;227814732;227821044;227821044;227828281;227828281;227829109;227829109;227829654;227829654;227831565;227831565;227833073;227833073;227836185;227836185;227837694;227837694;227837738;227837738;227839549;227839549;227843857;227843857;227848519;227848519;227849797;227849797;227857066;227857066;227861071;227861071;227866140;227866140;227866788;227866788;227868211;227868211;227870015;227870015;227873435;227873435;227877918;227877918;227883101;227883101;227884685;227884685;227887092;227887092;227889384;227889384;227892430;227892430;227893616;227893616;227894986;227894986;227895174;227895174;227897573;227897573;227899573;227899573;227907654;227907668;227907848;227907848;227907848;227918398;227918398;227918398;227923892;227923892;227923892;227928608;227928608;227928608;227929633;227929633;227929633;227932487;227932487;227932487;227962758;227963309;227963309","-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-",6589
"ENSSSCG00000031382","1;1;1","228033996;228037714;228044567","228034973;228040103;228045013","-;-;-",3815
"ENSSSCG00000005271","1;1;1;1;1;1;1;1","228054915;228058249;228063646;228066063;228067227;228081962;228082948;228091798","228057551;228058352;228063759;228066241;228067367;228082125;228083143;228092263","-;-;-;-;-;-;-;-",4001
"ENSSSCG00000005272","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","228113327;228113327;228119842;228119842;228121654;228121654;228123311;228123459;228123459;228130828;228130828;228131166;228131166;228136237;228136237;228141654;228141654","228113906;228113906;228119925;228119925;228121760;228121760;228123382;228123606;228123606;228130876;228130876;228131256;228131256;228136290;228136290;228141890;228141890","-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-",1422
"ENSSSCG00000005273","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","228142041;228142050;228142249;228169283;228169333;228175004;228175004;228178146;228178146;228178146;228178146;228178222;228179870;228179870;228179870;228179870;228179870;228182051;228182051;228182051;228182051;228182051;228183297;228183297;228183297;228183297;228183297;228186935;228186935;228186935;228186935;228186935;228190860;228190860;228190860;228190860;228190860;228196268;228196268;228196268;228196268;228196268","228142389;228142389;228142434;228169329;228169401;228175054;228175054;228178209;228178209;228178209;228178209;228178382;228179923;228179923;228179923;228179923;228179923;228182158;228182158;228182158;228182158;228182158;228183346;228183346;228183346;228183346;228183346;228187013;228187013;228187013;228187013;228187013;228190958;228190958;228190958;228190958;228190958;228197035;228197035;228197035;228197035;228196800","+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+",1944
"ENSSSCG00000045514","1;1","228530439;228532174","228532074;228533349","+;+",2812
"ENSSSCG00000023520","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","228854595;228854640;228854640;228855003;228855003;228855039;228855039;228898654;228898654;228898654;228898654;228898654;228943722;228943722;228943722;228943722;228943722;228980934;228980934;228980934;228980934;228980934;228986085;228986085;228986085;228986085;228986085;229022737;229022737;229022737;229022737;229022737;229026368;229026368;229026368;229026368;229026368;229048837;229048837;229048837;229048837;229048837;229060298;229060298;229060298;229060298;229060298;229088513;229088513;229088513;229088513;229088513;229113433;229113433;229113433;229113433;229113433;229115343;229115343;229115343;229115343;229115343;229128095;229128095;229128095;229128095;229128095;229140624;229140624;229140624;229140624;229140624;229140787;229144766;229144766;229144766;229144766;229146164;229146164;229146164;229146164;229149985;229149985;229149985;229153889;229153889;229153889;229153896;229154404;229154404;229154404;229154404;229154965;229154965;229154965;229154965;229158259;229158259;229203985;229203985;229210863;229210863;229216527;229216527;229217949;229217949;229255994;229255994;229259462;229259462;229260976;229260976;229266143;229269483;229269483;229271050;229271050;229275861;229275861;229277417;229277417;229281416;229281416;229283778;229283778;229288248;229288248;229299436;229299436;229301963;229301963;229306302;229306302","228855305;228854744;228854744;228855305;228855305;228855305;228855305;228898758;228898758;228898758;228898758;228898758;228943835;228943835;228943835;228943835;228943835;228981077;228981077;228981077;228981077;228981077;228986161;228986161;228986161;228986161;228986161;229022825;229022825;229022825;229022825;229022825;229026540;229026540;229026540;229026540;229026540;229049049;229049049;229049049;229049049;229049049;229060398;229060398;229060398;229060398;229060398;229088616;229088616;229088616;229088616;229088616;229113550;229113550;229113550;229113550;229113550;229115531;229115531;229115531;229115531;229115531;229128231;229128231;229128231;229128231;229128231;229140767;229140767;229140767;229140767;229140784;229140834;229144868;229144868;229144868;229144868;229146357;229146357;229146332;229146357;229150069;229150069;229150069;229153986;229153986;229153986;229153986;229154533;229154533;229154533;229154533;229155080;229155080;229155080;229155080;229158428;229158426;229204087;229204087;229210999;229210999;229216733;229216733;229218017;229218017;229256036;229256036;229259598;229259598;229261176;229261176;229266223;229269566;229269566;229271245;229271245;229276078;229276078;229277653;229277653;229281646;229281646;229283955;229283955;229288465;229288465;229299536;229299536;229302149;229302149;229308906;229308906","+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+",8613
