"human_gene","mouse_symbol","pig_ensg","pig_symbol","signature_direction"
"ALDOA","Aldoa","ENSSSCG00000032556","ALDOA","Down_in_ACLR"
"CBS","Cbs","ENSSSCG00000040779","CBS","Down_in_ACLR"
"ESRRB","Esrrb","ENSSSCG00000002388","ESRRB","Down_in_ACLR"
"FASN","Fasn","ENSSSCG00000029944","FASN","Down_in_ACLR"
"ME1","Me1","ENSSSCG00000004454","ME1","Down_in_ACLR"
"PON1","Pon1","ENSSSCG00000015332","PON1","Down_in_ACLR"
"PPARG","Pparg","ENSSSCG00000011579","PPARG","Down_in_ACLR"
"PPARGC1A","Ppargc1a","ENSSSCG00000029275","PPARGC1A","Down_in_ACLR"
"PRKAA2","Prkaa2","ENSSSCG00000036145","PRKAA2","Down_in_ACLR"
"PRODH","Prodh","ENSSSCG00000033787","ENSSSCG00000033787","Down_in_ACLR"
"ABI3BP","Abi3bp","ENSSSCG00000011959","ABI3BP","Up_in_ACLR"
"AHR","Ahr","ENSSSCG00000030484","AHR","Up_in_ACLR"
"BCL3","Bcl3","ENSSSCG00000027426","BCL3","Up_in_ACLR"
"BUB1","Bub1","ENSSSCG00000030469","BUB1","Up_in_ACLR"
"CCNB1","Ccnb1","ENSSSCG00000029326","CCNB1","Up_in_ACLR"
"CDK1","Cdk1","ENSSSCG00000010214","CDK1","Up_in_ACLR"
"CDK6","Cdk6","ENSSSCG00000040183","CDK6","Up_in_ACLR"
"CDKN2A","Cdkn2a","ENSSSCG00000005134","CDKN2A","Up_in_ACLR"
"CHAF1B","Chaf1b","ENSSSCG00000012056","CHAF1B","Up_in_ACLR"
"CKAP2","Ckap2","ENSSSCG00000009378","CKAP2","Up_in_ACLR"
"CPT1C","Cpt1c","ENSSSCG00000024872","CPT1C","Up_in_ACLR"
"CRISPLD2","Crispld2","ENSSSCG00000002669","CRISPLD2","Up_in_ACLR"
"ECT2","Ect2","ENSSSCG00000035746","ECT2","Up_in_ACLR"
"EGFR","Egfr","ENSSSCG00000022126","EGFR","Up_in_ACLR"
"ENTPD7","Entpd7","ENSSSCG00000010540","ENTPD7","Up_in_ACLR"
"EPHA3","Epha3","ENSSSCG00000026130","EPHA3","Up_in_ACLR"
"ESPL1","Espl1","ENSSSCG00000000265","ESPL1","Up_in_ACLR"
"FOS","Fos","ENSSSCG00000002383","FOS","Up_in_ACLR"
"FOXD1","Foxd1","ENSSSCG00000035878","FOXD1","Up_in_ACLR"
"FOXM1","Foxm1","ENSSSCG00000000739","FOXM1","Up_in_ACLR"
"GRN","Grn","ENSSSCG00000017355","GRN","Up_in_ACLR"
"GTSE1","Gtse1","ENSSSCG00000000002","GTSE1","Up_in_ACLR"
"HAS1","Has1","ENSSSCG00000003239","HAS1","Up_in_ACLR"
"HIF1A","Hif1a","ENSSSCG00000005096","HIF1A","Up_in_ACLR"
"HTRA1","Htra1","ENSSSCG00000010703","HTRA1","Up_in_ACLR"
"ITGB3","Itgb3","ENSSSCG00000017306","ITGB3","Up_in_ACLR"
"JUNB","Junb","ENSSSCG00000013735","JUNB","Up_in_ACLR"
"KIF20A","Kif20a","ENSSSCG00000014326","KIF20A","Up_in_ACLR"
"KIF2C","Kif2c","ENSSSCG00000003931","KIF2C","Up_in_ACLR"
"KIFC1","Kifc1","ENSSSCG00000001510","KIFC1","Up_in_ACLR"
"LAYN","Layn","ENSSSCG00000015022","LAYN","Up_in_ACLR"
"LGALS3","Lgals3","ENSSSCG00000005055","LGALS3","Up_in_ACLR"
"LIMA1","Lima1","ENSSSCG00000032269","LIMA1","Up_in_ACLR"
"LMNA","Lmna","ENSSSCG00000006496","LMNA","Up_in_ACLR"
"LOXL2","Loxl2","ENSSSCG00000033608","LOXL2","Up_in_ACLR"
"LPAR3","Lpar3","ENSSSCG00000003756","LPAR3","Up_in_ACLR"
"MDK","Mdk","ENSSSCG00000013260","MDK","Up_in_ACLR"
"MSN","Msn","ENSSSCG00000012365","MSN","Up_in_ACLR"
"NEK2","Nek2","ENSSSCG00000015604","NEK2","Up_in_ACLR"
"NOX4","Nox4","ENSSSCG00000014927","NOX4","Up_in_ACLR"
"P3H1","P3h1","ENSSSCG00000023920","P3H1","Up_in_ACLR"
