"ortholog_name","input","input_number","input_ensg","ensg_number","ortholog_ensg","description","n_human_orthologs","n_mouse_inputs"
"C16orf74","1190005I06Rik",784,"ENSMUSG00000043687","784.1.1","ENSG00000154102","chromosome 16 open reading frame 74 [Source:HGNC Symbol;Acc:HGNC:23362]",1,1
"C15orf39","1700017B05Rik",900,"ENSMUSG00000032300","900.1.1","ENSG00000167173","chromosome 15 open reading frame 39 [Source:HGNC Symbol;Acc:HGNC:24497]",1,1
"C12orf42","1700113H08Rik",1282,"ENSMUSG00000047129","1282.1.1","ENSG00000179088","chromosome 12 open reading frame 42 [Source:HGNC Symbol;Acc:HGNC:24729]",1,1
"C11orf86","2010003K11Rik",685,"ENSMUSG00000042041","685.1.1","ENSG00000173237","chromosome 11 open reading frame 86 [Source:HGNC Symbol;Acc:HGNC:34442]",1,1
"N/A","2310002L09Rik",1279,"ENSMUSG00000028396","1279.1.1","N/A","N/A",1,75
"N/A","2610524H06Rik",560,"ENSMUSG00000072694","560.1.1","N/A","N/A",1,75
"N/A","4930434J08Rik",1186,"ENSMUSG00000120343","1186.1.1","N/A","N/A",1,75
"N/A","5730507C01Rik",1293,"ENSMUSG00000073197","1293.1.1","N/A","N/A",1,75
"C3orf18","6430571L13Rik",228,"ENSMUSG00000037977","228.1.1","ENSG00000088543","chromosome 3 open reading frame 18 [Source:HGNC Symbol;Acc:HGNC:24837]",1,1
"KIAA0408","9330159F19Rik",1388,"ENSMUSG00000004360","1388.1.1","ENSG00000189367","KIAA0408 [Source:HGNC Symbol;Acc:HGNC:21636]",1,1
"A4GALT","A4galt",1234,"ENSMUSG00000047878","1234.1.1","ENSG00000128274","alpha 1,4-galactosyltransferase (P1PK blood group) [Source:HGNC Symbol;Acc:HGNC:18149]",1,1
"C14orf180","A530016L24Rik",1392,"ENSMUSG00000043122","1392.1.1","ENSG00000184601","chromosome 14 open reading frame 180 [Source:HGNC Symbol;Acc:HGNC:33795]",1,1
"N/A","A630001G21Rik",1203,"ENSMUSG00000052760","1203.1.1","N/A","N/A",1,75
"N/A","AA414768",839,"ENSMUSG00000083307","839.1.1","N/A","N/A",1,75
"C15orf48","AA467197",518,"ENSMUSG00000033213","518.1.1","ENSG00000166920","chromosome 15 open reading frame 48 [Source:HGNC Symbol;Acc:HGNC:29898]",1,1
"ABCC3","Abcc3",1345,"ENSMUSG00000020865","1345.1.1","ENSG00000108846","ATP binding cassette subfamily C member 3 [Source:HGNC Symbol;Acc:HGNC:54]",1,1
"ABCD2","Abcd2",243,"ENSMUSG00000055782","243.1.1","ENSG00000173208","ATP binding cassette subfamily D member 2 [Source:HGNC Symbol;Acc:HGNC:66]",1,1
"ABHD2","Abhd2",1012,"ENSMUSG00000039202","1012.1.1","ENSG00000140526","abhydrolase domain containing 2, acylglycerol lipase [Source:HGNC Symbol;Acc:HGNC:18717]",1,1
"ABI3BP","Abi3bp",1166,"ENSMUSG00000035258","1166.1.1","ENSG00000154175","ABI family member 3 binding protein [Source:HGNC Symbol;Acc:HGNC:17265]",1,1
"ABR","Abr",589,"ENSMUSG00000017631","589.1.1","ENSG00000159842","ABR activator of RhoGEF and GTPase [Source:HGNC Symbol;Acc:HGNC:81]",1,1
"ABRA","Abra",754,"ENSMUSG00000042895","754.1.1","ENSG00000174429","actin binding Rho activating protein [Source:HGNC Symbol;Acc:HGNC:30655]",1,1
"ACAA1","Acaa1b",229,"ENSMUSG00000010651","229.1.1","ENSG00000060971","acetyl-CoA acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:82]",1,1
"ACADM","Acadm",125,"ENSMUSG00000062908","125.1.1","ENSG00000117054","acyl-CoA dehydrogenase medium chain [Source:HGNC Symbol;Acc:HGNC:89]",1,1
"ACAN","Acan",462,"ENSMUSG00000030607","462.1.1","ENSG00000157766","aggrecan [Source:HGNC Symbol;Acc:HGNC:319]",1,1
"ACOT4","Acot4",9,"ENSMUSG00000052392","9.1.1","ENSG00000177465","acyl-CoA thioesterase 4 [Source:HGNC Symbol;Acc:HGNC:19748]",1,1
"ACSL1","Acsl1",1170,"ENSMUSG00000018796","1170.1.1","ENSG00000151726","acyl-CoA synthetase long chain family member 1 [Source:HGNC Symbol;Acc:HGNC:3569]",1,1
"ACSL6","Acsl6",1123,"ENSMUSG00000020333","1123.1.1","ENSG00000164398","acyl-CoA synthetase long chain family member 6 [Source:HGNC Symbol;Acc:HGNC:16496]",1,1
"ACSM3","Acsm3",1108,"ENSMUSG00000030935","1108.1.1","ENSG00000005187","acyl-CoA synthetase medium chain family member 3 [Source:HGNC Symbol;Acc:HGNC:10522]",1,1
"ACSM5","Acsm5",313,"ENSMUSG00000030972","313.1.1","ENSG00000183549","acyl-CoA synthetase medium chain family member 5 [Source:HGNC Symbol;Acc:HGNC:26060]",1,1
