"human_symbol","CellAge_effect","ortholog_name","input_number","input_ensg","ensg_number","ortholog_ensg","description","n_mouse_orthologs","n_human_inputs","mouse_symbol","score_type"
"AAK1","Induces","Aak1",1,"ENSG00000115977","1.1.1","ENSMUSG00000057230","AP2 associated kinase 1 [Source:MGI Symbol;Acc:MGI:1098687]",1,1,"Aak1","CellAge_induces"
"ABCC6","Inhibits","Abcc6",3,"ENSG00000091262","3.1.1","ENSMUSG00000030834","ATP-binding cassette, sub-family C member 6 [Source:MGI Symbol;Acc:MGI:1351634]",1,1,"Abcc6","CellAge_inhibits"
"ABI3","Induces","Abi3",4,"ENSG00000108798","4.1.1","ENSMUSG00000018381","ABI family member 3 [Source:MGI Symbol;Acc:MGI:1913860]",1,1,"Abi3","CellAge_induces"
"ABI3BP","Induces","Abi3bp",5,"ENSG00000154175","5.1.1","ENSMUSG00000035258","ABI family member 3 binding protein [Source:MGI Symbol;Acc:MGI:2444583]",1,1,"Abi3bp","CellAge_induces"
"ACER2","Inhibits","Acer2",6,"ENSG00000177076","6.1.1","ENSMUSG00000038007","alkaline ceramidase 2 [Source:MGI Symbol;Acc:MGI:1920932]",1,1,"Acer2","CellAge_inhibits"
"ACKR1","Induces","Ackr1",7,"ENSG00000213088","7.1.1","ENSMUSG00000037872","atypical chemokine receptor 1 (Duffy blood group) [Source:MGI Symbol;Acc:MGI:1097689]",1,1,"Ackr1","CellAge_induces"
"ACLY","Inhibits","Acly",8,"ENSG00000131473","8.1.1","ENSMUSG00000020917","ATP citrate lyase [Source:MGI Symbol;Acc:MGI:103251]",1,1,"Acly","CellAge_inhibits"
"ADCK5","Induces","Adck5",9,"ENSG00000173137","9.1.1","ENSMUSG00000022550","aarF domain containing kinase 5 [Source:MGI Symbol;Acc:MGI:2679274]",1,1,"Adck5","CellAge_induces"
"AGO2","Inhibits","Ago2",10,"ENSG00000123908","10.1.1","ENSMUSG00000036698","argonaute RISC catalytic subunit 2 [Source:MGI Symbol;Acc:MGI:2446632]",1,1,"Ago2","CellAge_inhibits"
"AGR2","Inhibits","Agr2",11,"ENSG00000106541","11.1.1","ENSMUSG00000020581","anterior gradient 2 [Source:MGI Symbol;Acc:MGI:1344405]",1,1,"Agr2","CellAge_inhibits"
"AGT","Induces","Agt",12,"ENSG00000135744","12.1.1","ENSMUSG00000031980","angiotensinogen [Source:MGI Symbol;Acc:MGI:87963]",1,1,"Agt","CellAge_induces"
"AHR","Induces","Ahr",13,"ENSG00000106546","13.1.1","ENSMUSG00000019256","aryl-hydrocarbon receptor [Source:MGI Symbol;Acc:MGI:105043]",1,1,"Ahr","CellAge_induces"
"AKAP4","Inhibits","Akap4",14,"ENSG00000147081","14.1.1","ENSMUSG00000050089","A kinase anchor protein 4 [Source:MGI Symbol;Acc:MGI:102794]",1,1,"Akap4","CellAge_inhibits"
"AKR1B1","Inhibits","Akr1b1",15,"ENSG00000085662","15.1.1","ENSMUSG00000001642","aldo-keto reductase family 1 member B [Source:MGI Symbol;Acc:MGI:1353494]",1,1,"Akr1b1","CellAge_inhibits"
"AKT1","Induces","Akt1",16,"ENSG00000142208","16.1.1","ENSMUSG00000001729","thymoma viral proto-oncogene 1 [Source:MGI Symbol;Acc:MGI:87986]",1,1,"Akt1","CellAge_induces"
"AKT1S1","Inhibits","Akt1s1",17,"ENSG00000204673","17.1.1","ENSMUSG00000011096","AKT1 substrate 1 [Source:MGI Symbol;Acc:MGI:1914855]",1,1,"Akt1s1","CellAge_inhibits"
"AKT3","Inhibits","Akt3",18,"ENSG00000117020","18.1.1","ENSMUSG00000019699","thymoma viral proto-oncogene 3 [Source:MGI Symbol;Acc:MGI:1345147]",1,1,"Akt3","CellAge_inhibits"
"AKTIP","Inhibits","Aktip",19,"ENSG00000166971","19.1.1","ENSMUSG00000031667","AKT interacting protein [Source:MGI Symbol;Acc:MGI:3693832]",1,1,"Aktip","CellAge_inhibits"
"ALDH2","Inhibits","Aldh2",20,"ENSG00000111275","20.1.1","ENSMUSG00000029455","aldehyde dehydrogenase 2, mitochondrial [Source:MGI Symbol;Acc:MGI:99600]",1,1,"Aldh2","CellAge_inhibits"
"ALKBH3","Inhibits","Alkbh3",22,"ENSG00000166199","22.1.1","ENSMUSG00000040174","alkB homolog 3, alpha-ketoglutarate-dependent dioxygenase [Source:MGI Symbol;Acc:MGI:1916363]",1,1,"Alkbh3","CellAge_inhibits"
"ALOX15B","Induces","Alox8",23,"ENSG00000179593","23.1.1","ENSMUSG00000020891","arachidonate 8-lipoxygenase [Source:MGI Symbol;Acc:MGI:1098228]",1,1,"Alox8","CellAge_induces"
"ANAPC1","Inhibits","Anapc1",24,"ENSG00000153107","24.1.1","ENSMUSG00000014355","anaphase promoting complex subunit 1 [Source:MGI Symbol;Acc:MGI:103097]",1,1,"Anapc1","CellAge_inhibits"
"ANLN","Inhibits","Anln",25,"ENSG00000011426","25.1.1","ENSMUSG00000036777","anillin, actin binding protein [Source:MGI Symbol;Acc:MGI:1920174]",1,1,"Anln","CellAge_inhibits"
"ANXA5","Inhibits","Anxa5",26,"ENSG00000164111","26.1.1","ENSMUSG00000027712","annexin A5 [Source:MGI Symbol;Acc:MGI:106008]",1,1,"Anxa5","CellAge_inhibits"
"APEX1","Inhibits","Apex1",27,"ENSG00000100823","27.1.1","ENSMUSG00000035960","apurinic/apyrimidinic endonuclease 1 [Source:MGI Symbol;Acc:MGI:88042]",1,1,"Apex1","CellAge_inhibits"
