"input_number","input","input_ensg","ensg_number","ortholog_name","ortholog_ensg","description"
1,"ABI3BP","ENSG00000154175","1.1.1","ABI3BP","ENSSSCG00000011959","ABI family member 3 binding protein [Source:VGNC Symbol;Acc:VGNC:108628]"
2,"AHR","ENSG00000106546","2.1.1","AHR","ENSSSCG00000030484","aryl hydrocarbon receptor [Source:NCBI gene (formerly Entrezgene);Acc:396654]"
3,"ALDOA","ENSG00000149925","3.1.1","ALDOA","ENSSSCG00000032556","aldolase, fructose-bisphosphate A [Source:VGNC Symbol;Acc:VGNC:102549]"
4,"BCL3","ENSG00000069399","4.1.1","BCL3","ENSSSCG00000027426","BCL3 transcription coactivator [Source:NCBI gene (formerly Entrezgene);Acc:100738193]"
5,"BUB1","ENSG00000169679","5.1.1","BUB1","ENSSSCG00000030469","BUB1 mitotic checkpoint serine/threonine kinase [Source:VGNC Symbol;Acc:VGNC:85918]"
6,"CBS","ENSG00000160200","6.1.1","CBS","ENSSSCG00000040779","cystathionine beta-synthase [Source:VGNC Symbol;Acc:VGNC:109183]"
7,"CCNB1","ENSG00000134057","7.1.1","CCNB1","ENSSSCG00000029326","cyclin B1 [Source:NCBI gene (formerly Entrezgene);Acc:397662]"
8,"CDK1","ENSG00000170312","8.1.1","CDK1","ENSSSCG00000010214","cyclin dependent kinase 1 [Source:VGNC Symbol;Acc:VGNC:103917]"
9,"CDK6","ENSG00000105810","9.1.1","CDK6","ENSSSCG00000040183","cyclin dependent kinase 6 [Source:VGNC Symbol;Acc:VGNC:111742]"
10,"CDKN2A","ENSG00000147889","10.1.1","CDKN2A","ENSSSCG00000005134","cyclin dependent kinase inhibitor 2A [Source:VGNC Symbol;Acc:VGNC:109186]"
11,"CHAF1B","ENSG00000159259","11.1.1","CHAF1B","ENSSSCG00000012056","chromatin assembly factor 1 subunit B [Source:VGNC Symbol;Acc:VGNC:86624]"
12,"CKAP2","ENSG00000136108","12.1.1","CKAP2","ENSSSCG00000009378","cytoskeleton associated protein 2 [Source:VGNC Symbol;Acc:VGNC:86714]"
13,"CPT1C","ENSG00000169169","13.1.1","CPT1C","ENSSSCG00000024872","carnitine palmitoyltransferase 1C [Source:VGNC Symbol;Acc:VGNC:86966]"
14,"CRISPLD2","ENSG00000103196","14.1.1","CRISPLD2","ENSSSCG00000002669","cysteine rich secretory protein LCCL domain containing 2 [Source:VGNC Symbol;Acc:VGNC:96958]"
15,"ECT2","ENSG00000114346","15.1.1","ECT2","ENSSSCG00000035746","epithelial cell transforming 2 [Source:VGNC Symbol;Acc:VGNC:87538]"
16,"EGFR","ENSG00000146648","16.1.1","EGFR","ENSSSCG00000022126","epidermal growth factor receptor [Source:NCBI gene (formerly Entrezgene);Acc:397070]"
17,"ENTPD7","ENSG00000198018","17.1.1","ENTPD7","ENSSSCG00000010540","ectonucleoside triphosphate diphosphohydrolase 7 [Source:VGNC Symbol;Acc:VGNC:87716]"
18,"EPHA3","ENSG00000044524","18.1.1","EPHA3","ENSSSCG00000026130","EPH receptor A3 [Source:VGNC Symbol;Acc:VGNC:87732]"
19,"ESPL1","ENSG00000135476","19.1.1","ESPL1","ENSSSCG00000000265","extra spindle pole bodies like 1, separase [Source:VGNC Symbol;Acc:VGNC:87790]"
20,"ESRRB","ENSG00000119715","20.1.1","ESRRB","ENSSSCG00000002388","estrogen related receptor beta [Source:VGNC Symbol;Acc:VGNC:87794]"
21,"FASN","ENSG00000169710","21.1.1","FASN","ENSSSCG00000029944","fatty acid synthase [Source:NCBI gene (formerly Entrezgene);Acc:397561]"
22,"FOS","ENSG00000170345","22.1.1","FOS","ENSSSCG00000002383","Fos proto-oncogene, AP-1 transcription factor subunit [Source:NCBI gene (formerly Entrezgene);Acc:100144486]"
23,"FOXD1","ENSG00000251493","23.1.1","FOXD1","ENSSSCG00000035878","forkhead box D1 [Source:VGNC Symbol;Acc:VGNC:88199]"
24,"FOXM1","ENSG00000111206","24.1.1","FOXM1","ENSSSCG00000000739","forkhead box M1 [Source:VGNC Symbol;Acc:VGNC:88217]"
25,"FOXP1","ENSG00000114861","25.1.1","FOXP1","ENSSSCG00000027675","forkhead box P1 [Source:VGNC Symbol;Acc:VGNC:88222]"
25,"FOXP1","ENSG00000285708","25.2.1","N/A","N/A","N/A"
26,"GRN","ENSG00000030582","26.1.1","GRN","ENSSSCG00000017355","granulin precursor [Source:NCBI gene (formerly Entrezgene);Acc:733645]"
27,"GTSE1","ENSG00000075218","27.1.1","GTSE1","ENSSSCG00000000002","G2 and S-phase expressed 1 [Source:VGNC Symbol;Acc:VGNC:88745]"
28,"HAS1","ENSG00000105509","28.1.1","HAS1","ENSSSCG00000003239","hyaluronan synthase 1 [Source:NCBI gene (formerly Entrezgene);Acc:100191062]"
29,"HIF1A","ENSG00000100644","29.1.1","HIF1A","ENSSSCG00000005096","hypoxia inducible factor 1 subunit alpha [Source:NCBI gene (formerly Entrezgene);Acc:396696]"
30,"HTRA1","ENSG00000166033","30.1.1","HTRA1","ENSSSCG00000010703","HtrA serine peptidase 1 [Source:VGNC Symbol;Acc:VGNC:107400]"
31,"IL1RN","ENSG00000136689","31.1.1","N/A","N/A","N/A"
32,"ITGB3","ENSG00000259207","32.1.1","ITGB3","ENSSSCG00000017306","integrin subunit beta 3 [Source:NCBI gene (formerly Entrezgene);Acc:397063]"
33,"JUNB","ENSG00000171223","33.1.1","JUNB","ENSSSCG00000013735","JunB proto-onco, AP-1 transcription factor subunit [Source:VGNC Symbol;Acc:VGNC:89295]"
34,"KIF20A","ENSG00000112984","34.1.1","KIF20A","ENSSSCG00000014326","kinesin family member 20A [Source:VGNC Symbol;Acc:VGNC:89462]"
35,"KIF2C","ENSG00000142945","35.1.1","KIF2C","ENSSSCG00000003931","kinesin family member 2C [Source:VGNC Symbol;Acc:VGNC:89469]"
36,"KIFC1","ENSG00000237649","36.1.1","KIFC1","ENSSSCG00000001510","kinesin family member C1 [Source:VGNC Symbol;Acc:VGNC:89477]"
37,"LAYN","ENSG00000204381","37.1.1","LAYN","ENSSSCG00000015022","layilin [Source:NCBI gene (formerly Entrezgene);Acc:100513941]"
38,"LGALS3","ENSG00000131981","38.1.1","LGALS3","ENSSSCG00000005055","galectin 3 [Source:VGNC Symbol;Acc:VGNC:89694]"
39,"LIMA1","ENSG00000050405","39.1.1","LIMA1","ENSSSCG00000032269","LIM domain and actin binding 1 [Source:VGNC Symbol;Acc:VGNC:98070]"
40,"LMNA","ENSG00000160789","40.1.1","LMNA","ENSSSCG00000006496","lamin A/C [Source:VGNC Symbol;Acc:VGNC:98815]"
41,"LOXL2","ENSG00000134013","41.1.1","LOXL2","ENSSSCG00000033608","lysyl oxidase like 2 [Source:VGNC Symbol;Acc:VGNC:89781]"
42,"LPAR1","ENSG00000198121","42.1.1","ENSSSCG00000005457","ENSSSCG00000005457","lysophosphatidic acid receptor 1 [Source:VGNC Symbol;Acc:VGNC:103117]"
42,"LPAR1","ENSG00000198121","42.1.2","ENSSSCG00000038212","ENSSSCG00000038212","N/A"
43,"LPAR3","ENSG00000171517","43.1.1","LPAR3","ENSSSCG00000003756","lysophosphatidic acid receptor 3 [Source:VGNC Symbol;Acc:VGNC:89785]"
44,"MDK","ENSG00000110492","44.1.1","MDK","ENSSSCG00000013260","midkine [Source:VGNC Symbol;Acc:VGNC:100167]"
45,"ME1","ENSG00000065833","45.1.1","ME1","ENSSSCG00000004454","malic enzyme 1 [Source:VGNC Symbol;Acc:VGNC:90095]"
46,"MSN","ENSG00000147065","46.1.1","MSN","ENSSSCG00000012365","moesin [Source:VGNC Symbol;Acc:VGNC:90426]"
47,"NEK2","ENSG00000117650","47.1.1","NEK2","ENSSSCG00000015604","NIMA related kinase 2 [Source:VGNC Symbol;Acc:VGNC:90675]"
48,"NOX4","ENSG00000086991","48.1.1","NOX4","ENSSSCG00000014927","NADPH oxidase 4 [Source:VGNC Symbol;Acc:VGNC:90831]"
49,"P3H1","ENSG00000117385","49.1.1","P3H1","ENSSSCG00000023920","prolyl 3-hydroxylase 1 [Source:UniProtKB Gene Name;Acc:A0A4X1W7G1]"
50,"PIK3R5","ENSG00000141506","50.1.1","PIK3R5","ENSSSCG00000017991","phosphoinositide-3-kinase regulatory subunit 5 [Source:NCBI gene (formerly Entrezgene);Acc:396851]"
51,"PITX1","ENSG00000069011","51.1.1","PITX1","ENSSSCG00000061433","paired like homeodomain 1 [Source:NCBI gene (formerly Entrezgene);Acc:100689266]"
